date,open,high,low,close,volume
2015-09-09,108,112,108,110.9,17016
2015-09-10,111.5,111.5,108,108,54009
2015-09-11,108,108.1,107.6,108,59943
2015-09-14,108,108,107.6,108,68420
2015-09-15,109,109,108,109,77888
2015-09-16,109,109,107.5,107.5,58797
2015-09-17,108,110,107.5,110,419891
2015-09-18,108.6,110,108,110,8292
2015-09-21,110,110,109,109.9,25625
2015-09-22,109.5,109.9,109,109.5,18730
2015-09-23,109.4,109.4,108.6,108.9,7366
2015-09-25,108.6,109,108,109,26580
2015-09-28,108.5,108.5,108,108,22100
2015-09-29,108.1,109,108.1,109,10007
2015-09-30,118.2,118.2,105,109.8,16955
2015-10-01,108,109,108,108.9,4500
2015-10-02,109.2,117,109,114.8,216003
2015-10-05,114.9,120,114.9,120,330564
2015-10-06,122,124,119.5,123.4,276998
2015-10-07,124,124,120.5,120.5,43917
2015-10-08,119.8,123,119.8,121,37279
2015-10-09,121,128,121,127,501869
2015-10-12,128,128.7,126.2,127,56729
2015-10-13,126.7,126.7,121,123,274108
2015-10-14,125,125.9,121.9,121.9,41915
2015-10-15,122.1,122.5,118.5,118.5,43376
2015-10-16,120.9,122,119.1,120,82355
2015-10-19,120.5,121,118.5,120,42129
2015-10-20,119.9,122.5,119.9,120.1,29095
2015-10-21,120.9,122.4,120,122.4,29376
2015-10-22,120.1,121,119.5,119.5,35813
2015-10-23,119.1,120.9,119.1,120.5,75982
2015-10-26,120.7,122.3,120,122,42080
2015-10-28,120.1,120.5,120,120,48540
2015-10-29,119.1,122,119,122,22245
2015-10-30,119,119.8,118.6,118.6,16210
2015-11-02,119,119,119,119,9220
2015-11-03,119,119.1,118,118,105647
2015-11-04,118.7,118.7,114,115,53033
2015-11-05,115,118,115,117,8192
2015-11-06,118,122,118,120.2,9968
2015-11-09,120,120,120,120,1800
2015-11-11,119.7,120,117.5,119.9,17310
2015-11-12,119.9,120,118.4,119.2,12890
2015-11-13,119.3,120,118.3,120,12846
2015-11-16,120,120,116.2,118,31630
2015-11-17,116.5,118,116,118,23832
2015-11-18,117,117.9,117,117,58189
2015-11-19,117,119.9,116.8,119.9,132980
2015-11-20,119.5,120,118.1,120,88662
2015-11-23,122,122,119.5,119.5,102842
2015-11-24,119.9,119.9,117.5,119.4,2352
2015-11-26,117.9,118,115.8,117,18512
2015-11-27,116.2,117.5,116,117,16465
2015-11-30,117,117.5,116.2,117.5,6200
2015-12-01,117,120,117,120,23000
2015-12-02,119,119,117,118.6,31538
2015-12-03,117.6,118.8,117.5,118,5136
2015-12-04,118.9,118.9,116.5,117.4,12132
2015-12-07,117,117,115.6,116.5,21910
2015-12-08,115.5,116.9,115.2,116.9,66540
2015-12-09,116.9,117,115.1,116,11751
2015-12-10,115.1,116.5,114,115.5,60792
2015-12-11,115.2,117.9,115.2,117.9,28726
2015-12-14,115.9,116.9,115.8,116.9,22550
2015-12-15,117.2,117.2,115.8,117,23465
2015-12-16,116,117,116,116.5,20260
2015-12-17,116.1,119.9,116,119.9,10134
2015-12-18,119,121.9,119,120,130304
2015-12-21,119.1,119.8,119,119.6,4500
2015-12-22,119,119.9,119,119.5,10710
2015-12-23,119.4,119.4,119.4,119.4,501
2015-12-28,119,119,118,118,8325
2015-12-29,119.5,119.9,119.5,119.9,2500
2015-12-30,119.5,121,119.5,120.8,25825
2015-12-31,120.8,121.5,120,121,15100
2016-01-04,122,122,119.6,120.8,41256
2016-01-05,119.6,119.8,119,119.5,19623
2016-01-06,118,119.6,117.5,119.6,13255
2016-01-07,118.1,119,117.5,117.6,10852
2016-01-08,117.1,117.1,115,116.5,28375
2016-01-11,115.5,115.5,111.1,114,29426
2016-01-12,113.5,113.5,111.6,112,148935
2016-01-13,111.9,114,111.9,112.1,49047
2016-01-14,111.3,112,110,110,38034
2016-01-18,109.1,109.1,103.1,103.1,20257
2016-01-19,105,106,98,104,177886
2016-01-20,106,107.9,102,106.9,15799
2016-01-21,103,110,102.5,107.5,24052
2016-01-22,110,111,109.8,109.9,44937
2016-01-25,109.9,112,108,108.2,5713
2016-01-26,108.1,110,108,109.9,2291
2016-01-27,109.9,112,109.9,111.8,16530
2016-01-28,110,112,110,112,13260
2016-01-29,112.4,113.9,110.1,112,1670
2016-02-01,113,114.9,113,114.7,10014
2016-02-02,113.8,116,113.8,116,46051
2016-02-03,116,116,114.8,115,7262
2016-02-05,113,116.9,113,116.9,11082
2016-02-08,114,116,114,115.8,7868
2016-02-09,115.8,115.8,114,115,5050
2016-02-10,114.8,116.5,112.5,116.5,6300
2016-02-11,115,115,110.1,114,5177
2016-02-12,110.2,113.9,109.5,113.9,8480
2016-02-15,110,110,109,109.5,9380
2016-02-16,111.9,111.9,107,107.1,10945
2016-02-17,110,110,104,105,17022
2016-02-18,105,107.5,103,103,56591
2016-02-19,103,105,103,103.2,37096
2016-02-23,103.2,103.2,102,102,55547
2016-02-24,102,102.9,102,102.5,18192
2016-02-25,102.5,103,101.6,103,1156
2016-02-26,103,103,102,102.5,284951
2016-02-29,102,102.1,101.9,102,96100
2016-03-01,101.6,101.6,98,100,29145
2016-03-02,100,100,98.2,100,32250
2016-03-03,98,101,98,101,27975
2016-03-04,101.8,101.8,100,101.7,3201
2016-03-08,99.2,99.2,95,98,14242
2016-03-09,96,96,88,94,13989
2016-03-10,95,99.9,95,99.9,46306
2016-03-11,98.2,100.9,98.2,100.9,5550
2016-03-14,98.1,100,95,99.7,4600
2016-03-15,99.8,100,95.1,99.9,4367
2016-03-16,99,108,99,108,12420
2016-03-17,105,106.5,103.5,105.5,6507
2016-03-18,103,105,103,105,600
2016-03-21,104,104,103,103,1000
2016-03-23,0,0,0,0,0
2016-03-24,0,0,0,0,0
2016-03-28,103.5,103.5,103.5,103.5,1
2016-03-29,101,101,95.1,98.1,19859
2016-03-30,101,101,101,101,300
2016-03-31,101,101.5,100,100,10677
2016-04-01,101.5,101.5,100,101,8985
2016-04-04,100,102,100,102,29782
2016-04-05,102.9,103.8,102.9,103.1,10726
2016-04-06,103,103.9,102.8,103.9,5144
2016-04-07,104,108,103.1,107.9,61405
2016-04-08,107.9,108,106.2,106.2,3667
2016-04-11,105.2,106.9,102,106.9,1481
2016-04-12,107,107.1,105.2,106.1,4994
2016-04-15,107.4,107.6,106.1,106.1,10275
2016-04-18,106.5,107.4,106.1,107.4,4850
2016-04-19,108.5,108.5,106.4,107,6830
2016-04-20,107,108.7,106.4,108.5,761768
2016-04-22,108.5,114,108.3,113,18749
2016-04-25,112.3,113,109.2,112.1,11770
2016-04-26,109.1,112.9,109.1,112.8,2020
2016-04-27,112.8,113,112.8,112.9,1554
2016-04-28,112,113.9,109.2,113.9,7009
2016-04-29,109.2,114,109.2,113,46324
2016-05-03,113.9,113.9,112.7,113,9111
2016-05-04,113.6,113.9,113,113,24919
2016-05-05,112.6,112.6,112.5,112.5,525
2016-05-06,112,113.5,112,112.5,7696
2016-05-09,112,113,111,111,7300
2016-05-10,113,114,113,113.9,60801
2016-05-11,114,117,113.5,117,586853
2016-05-12,123,127,122,124,639822
2016-05-13,124,125.4,124,124,80065
2016-05-16,125,125.9,123.9,123.9,35005
2016-05-17,124.2,124.2,121,122.9,57533
2016-05-18,122.7,125,122.7,123,245994
2016-05-19,124.4,124.4,124,124,15790
2016-05-20,123,124.4,123,123.5,15805
2016-05-24,122.8,122.8,122,122.7,3913
2016-05-25,123,123,121.1,122,15100
2016-05-26,122.4,122.4,121,122,22083
2016-05-27,120.5,122.5,120.5,122.4,3411
2016-05-30,121.2,121.2,118,119,16211
2016-05-31,118,118.5,116,118.5,21799
2016-06-01,119,119,117,119,5554
2016-06-02,119,122,117.5,122,3976
2016-06-03,121,121,117.5,117.6,9606
2016-06-06,120.2,120.2,119.5,120,593
2016-06-07,118.2,119.8,118.1,119,5268
2016-06-08,118.6,119,118,119,12585
2016-06-09,119,119.9,118,119.9,1285
2016-06-10,120,120,118,119,2550
2016-06-13,118.5,119,117,118.3,92616
2016-06-14,118.3,118.5,117.1,118,11440
2016-06-15,116.6,119,116.5,119,6451
2016-06-16,116.5,116.6,115,116.6,15480
2016-06-17,115.1,118,115.1,115.8,4483
2016-06-20,116,116.3,116,116.1,6979
2016-06-21,117.5,118.5,116,116,22532
2016-06-22,116,117,116,116,1553
2016-06-23,116.6,117,115,116,114643
2016-06-24,115,116,114,116,28730
2016-06-27,115,115.5,113.1,114.9,305150
2016-06-28,113,115.7,113,115,545379
2016-06-29,0,0,0,0,0
2016-06-30,0,0,0,0,0
2016-07-01,0,0,0,0,0
2016-07-04,52.7,58.6,52.7,57.5,12725
2016-07-05,56,56,56,56,1000
2016-07-07,54.2,58.5,54.2,58.5,702
2016-07-08,58.5,58.9,58,58.2,42239
2016-07-11,59.9,59.9,58.5,59.5,8260
2016-07-12,58.2,59,58.1,58.5,4866
2016-07-13,58,59,56.7,59,54702
2016-07-14,59,59,58,58,135133
2016-07-15,59,59,58,58,11130
2016-07-18,58,59,57.8,57.8,107907
2016-07-20,58.5,58.9,57.1,58.9,21790
2016-07-21,58.9,58.9,58,58,1061
2016-07-22,58,58.9,58,58.7,2567
2016-07-25,58.1,58.9,56,58.5,13019
2016-07-26,58.5,58.9,58.5,58.9,4409
2016-07-27,58.9,58.9,57.5,58.5,44301
2016-07-28,58,59.6,58,59.6,15874
2016-07-29,58,59.5,58,59.4,29290
2016-08-01,59.5,59.5,58.5,59,6370
2016-08-02,59.3,60,59.3,59.9,93927
2016-08-03,60,60,59,59.9,76339
2016-08-04,59,60,58.6,59.4,31316
2016-08-05,58.4,59.2,58.2,59,11432
2016-08-08,59,59.2,58.2,58.6,2086
2016-08-09,58.9,59.3,58.8,59,36111
2016-08-10,59,59.5,57.1,59,75373
2016-08-11,59.3,59.3,58.3,58.6,5722
2016-08-12,58.7,59,58.2,59,9498
2016-08-15,59,59,58.5,58.9,61609
2016-08-16,58.6,59,58.5,59,4595
2016-08-18,59,59,58.3,58.9,10272
2016-08-19,58.9,58.9,58.3,58.5,15176
2016-08-22,58.3,59.5,58.3,59.4,282942
2016-08-23,59.5,63.5,59.5,62.7,1129565
2016-08-24,63.5,63.9,62.3,62.5,106959
2016-08-25,63,63,62,62.4,110928
2016-08-26,62.9,62.9,61.8,62,340111
2016-08-29,62,62.4,61.1,62.2,54227
2016-08-30,61.5,63,61.5,62.9,28932
2016-08-31,62.9,64,62.9,63.4,184409
2016-09-01,63.4,64.2,63.4,63.9,77447
2016-09-02,64,64.2,63.1,63.8,64064
2016-09-05,64,64,63,63.8,17778
2016-09-06,63,63.8,63,63.8,15696
2016-09-07,63,63.8,62.5,63.8,59487
2016-09-08,63.5,63.7,62.5,63.4,24191
2016-09-09,62.6,63.4,62.5,63.4,417712
2016-09-13,62.6,63,62.1,63,20225
2016-09-14,63.5,63.5,62.1,63,20466
2016-09-15,63,63,62.3,63,224035
2016-09-19,63.5,63.5,62.5,62.5,25987
2016-09-20,62.4,62.5,62,62.5,42960
2016-09-21,62.5,64.2,61,64,591433
2016-09-22,63.9,63.9,63.5,63.5,24094
2016-09-23,64,64,63.5,63.5,16743
2016-09-26,64,64,62,63,6066
2016-09-27,62.1,63,62.1,63,5370
2016-09-28,62.4,63.9,62.4,63.2,14766
2016-09-29,63.1,64.8,63.1,64.7,213858
2016-09-30,64.7,65.6,64.5,64.5,205460
2016-10-03,64.5,65,64.4,64.9,240505
2016-10-04,65,65.5,65,65,83004
2016-10-05,64.7,65.4,64.5,65,145150
2016-10-06,65,65,64.2,64.2,23478
2016-10-07,64.3,64.3,64,64.2,45251
2016-10-10,64.3,64.3,63.6,64,2821
2016-10-11,63.6,64,62.8,64,50173
2016-10-12,63.5,64,62.7,64,16250
2016-10-13,63.4,63.4,62.6,62.6,16950
2016-10-14,62.7,63.9,62.5,63.9,12670
2016-10-17,64,64,62,63,10979
2016-10-18,63.9,64,62.6,64,200549
2016-10-19,64,64,63,64,408603
2016-10-20,64,64,63.5,63.9,702983
2016-10-21,64,64,63.3,63.9,12169
2016-10-24,63.2,63.9,63.2,63.9,1014
2016-10-25,63.2,63.8,63,63.5,4176
2016-10-26,63,63.4,63,63.4,785
2016-10-27,63,63,62.9,62.9,305
2016-10-28,62.9,63.4,62.9,63.4,2781
2016-10-31,62,63.4,62,63,6141
2016-11-01,62.4,63,62.4,63,600
2016-11-02,62.1,63,62,63,634067
2016-11-03,63.5,63.5,63,63.1,320
2016-11-04,63.4,63.4,63.4,63.4,60
2016-11-07,63,63,62.5,63,7996
2016-11-08,63.4,63.4,63.4,63.4,50
2016-11-09,63.4,63.4,62,62,1981
2016-11-10,62,63.3,62,63.3,1202
2016-11-11,0,0,0,0,0
2016-11-15,62,63,61.5,61.5,3168
2016-11-16,63,63,62,62,91823
2016-11-17,62.5,62.5,61,62,14322
2016-11-18,62,62.5,61.1,62,13620
2016-11-21,61,61,61,61,41003
2016-11-22,60.5,60.5,59,59.9,125037
2016-11-23,60,60,59,59.9,307406
2016-11-24,60,60,59.8,60,14176
2016-11-25,60,61,60,60,6553
2016-11-28,60,60,60,60,10000
2016-11-29,60,60.5,60,60.5,50602
2016-11-30,60,61.8,59.5,59.5,29469
2016-12-01,60,62,60,62,37648
2016-12-02,61.9,61.9,60.3,61.5,3060
2016-12-05,61.5,61.5,61.4,61.5,1160
2016-12-06,61.3,61.3,60.5,60.9,9670
2016-12-07,60.9,60.9,59.9,59.9,116778
2016-12-08,60,60.6,59.5,60,44322
2016-12-09,60,60,59.6,60,714
2016-12-14,59.5,59.6,59.5,59.6,40105
2016-12-15,60,60,60,60,200000
2016-12-16,59.3,60,59.3,60,215
2016-12-19,60.8,61,59.5,60,1101
2016-12-20,59.7,61,59.7,61,551
2016-12-21,59.6,61,59.6,61,10708
2016-12-22,60,60,60,60,1800
2016-12-23,59.8,60.5,59.8,60.5,1030
2016-12-27,60.4,60.4,59.8,59.8,2304
2016-12-28,61,61,60.6,60.6,466
2016-12-29,61.5,61.5,61.5,61.5,200
2016-12-30,60.6,61.5,60.5,61.5,9600
2017-01-02,60.5,61.5,60.5,61.5,820
2017-01-03,60.1,60.2,59.9,60,17642
2017-01-04,60,60,59.8,59.8,5259
2017-01-05,0,0,0,0,0
2017-01-06,59.9,59.9,59.9,59.9,6000
