date,open,high,low,close,volume
2015-09-09,1.7,1.7,1.6,1.7,444401
2015-09-10,1.7,1.7,1.6,1.6,605515
2015-09-11,1.7,1.7,1.7,1.7,61134
2015-09-14,1.7,1.7,1.7,1.7,10070
2015-09-15,1.7,1.7,1.7,1.7,3200
2015-09-16,1.6,1.7,1.6,1.7,450401
2015-09-17,1.7,1.7,1.6,1.6,1632467
2015-09-18,1.7,1.7,1.6,1.7,8953
2015-09-21,1.6,1.7,1.6,1.7,2925
2015-09-22,1.6,1.7,1.6,1.6,62401
2015-09-23,1.7,1.7,1.6,1.7,3105859
2015-09-25,1.6,1.7,1.5,1.6,4747367
2015-09-28,1.7,1.7,1.6,1.7,92671
2015-09-29,1.6,1.7,1.6,1.6,8100
2015-09-30,1.7,1.7,1.6,1.6,19068
2015-10-01,1.7,1.7,1.6,1.6,15166
2015-10-02,1.7,1.7,1.6,1.7,42351
2015-10-05,1.6,1.7,1.6,1.6,105263
2015-10-06,1.7,1.7,1.6,1.6,58850
2015-10-07,1.7,1.7,1.6,1.7,70182
2015-10-08,1.7,1.7,1.6,1.6,1130006
2015-10-09,1.6,1.7,1.6,1.7,80973
2015-10-12,1.6,1.7,1.6,1.7,161756
2015-10-13,1.6,1.7,1.6,1.6,6719732
2015-10-14,1.7,1.7,1.6,1.6,3198857
2015-10-15,1.6,1.6,1.6,1.6,423150
2015-10-16,1.6,1.7,1.5,1.6,737378
2015-10-19,1.7,1.7,1.6,1.6,225954
2015-10-20,1.6,1.7,1.6,1.6,988850
2015-10-21,1.6,1.6,1.6,1.6,405060
2015-10-22,1.6,1.7,1.6,1.7,127749
2015-10-23,1.6,1.7,1.6,1.7,1096130
2015-10-26,1.6,1.7,1.6,1.7,64401
2015-10-28,1.6,1.7,1.6,1.6,153510
2015-10-29,1.6,1.7,1.6,1.6,1085598
2015-10-30,1.6,1.6,1.5,1.6,1349902
2015-11-02,1.6,1.6,1.5,1.6,62804
2015-11-03,1.6,1.6,1.6,1.6,416497
2015-11-04,1.6,1.6,1.5,1.6,22750
2015-11-05,1.6,1.6,1.5,1.5,74972
2015-11-06,1.6,1.6,1.5,1.6,3886859
2015-11-09,1.6,1.6,1.6,1.6,100000
2015-11-11,1.6,1.6,1.6,1.6,91250
2015-11-12,1.5,1.6,1.5,1.6,191300
2015-11-13,1.5,1.6,1.5,1.6,10349
2015-11-16,1.5,1.6,1.5,1.5,1235000
2015-11-17,1.5,1.6,1.4,1.5,8822385
2015-11-18,1.5,1.7,1.5,1.7,5710978
2015-11-19,1.6,1.7,1.5,1.7,4996040
2015-11-20,1.7,1.7,1.6,1.6,715001
2015-11-23,1.7,1.7,1.6,1.7,1506011
2015-11-24,1.7,1.7,1.7,1.7,107222
2015-11-26,1.6,1.7,1.6,1.6,29754
2015-11-27,1.7,1.7,1.7,1.7,1257
2015-11-30,1.6,1.7,1.6,1.7,1851360
2015-12-01,1.6,1.6,1.6,1.6,51500
2015-12-02,1.6,1.6,1.6,1.6,17340520
2015-12-03,1.6,1.6,1.6,1.6,36999
2015-12-04,1.6,1.6,1.6,1.6,98762
2015-12-07,1.7,1.7,1.6,1.6,752260
2015-12-08,1.6,1.6,1.6,1.6,1080000
2015-12-09,1.6,1.7,1.6,1.6,126500
2015-12-10,1.6,1.6,1.6,1.6,28650
2015-12-11,0,0,0,0,0
2015-12-14,1.6,1.6,1.6,1.6,110501
2015-12-15,1.7,1.7,1.6,1.6,170500
2015-12-16,1.6,1.7,1.6,1.7,2200
2015-12-17,1.6,1.6,1.6,1.6,5000
2015-12-18,1.7,1.7,1.6,1.6,7062
2015-12-21,1.6,1.7,1.6,1.7,91000
2015-12-22,1.6,1.7,1.6,1.6,100621
2015-12-23,0,0,0,0,0
2015-12-28,1.6,1.6,1.6,1.6,54664
2015-12-29,1.6,1.6,1.6,1.6,25200
2015-12-30,1.6,1.6,1.6,1.6,6785799
2015-12-31,1.6,1.7,1.6,1.7,130101
2016-01-04,1.6,1.7,1.6,1.7,126036
2016-01-05,1.7,1.7,1.7,1.7,12
2016-01-06,1.6,1.6,1.6,1.6,8037680
2016-01-07,1.6,1.6,1.6,1.6,112819
2016-01-08,1.6,1.6,1.6,1.6,67029
2016-01-11,1.6,1.6,1.5,1.6,77300
2016-01-12,1.5,1.6,1.5,1.6,101091
2016-01-13,1.5,1.6,1.5,1.6,35647
2016-01-14,1.5,1.5,1.5,1.5,275990
2016-01-18,1.5,1.5,1.4,1.4,2364285
2016-01-19,1.4,1.5,1.4,1.5,2312400
2016-01-20,1.5,1.5,1.4,1.5,3052
2016-01-21,1.4,1.5,1.3,1.5,545051
2016-01-22,1.5,1.5,1.5,1.5,339871
2016-01-25,1.5,1.5,1.4,1.5,1426000
2016-01-26,1.5,1.6,1.5,1.5,27994325
2016-01-27,1.5,1.6,1.5,1.5,257501
2016-01-28,1.5,1.6,1.5,1.6,25224
2016-01-29,1.5,1.6,1.5,1.6,600425
2016-02-01,1.6,1.6,1.5,1.5,202000
2016-02-02,1.5,1.6,1.5,1.6,7700
2016-02-03,1.6,1.6,1.5,1.6,46100
2016-02-05,1.5,1.6,1.5,1.5,1032501
2016-02-08,1.6,1.6,1.5,1.5,49813
2016-02-09,1.5,1.6,1.5,1.6,2100
2016-02-10,1.5,1.6,1.5,1.6,389386
2016-02-11,1.5,1.6,1.5,1.6,226250
2016-02-15,1.5,1.5,1.4,1.5,23811
2016-02-16,1.5,1.5,1.5,1.5,610
2016-02-17,1.4,1.5,1.4,1.5,300
2016-02-18,1.4,1.5,1.4,1.5,1051571
2016-02-19,1.5,1.5,1.4,1.4,6956417
2016-02-23,1.5,1.5,1.4,1.4,610950
2016-02-24,1.4,1.4,1.4,1.4,886915
2016-02-25,1.4,1.4,1.4,1.4,2638221
2016-02-26,1.4,1.5,1.4,1.5,1142077
2016-02-29,1.4,1.5,1.4,1.4,705600
2016-03-01,1.4,1.4,1.3,1.4,10646
2016-03-02,1.3,1.4,1.3,1.3,415446
2016-03-03,1.4,1.4,1.3,1.3,505468
2016-03-04,1.3,1.4,1.3,1.4,105000
2016-03-08,1.4,1.4,1.3,1.4,456200
2016-03-09,1.3,1.3,1.2,1.3,3309599
2016-03-10,1.3,1.4,1.2,1.4,522857
2016-03-11,1.4,1.4,1.4,1.4,9090
2016-03-14,1.3,1.4,1.3,1.4,251102
2016-03-15,1.3,1.4,1.3,1.4,102100
2016-03-16,1.3,1.4,1.3,1.4,500
2016-03-17,0,0,0,0,0
2016-03-18,1.4,1.4,1.3,1.4,60057
2016-03-21,1.4,1.4,1.3,1.4,16360
2016-03-23,1.4,1.4,1.3,1.4,52393
2016-03-24,1.4,1.4,1.3,1.4,32806
2016-03-28,1.4,1.4,1.3,1.4,149231
2016-03-29,1.3,1.4,1.3,1.3,259621
2016-03-30,1.4,1.4,1.3,1.3,8626964
2016-03-31,1.4,1.4,1.3,1.3,39003
2016-04-01,1.4,1.4,1.3,1.4,256294
2016-04-04,1.3,1.4,1.3,1.4,34505
2016-04-05,1.4,1.4,1.3,1.4,741160
2016-04-06,1.4,1.5,1.4,1.4,651436
2016-04-07,1.4,1.5,1.4,1.5,472950
2016-04-08,1.5,1.6,1.5,1.5,2764080
2016-04-11,1.5,1.6,1.5,1.6,292710
2016-04-12,1.5,1.5,1.5,1.5,2554200
2016-04-15,1.5,1.6,1.5,1.6,126219
2016-04-18,1.5,1.5,1.5,1.5,1784781
2016-04-19,1.5,1.5,1.4,1.5,11061600
2016-04-20,1.5,1.5,1.5,1.5,43542
2016-04-22,1.5,1.5,1.5,1.5,65206
2016-04-25,1.5,1.5,1.4,1.5,1204316
2016-04-26,1.5,1.5,1.4,1.5,385490
2016-04-27,1.5,1.5,1.4,1.4,59451
2016-04-28,1.5,1.5,1.5,1.5,196
2016-04-29,1.5,1.5,1.4,1.5,108312
2016-05-03,1.4,1.5,1.4,1.4,76162
2016-05-04,1.4,1.4,1.4,1.4,4055510
2016-05-05,1.5,1.5,1.5,1.5,210000
2016-05-06,1.5,1.5,1.4,1.5,146400
2016-05-09,1.5,1.7,1.5,1.6,14703889
2016-05-10,1.7,1.7,1.6,1.6,2177400
2016-05-11,1.6,1.7,1.5,1.6,2471676
2016-05-12,1.6,1.6,1.5,1.6,1291129
2016-05-13,1.6,1.7,1.5,1.6,7348133
2016-05-16,1.6,1.6,1.6,1.6,196700
2016-05-17,1.6,1.6,1.6,1.6,129420
2016-05-18,1.5,1.6,1.5,1.6,978711
2016-05-19,1.5,1.6,1.5,1.6,4920716
2016-05-20,1.6,1.6,1.6,1.6,231000
2016-05-24,1.6,1.7,1.6,1.7,413811
2016-05-25,1.6,1.7,1.6,1.7,129220
2016-05-26,1.7,1.7,1.6,1.7,544101
2016-05-27,1.6,1.6,1.6,1.6,3178095
2016-05-30,1.6,1.7,1.6,1.7,100211
2016-05-31,1.6,1.6,1.6,1.6,1950542
2016-06-01,1.6,1.7,1.6,1.7,852211
2016-06-02,1.6,1.7,1.6,1.7,1172506
2016-06-03,1.6,1.7,1.6,1.7,317077
2016-06-06,1.6,1.6,1.6,1.6,206500
2016-06-07,1.6,1.7,1.6,1.7,55416985
2016-06-08,1.7,1.7,1.7,1.7,33839
2016-06-09,1.7,1.7,1.6,1.6,32697
2016-06-10,1.6,1.6,1.6,1.6,559301
2016-06-13,1.7,1.7,1.6,1.6,2145327
2016-06-14,1.6,1.6,1.6,1.6,62300
2016-06-15,1.6,1.6,1.6,1.6,3674600
2016-06-16,1.6,1.6,1.5,1.5,210500
2016-06-17,1.5,1.7,1.5,1.6,2915551
2016-06-20,1.6,1.6,1.5,1.5,12150
2016-06-21,1.5,1.5,1.5,1.5,2000
2016-06-22,1.5,1.6,1.5,1.5,115001
2016-06-23,1.6,1.6,1.5,1.5,46404
2016-06-24,1.6,1.6,1.5,1.5,3959300
2016-06-27,1.5,1.6,1.5,1.6,204341
2016-06-28,1.5,1.5,1.5,1.5,226200
2016-06-29,1.5,1.5,1.5,1.5,156992
2016-06-30,1.6,1.6,1.5,1.6,70704
2016-07-01,1.5,1.6,1.5,1.6,6200
2016-07-04,1.5,1.6,1.5,1.6,105814
