date,open,high,low,close,volume
2015-09-09,21,21,21,21,1255
2015-09-10,20.8,21,20.8,21,1476
2015-09-11,21.8,21.9,21.5,21.5,409617
2015-09-14,21.8,21.8,21,21.7,128659
2015-09-15,21.5,21.6,21,21.6,1169
2015-09-16,21,21.6,20.9,21,24075
2015-09-17,21,21.6,21,21.6,9394
2015-09-18,21.5,21.6,21.1,21.6,272101
2015-09-21,21.6,21.6,21.5,21.5,49656
2015-09-22,21.5,21.7,21.1,21.5,25042
2015-09-23,21.5,21.6,21.5,21.6,121140
2015-09-25,21.8,21.8,21.1,21.7,156
2015-09-28,21.2,21.5,21,21.5,96750
2015-09-29,21.5,21.5,21.5,21.5,850458
2015-09-30,21.5,21.7,21.2,21.4,32310
2015-10-01,21.5,21.5,21.3,21.3,78280
2015-10-02,21.3,21.9,21.3,21.7,750
2015-10-05,21.5,21.7,21.5,21.5,1310
2015-10-06,21.4,21.5,21.2,21.5,74967
2015-10-07,21.2,21.9,21.2,21.5,31221
2015-10-08,21.5,21.7,21.5,21.5,70011
2015-10-09,21.5,21.5,21.5,21.5,133220
2015-10-12,21.5,21.5,21.4,21.5,147055
2015-10-13,21.5,21.5,21.5,21.5,507795
2015-10-14,21.5,21.5,21.5,21.5,182470
2015-10-15,21.5,21.6,21.3,21.6,175130
2015-10-16,21.5,21.5,21.5,21.5,55500
2015-10-19,21.5,21.5,21.5,21.5,363652
2015-10-20,21.5,21.7,21.5,21.5,672473
2015-10-21,21.7,22.3,21.6,22,414330
2015-10-22,22.1,22.4,22,22.2,94584
2015-10-23,22.3,22.4,22.1,22.4,482035
2015-10-26,22.4,23,22.4,23,337769
2015-10-28,23.1,23.1,22.6,23.1,496639
2015-10-29,23.1,23.2,22.9,23,319498
2015-10-30,23.1,23.1,23,23.1,80606
2015-11-02,23.2,23.2,22.8,23,268165
2015-11-03,23.1,23.2,23,23.1,251696
2015-11-04,23.2,23.3,23,23.3,369027
2015-11-05,23.1,23.4,23.1,23.3,130873
2015-11-06,23.4,23.7,23.2,23.7,362410
2015-11-09,23.3,24,23.3,23.5,446575
2015-11-11,23.5,23.6,23.3,23.5,449551
2015-11-12,23.5,24.5,23.4,24.5,1618123
2015-11-13,24.5,24.5,24.2,24.5,35149
2015-11-16,24.5,24.7,24.4,24.7,338854
2015-11-17,24.6,25.2,24.6,25,13380758
2015-11-18,25,25.3,24.8,25,662693
2015-11-19,25,25,24,24.5,13129
2015-11-20,24.8,25,24,25,645264
2015-11-23,25,25,24,24.9,60535
2015-11-24,24.1,25,23.9,25,177958
2015-11-26,24.2,24.8,24.2,24.8,1004
2015-11-27,24.8,25.2,24.8,25,278119
2015-11-30,25,25.1,25,25,778662
2015-12-01,25.1,25.1,25,25,94587
2015-12-02,25.2,25.5,24.9,25,1561211
2015-12-03,25,25.3,25,25,6137058
2015-12-04,25,25.3,25,25,4077
2015-12-07,25.2,25.2,25,25,15101
2015-12-08,25,25.2,25,25,70910
2015-12-09,25,25.1,25,25.1,53884
2015-12-10,25,25,23.9,24.8,317197223
2015-12-11,24,24.5,23.8,23.8,80286
2015-12-14,23.6,23.6,23.5,23.5,9485
2015-12-15,24,24,23.2,23.9,32912
2015-12-16,23.5,23.9,23.5,23.7,48443
2015-12-17,23.9,23.9,23.9,23.9,600
2015-12-18,23.7,23.7,23,23,40976
2015-12-21,23,23.2,23,23.2,3000
2015-12-22,23.5,23.5,23.2,23.2,9920
2015-12-23,23.3,23.8,23.3,23.8,1602
2015-12-28,23.2,23.2,23,23,60010
2015-12-29,23,23.1,23,23.1,3830
2015-12-30,23.1,23.1,23.1,23.1,1000
2015-12-31,23.6,24,23.6,24,37100
2016-01-04,23.1,23.1,23,23,11000
2016-01-05,24,24,24,24,5150
2016-01-06,23.9,23.9,23.6,23.8,29673
2016-01-07,23.5,23.5,23.3,23.3,3225
2016-01-08,23.2,23.2,23,23,209568
2016-01-11,23,23,22.9,22.9,77781
2016-01-12,22.9,23,22.8,23,160195
2016-01-13,23,23.4,23,23.4,22720
2016-01-14,23.5,23.5,23,23,116000
2016-01-18,23,23,22.8,22.9,2959
2016-01-19,22.8,22.8,22.4,22.5,12429
2016-01-20,22.7,23,22.6,23,131694
2016-01-21,23,23,23,23,5501
2016-01-22,23,23,23,23,9793
2016-01-25,0,0,0,0,0
2016-01-26,23,23,23,23,7
2016-01-27,23,23.2,23,23,12993
2016-01-28,22.9,22.9,22.9,22.9,2176
2016-01-29,22.9,22.9,22.9,22.9,50
2016-02-01,22.9,23.2,22.9,23.2,173135
2016-02-02,23,23.1,23,23.1,452
2016-02-03,23,23,23,23,550
2016-02-05,23.1,23.5,23,23,3905
2016-02-08,22.9,23,22.9,23,6450
2016-02-09,23,23,23,23,680
2016-02-10,23,23,23,23,83
2016-02-11,22.9,22.9,22.8,22.9,559
2016-02-12,23,23,22.8,22.8,109404
2016-02-15,22.7,22.7,22,22.5,4530
2016-02-16,22.1,22.1,22.1,22.1,15
2016-02-17,22.1,22.2,22,22.2,17970
2016-02-18,22.1,22.5,22.1,22.5,23084
2016-02-19,22.2,22.8,22.2,22.8,6142
2016-02-23,22.5,23,22.5,23,35000
2016-02-24,22.5,23.5,22.5,23.5,102220
2016-02-25,23.5,23.9,23.5,23.8,10140
2016-02-26,23,23.5,23,23.5,15916
2016-02-29,23.9,23.9,23.9,23.9,340
2016-03-01,23.5,24,23.5,24,4625
2016-03-02,23,23.4,22.6,23.4,10910
2016-03-03,23,23.5,23,23,678
2016-03-04,23.2,23.2,23,23,234630
2016-03-08,23.2,23.2,23,23,187465
2016-03-09,22.6,23,22.5,23,175800
2016-03-10,23,23,23,23,54345
2016-03-11,23,23.2,23,23.2,3020
2016-03-14,23,23,23,23,30
2016-03-15,23.2,23.2,23.1,23.1,12690
2016-03-16,23.1,23.2,23.1,23.2,120006
2016-03-17,0,0,0,0,0
2016-03-18,23.2,23.2,23.1,23.1,2026
2016-03-21,23,23.1,23,23.1,6050
2016-03-23,24,24,23,23.9,5124
2016-03-24,23.4,23.4,23.4,23.4,1250
2016-03-28,23.4,24,23,24,6529941
2016-03-29,24,24,24,24,2500
2016-03-30,23,23.5,23,23.5,33001
2016-03-31,23.5,24,23.5,24,187660
2016-04-01,24,24.5,23.9,24.5,48608953
2016-04-04,23.2,24.7,23.2,24.7,1380
2016-04-05,24.5,24.5,23.7,23.9,581
2016-04-06,24,24,23.9,24,26085
2016-04-07,24,24.3,24,24.2,17590
2016-04-08,24.2,24.2,24,24,1683
2016-04-11,24.2,24.2,23.7,24,300820
2016-04-12,24.2,24.5,24.2,24.5,2707
2016-04-15,24.7,25,24,25,130786
2016-04-18,24.2,25,24.2,25,138786
2016-04-19,24.2,25.9,24.2,25.8,3736095
2016-04-20,25.9,27.4,25.6,26.5,2125809
2016-04-22,26.5,26.9,26.5,26.5,11026
2016-04-25,26.5,27,26.2,27,361236
2016-04-26,26.5,28.3,26.5,28.3,4122393
2016-04-27,28.4,28.4,28.2,28.4,28692
2016-04-28,28.2,28.4,28.2,28.2,612136
2016-04-29,28,28.2,28,28.2,23658
2016-05-03,28,28.4,28,28.2,49489
2016-05-04,28.1,28.4,28.1,28.4,65513
2016-05-05,28.2,28.2,28,28.2,4212
2016-05-06,28.2,28.3,28,28.2,10610
2016-05-09,28.2,28.4,28,28.4,135211
2016-05-10,28.4,29,28.4,29,304434
2016-05-11,28.8,30,28.5,30,393483
2016-05-12,28.6,29.8,28.6,29,1411
2016-05-13,29,30.2,29,29.1,145862
2016-05-16,29,29.8,29,29,3421
2016-05-17,29.2,29.2,28.6,29,10805
2016-05-18,29,30,29,29.2,266197
2016-05-19,29,29,29,29,200
2016-05-20,29,29.2,29,29.2,5002191
2016-05-24,28.9,28.9,28.5,28.5,14919
2016-05-25,28.3,29,28,28,329306
2016-05-26,28,28.8,28,28.5,3730
2016-05-27,28,28.1,28,28.1,4641
2016-05-30,28.1,28.1,28,28,5683
2016-05-31,28,28,28,28,1402
2016-06-01,27.9,27.9,27.7,27.7,10598
2016-06-02,27.7,28,27.1,28,1390
2016-06-03,0,0,0,0,0
2016-06-06,27.6,27.6,27.5,27.6,1528
2016-06-07,27.2,27.2,27.2,27.2,1701
2016-06-08,27.3,27.3,27,27,44770
2016-06-09,26.9,26.9,26.7,26.7,420
2016-06-10,27.5,27.5,25.3,25.3,2197
2016-06-13,25.8,26.9,25.8,26.9,2554
2016-06-14,25.9,26,25.6,26,30410
2016-06-15,25.9,25.9,25.6,25.6,6500
2016-06-16,27,27,27,27,30
2016-06-17,26.1,26.1,26.1,26.1,30
2016-06-20,26.3,27,26.3,26.3,105231
2016-06-21,26.5,26.5,26.5,26.5,185501
2016-06-22,27.5,27.5,26.3,26.3,2340
2016-06-23,27.2,27.2,26.5,27,170511
2016-06-24,26.3,26.3,26.3,26.3,101
2016-06-27,26.4,27.5,26.4,27.2,83420
2016-06-28,28,28,27.2,27.2,195800
2016-06-29,27.2,28,27.2,28,46503
2016-06-30,28,28,27.1,27.2,191703
2016-07-01,28,28,27.1,27.1,803
2016-07-04,27.1,27.1,27.1,27.1,1000
2016-07-05,27.1,27.2,27,27.2,144950
2016-07-07,27,27.4,27,27.4,222
2016-07-08,27.5,27.5,27.5,27.5,100
2016-07-11,27,27,27,27,4301
2016-07-12,26.5,27,26.5,27,3001
2016-07-13,27.1,27.1,27.1,27.1,50000
2016-07-14,27.4,27.5,27.4,27.5,23400
2016-07-15,27.5,27.9,27.5,27.8,1854
2016-07-18,28,28.2,27.7,27.7,48109
2016-07-20,27.5,28.2,27,28.2,120
2016-07-21,0,0,0,0,0
2016-07-22,27.5,27.5,27.5,27.5,102
2016-07-25,27.6,28,27.6,28,1573
2016-07-26,27.9,28,27.9,28,118150
2016-07-27,28.2,28.2,28,28,1877
2016-07-28,28,28.3,28,28,4525
2016-07-29,27.7,27.7,27.1,27.1,4961
2016-08-01,27.5,27.5,27.5,27.5,3991
2016-08-02,27.5,28,27.5,28,84317
2016-08-03,28.3,28.3,27.7,28.1,65050
2016-08-04,28.2,28.3,28.2,28.2,6960
2016-08-05,28.3,29.5,28.3,29.1,92555
2016-08-08,29.1,29.7,29.1,29.5,14750
2016-08-09,29.3,30,29.2,29.8,31426
2016-08-10,29.5,29.5,29.5,29.5,2596
2016-08-11,29.5,29.5,29,29,53255
2016-08-12,29,29,29,29,69020
2016-08-15,28.5,28.5,28.5,28.5,752
2016-08-16,28.6,28.6,28.6,28.6,2215
2016-08-18,29,29.7,29,29.7,96073
2016-08-19,29.5,30,29.5,30,123371
2016-08-22,29.7,31.4,29.7,31,118333
2016-08-23,29.5,32.5,29.5,32,320541
2016-08-24,31,31.5,31,31.5,113
2016-08-25,31.1,31.5,30.7,31.5,11450
2016-08-26,31.5,31.5,31,31.4,87268
2016-08-29,30.9,30.9,30.8,30.8,260
2016-08-30,30.9,31,30.8,31,47105
2016-08-31,31,31.2,30.5,30.5,83826
2016-09-01,31,31.2,31,31.2,26187
2016-09-02,31.3,32,31.3,32,317576
2016-09-05,32,32.2,31.6,31.6,103256
2016-09-06,31.7,31.7,31.1,31.1,8020
2016-09-07,31.5,31.5,31,31,2730
2016-09-08,31.1,31.8,31,31.2,83100
2016-09-09,31.9,31.9,31.8,31.8,1020
2016-09-13,31.7,31.8,31.7,31.8,105
2016-09-14,31,31.8,30.8,30.8,38352
2016-09-15,30.7,30.9,30,30,183838
2016-09-19,28.5,30,28.5,30,65825
2016-09-20,30.9,30.9,30,30,493359
2016-09-21,30.5,30.5,30,30,28668
2016-09-22,29.9,30,28.3,28.8,21815
2016-09-23,29.1,29.1,28.7,28.7,44855
2016-09-26,30,30,29,30,1617
2016-09-27,29.1,30,29.1,30,242256
2016-09-28,29.9,30.5,29.9,30,1919926
2016-09-29,30.5,30.5,30.5,30.5,50
2016-09-30,30.5,30.5,30,30,51400
2016-10-03,30.4,30.5,30.4,30.5,1018
2016-10-04,30.4,30.4,30.4,30.4,30
2016-10-05,30.4,30.4,29.3,29.3,9861
2016-10-06,30,30,29.3,29.9,109
2016-10-07,29.9,29.9,29.9,29.9,75
2016-10-10,29.9,29.9,29.4,29.5,2796
2016-10-11,29.5,29.5,29.1,29.3,6750
2016-10-12,29.1,29.9,29.1,29.9,1010
2016-10-13,29.8,29.8,29,29.1,5000
2016-10-14,29.8,29.8,29.8,29.8,235
2016-10-17,29.9,29.9,29,29.8,60
2016-10-18,29.8,29.9,29.8,29.9,10000
2016-10-19,29.9,29.9,29.3,29.9,15637
2016-10-20,29.5,29.5,29.5,29.5,135
2016-10-21,29.6,29.6,29.6,29.6,800
2016-10-24,29.5,29.9,29,29,8116
2016-10-25,29,29,29,29,1447
2016-10-26,29.1,29.1,29,29,1435
2016-10-27,29.4,29.4,29,29,510
2016-10-28,29.5,29.5,28.8,28.8,40432
2016-10-31,29.5,29.5,29,29,145806
2016-11-01,0,0,0,0,0
2016-11-02,30,30,29.8,29.8,1105
2016-11-03,29.3,29.8,29.1,29.8,92
2016-11-04,29.2,29.7,29.2,29.7,200
2016-11-07,29.7,29.7,29,29,30146
2016-11-08,28.9,28.9,28.9,28.9,390
2016-11-09,29.4,29.4,28.9,29,2493
2016-11-10,29,29,29,29,2462
2016-11-11,29,29,28.8,29,4389
2016-11-15,29,29,28.8,28.8,76932
2016-11-16,29,29,28.3,28.3,361191
2016-11-17,29.5,29.5,28,29,1632739
2016-11-18,29,29,28.9,28.9,2100
2016-11-21,28.1,28.1,27,27,2863
2016-11-22,27.9,27.9,27,27,507
2016-11-23,26.6,26.9,26.6,26.9,200
2016-11-24,26.9,26.9,25,26,10108
2016-11-25,26.9,26.9,24.9,25,22450
2016-11-28,25,26.5,25,26,24488
2016-11-29,26,26.4,25.5,25.5,34100
2016-11-30,26,26,25.5,26,49222
2016-12-01,25.5,26.5,25.5,26,26684
2016-12-02,26.5,26.5,26.5,26.5,876
2016-12-05,26.5,28.5,26.5,28.5,8154
2016-12-06,28,28,28,28,10000
2016-12-07,28,28,28,28,20
2016-12-08,27.5,28.4,26.6,26.6,35219
2016-12-09,0,0,0,0,0
2016-12-14,26.8,26.8,26.8,26.8,100
2016-12-15,27,28.3,26.7,27.5,21418
2016-12-16,28,28,26.8,27.5,56604
2016-12-19,28,28,26.7,26.7,192
2016-12-20,26.9,27.9,26.3,26.3,667
2016-12-21,26.4,26.4,26.3,26.3,5000
2016-12-22,26.7,26.7,26.6,26.6,1300
2016-12-23,26.3,26.6,26.3,26.6,3035
2016-12-27,26.4,26.5,26.4,26.5,3500
2016-12-28,26.5,27,26.5,27,275
2016-12-29,26.6,27,26.5,27,70921
2016-12-30,26.4,26.4,26.4,26.4,500
2017-01-02,0,0,0,0,0
2017-01-03,26.2,27,26.2,27,31050
2017-01-04,27,27,26.7,26.7,11295
2017-01-05,27,27.5,27,27.5,16512
2017-01-06,27,27,27,27,1
2017-01-09,27.5,27.5,27.5,27.5,5001
2017-01-10,27,27,27,27,9002
2017-01-11,0,0,0,0,0
2017-01-13,27.5,27.5,26.6,27,21525
2017-01-16,27,27,26.2,26.4,4176
2017-01-17,26.3,26.3,26,26,5000
