date,open,high,low,close,volume
2015-09-09,155.3,171,155.3,171,12
2015-09-10,0,0,0,0,0
2015-09-11,168,168,166,166,4300
2015-09-14,167.4,168,167.4,168,2000
2015-09-15,168,168,168,168,10100
2015-09-16,168,168,167.4,168,30310
2015-09-17,168,168,168,168,10309
2015-09-18,168,168,167,167,7015
2015-09-21,168,168,167.9,168,65397
2015-09-22,168.9,170,168.9,169,7094
2015-09-23,167,167,167,167,15364
2015-09-25,168.9,169,168.9,169,10001
2015-09-28,169,169,166.5,166.5,6400
2015-09-29,169,169,168,168,117
2015-09-30,169,170,168,170,6041
2015-10-01,170,172,170,172,13004
2015-10-02,0,0,0,0,0
2015-10-05,179.9,179.9,179.9,179.9,1
2015-10-06,175,175.3,173,173,1840
2015-10-07,175,178,175,178,451340
2015-10-08,176,178,176,178,1350
2015-10-09,178,178,178,178,1171
2015-10-12,179,179.9,178.9,178.9,300968
2015-10-13,178.9,181,178,180.5,8912
2015-10-14,179,180,179,179,1642
2015-10-15,179.9,179.9,178,178,3580
2015-10-16,175,178,175,178,1241
2015-10-19,175,175,162.2,162.2,3800
2015-10-20,0,0,0,0,0
2015-10-21,164.3,164.3,164,164,800
2015-10-22,174.5,180,170.1,180,11200
2015-10-23,179.9,179.9,179.9,179.9,50
2015-10-26,179,180,175,175,5539
2015-10-28,179.8,180,179.8,179.8,2401
2015-10-29,0,0,0,0,0
2015-10-30,0,0,0,0,0
2015-11-02,179.5,179.8,179.5,179.8,1400
2015-11-03,175.5,175.5,175.5,175.5,2900
2015-11-04,0,0,0,0,0
2015-11-05,0,0,0,0,0
2015-11-06,176.5,177,175,175,6012
2015-11-09,177,177,175,175,2581
2015-11-11,175,175,175,175,1000
2015-11-12,0,0,0,0,0
2015-11-13,174,174,174,174,750
2015-11-16,170.1,170.1,170.1,170.1,10
2015-11-17,174,174.1,174,174.1,5650
2015-11-18,175.9,176.5,174,174,991
2015-11-19,174,175,174,175,19250
2015-11-20,174,174,174,174,2
2015-11-23,176.5,190,176.5,190,147459
2015-11-24,190.2,193.5,190.2,190.5,156570
2015-11-26,190,190,185.1,185.1,4876
2015-11-27,0,0,0,0,0
2015-11-30,180.1,185,180,185,3344
2015-12-01,184.4,188,184,188,4200
2015-12-02,189.7,190,185,185,23059
2015-12-03,189,189.9,188,189.9,103058
2015-12-04,189,189,189,189,1
2015-12-07,189,189.6,185,185,1553
2015-12-08,0,0,0,0,0
2015-12-09,189,189,189,189,1
2015-12-10,185,185,184.1,184.1,80
2015-12-11,184,184.1,181,181,1356
2015-12-14,0,0,0,0,0
2015-12-15,182.4,182.4,182.4,182.4,60
2015-12-16,183,183,182,182,4500
2015-12-17,180,182,180,180.3,9630
2015-12-18,180.3,180.3,180.3,180.3,2
2015-12-21,181,184.5,180.3,181,11657
2015-12-22,184,185,184,185,5706
2015-12-23,189.5,189.5,189.5,189.5,35
2015-12-28,0,0,0,0,0
2015-12-29,0,0,0,0,0
2015-12-30,189,189,189,189,6188
2015-12-31,189,189,189,189,100
2016-01-04,0,0,0,0,0
2016-01-05,189.5,189.5,189,189,2809
2016-01-06,0,0,0,0,0
2016-01-07,0,0,0,0,0
2016-01-08,185,185,183,183,1500
2016-01-11,182,182,170.1,171.8,404
2016-01-12,171.8,175,170,171.8,545922
2016-01-13,175,176,175,175,1700
2016-01-14,175,175,175,175,200
2016-01-18,170.2,170.2,170,170,2510
2016-01-19,160.1,160.1,158,158,3900
2016-01-20,160.1,160.1,159.3,160,13531
2016-01-21,169.9,169.9,165,165.1,117201
2016-01-22,165,165.1,165,165,3501
2016-01-25,165.1,165.1,165.1,165.1,1
2016-01-26,0,0,0,0,0
2016-01-27,165.1,165.1,165,165,225
2016-01-28,0,0,0,0,0
2016-01-29,166.1,166.1,166.1,166.1,3
2016-02-01,166.1,166.1,166.1,166.1,100
2016-02-02,170,172,170,172,1171
2016-02-03,0,0,0,0,0
2016-02-05,0,0,0,0,0
2016-02-08,167,167,166.1,166.1,1700
2016-02-09,166,171,166,171,900
2016-02-10,166,166,165,165,826
2016-02-11,166,166,163,165,8601
2016-02-12,0,0,0,0,0
2016-02-15,165,166,165,166,209374
2016-02-16,169,169,169,169,1
2016-02-17,165,165,163.6,163.6,214
2016-02-18,164,164,163.6,163.6,2397
2016-02-19,165,165,160.1,160.2,9610
2016-02-23,165,165,163,163,105
2016-02-24,163,163,163,163,5411
2016-02-25,162,162,162,162,145
2016-02-26,160.2,160.2,160.2,160.2,1005
2016-02-29,159,159,159,159,1
2016-03-01,159,159,159,159,90
2016-03-02,159,160,159,160,607
2016-03-03,0,0,0,0,0
2016-03-04,155,169.9,155,155,2519
2016-03-08,169.8,169.8,152,152,3
2016-03-09,155,155,150,150,1655
2016-03-10,0,0,0,0,0
2016-03-11,0,0,0,0,0
2016-03-14,151.1,151.1,151,151,79
2016-03-15,0,0,0,0,0
2016-03-16,0,0,0,0,0
2016-03-17,0,0,0,0,0
2016-03-18,150,150,150,150,18400
2016-03-21,150.1,150.1,150,150,19242
2016-03-23,0,0,0,0,0
2016-03-24,153.5,153.5,150,150,88440
2016-03-28,150,150,150,150,1500
2016-03-29,0,0,0,0,0
2016-03-30,150,150,150,150,71
2016-03-31,150,150,150,150,50
2016-04-01,144,144,141,141,844
2016-04-04,0,0,0,0,0
2016-04-05,141.5,141.5,140,140.1,1136200
2016-04-06,145,147.9,145,147.9,15086
2016-04-07,145.9,147.9,145.9,146,6100
2016-04-08,146,148,146,146,35500
2016-04-11,149,149,146,148,23535
2016-04-12,148,150.1,148,149,27091
2016-04-15,150,150,147.1,147.1,1501
2016-04-18,150,150,147,147,50510
2016-04-19,0,0,0,0,0
2016-04-20,146.2,148,146,147,37609
2016-04-22,155,155,155,155,16
2016-04-25,154.9,154.9,151.9,151.9,280
2016-04-26,150,150,147.1,147.1,10
2016-04-27,150,152,150,152,16876
2016-04-28,150.1,154.9,150.1,150.1,1091
2016-04-29,150.2,151.1,150.2,151.1,1500
2016-05-03,154,168.9,154,160,430
2016-05-04,0,0,0,0,0
2016-05-05,160,160,160,160,45
2016-05-06,158,158,158,158,20
2016-05-09,161.5,161.5,160,160,61116
2016-05-10,160,161.5,160,161.5,12401
2016-05-11,161,161,160,160,6001
2016-05-12,160,161,160,161,6223
2016-05-13,158,158,158,158,1
2016-05-16,161,161,158,159,126
2016-05-17,158.1,160,158.1,160,10111
2016-05-18,0,0,0,0,0
2016-05-19,159,164,159,164,15020
2016-05-20,0,0,0,0,0
2016-05-24,158,158,158,158,102
2016-05-25,160,160,160,160,3000
2016-05-26,155,155,155,155,125
2016-05-27,0,0,0,0,0
2016-05-30,159,160,155.2,155.2,16853
2016-05-31,155,155,155,155,700
2016-06-01,157,159,157,159,10255
2016-06-02,160,160,160,160,75105
2016-06-03,0,0,0,0,0
2016-06-06,160,160,160,160,1
2016-06-07,155.2,155.2,155,155,99
2016-06-08,0,0,0,0,0
2016-06-09,0,0,0,0,0
2016-06-10,159,159,155.3,155.3,240
2016-06-13,159,159,156,156,127
2016-06-14,156,156,156,156,1338
2016-06-15,155.5,155.5,150.2,150.2,4873
2016-06-16,153,153,153,153,100
2016-06-17,153,154,153,154,34609
2016-06-20,0,0,0,0,0
2016-06-21,0,0,0,0,0
2016-06-22,0,0,0,0,0
2016-06-23,154,154,154,154,200
2016-06-24,154,154,154,154,456
2016-06-27,154,154,154,154,1
2016-06-28,156,156,153,153,185
2016-06-29,152.9,152.9,152.9,152.9,1
2016-06-30,155,155,154.5,154.5,2
2016-07-01,153,153,153,153,1512
2016-07-04,152.9,153,150,150,164
2016-07-05,150,150.1,150,150,2173
2016-07-07,153,158.9,153,158.9,1084
2016-07-08,0,0,0,0,0
2016-07-11,0,0,0,0,0
2016-07-12,0,0,0,0,0
2016-07-13,151.5,151.5,151.5,151.5,100
2016-07-14,0,0,0,0,0
2016-07-15,158.8,158.8,158.8,158.8,2
2016-07-18,151.6,151.6,151.5,151.5,2900
2016-07-20,152,157,152,157,35
2016-07-21,152,157.9,152,157.9,13511
2016-07-22,155,156,155,155,63594
2016-07-25,156,156,154,155,9873
2016-07-26,155,159.9,155,159.9,16475
2016-07-27,0,0,0,0,0
2016-07-28,0,0,0,0,0
2016-07-29,159.9,160,159.5,160,20370
2016-08-01,159.5,160,159.5,160,27
2016-08-02,159.5,160,159.5,160,81
2016-08-03,0,0,0,0,0
2016-08-04,161,161,160,160,40
2016-08-05,0,0,0,0,0
2016-08-08,160,160,160,160,315
2016-08-09,160,161,160,161,5316
2016-08-10,161,165,161,165,3422
2016-08-11,0,0,0,0,0
2016-08-12,161.1,165,161.1,165,5131
2016-08-15,166,174,166,173.1,21326
2016-08-16,174,176.5,174,175,13916
2016-08-18,175,175.1,175,175.1,732
2016-08-19,175,175.2,175,175.2,175
2016-08-22,175.2,176,175,176,3181
2016-08-23,175,179,175,179,270
2016-08-24,175,177.9,172,177.9,86942
2016-08-25,0,0,0,0,0
2016-08-26,177.9,177.9,170,170,3006
2016-08-29,175,175,175,175,10000
2016-08-30,173,173.3,173,173.3,322
2016-08-31,174,174.1,174,174.1,270
2016-09-01,175,176,174.1,176,4863
2016-09-02,176,177,176,177,1000
2016-09-05,174.1,174.1,174.1,174.1,2
2016-09-06,174.4,174.4,174,174,2090
