date,open,high,low,close,volume
2015-09-09,973,980,970,980,6383
2015-09-10,970,980,970,980,3120
2015-09-11,990,990,980,980,502
2015-09-14,0,0,0,0,0
2015-09-15,980,990,980,980,22
2015-09-16,990,990,980,980,610
2015-09-17,980,980,978,980,8125
2015-09-18,990,990,979,979,5015
2015-09-21,980,980,979.5,979.5,6507
2015-09-22,970,970,970,970,31
2015-09-23,979.5,979.5,979.5,979.5,10
2015-09-25,976,976,969.9,969.9,718
2015-09-28,960.2,970,960,960,174
2015-09-29,960,960,960,960,2
2015-09-30,0,0,0,0,0
2015-10-01,960,970,951.1,969.9,15506
2015-10-02,969,969.9,953,965,14143
2015-10-05,952,965,952,965,203
2015-10-06,952.1,952.1,952.1,952.1,100
2015-10-07,960,960,950,950,10505
2015-10-08,963,963,963,963,1
2015-10-09,960.1,960.1,960,960,21
2015-10-12,960,965,960,960,124
2015-10-13,955,960,955,960,10543
2015-10-14,960,960,960,960,3709
2015-10-15,960,961,960,961,3750
2015-10-16,965,970,965,970,5292
2015-10-19,970,970,962,970,28430
2015-10-20,970,978.5,970,970,8888
2015-10-21,974.8,980,974.8,980,7063
2015-10-22,999,999,980,997.5,13587
2015-10-23,980.1,980.1,970,970,136
2015-10-26,980.1,980.1,965,980.1,22
2015-10-28,980.1,980.1,980,980,37
2015-10-29,0,0,0,0,0
2015-10-30,980,980,965,965,1100
2015-11-02,965,965,965,965,53
2015-11-03,965,965,965,965,10
2015-11-04,0,0,0,0,0
2015-11-05,962,979,960,979,6789
2015-11-06,980,980,960,980,37558
2015-11-09,985,986,980.1,985,642
2015-11-11,985,985,982,985,112
2015-11-12,985,985,982,985,56721
2015-11-13,983.3,986,981,986,23327
2015-11-16,985,986,981,985,24685
2015-11-17,986,986,985,986,7354
2015-11-18,987.5,987.5,986,987,70
2015-11-19,985,990,985,987,2807
2015-11-20,987,990,986,986,3009
2015-11-23,990,990,987,987,51812
2015-11-24,989.9,999,987,987,21110
2015-11-26,987,987,985,985,728
2015-11-27,990,990,975,980,52070
2015-11-30,990,990,988,990,20057
2015-12-01,989.8,990,989.8,990,184569
2015-12-02,985,985,985,985,5
2015-12-03,987,1000,987,1000,132287
2015-12-04,999.1,999.1,997.5,999.1,49288
2015-12-07,980,980,980,980,6
2015-12-08,980,980,975,980,1223
2015-12-09,0,0,0,0,0
2015-12-10,0,0,0,0,0
2015-12-11,0,0,0,0,0
2015-12-14,975,990,974.5,974.5,13
2015-12-15,0,0,0,0,0
2015-12-16,0,0,0,0,0
2015-12-17,980,980,980,980,9
2015-12-18,0,0,0,0,0
2015-12-21,977,977,975,975,20
2015-12-22,975,975,975,975,1001
2015-12-23,0,0,0,0,0
2015-12-28,975.1,980,975,980,1661
2015-12-29,980,980,956,956,90
2015-12-30,990,1000,975,975.1,1182
2015-12-31,980,995,960,995,1036
2016-01-04,0,0,0,0,0
2016-01-05,995,995,980,980,2026
2016-01-06,970,980,970,980,2414
2016-01-07,0,0,0,0,0
2016-01-08,0,0,0,0,0
2016-01-11,970,970,960.5,969.6,15
2016-01-12,960.2,970,960.2,970,61866
2016-01-13,970,970,970,970,1377
2016-01-14,975,975,950,955,2864
2016-01-18,960,960.6,960,960.6,5164
2016-01-19,979.6,979.6,960.5,979.3,1274
2016-01-20,961,970,961,970,6978
2016-01-21,970,970,962,964,540
2016-01-22,967,970,967,970,85428
2016-01-25,967,970,967,970,501
2016-01-26,967,978,967,978,447
2016-01-27,967.1,970,967.1,970,1653
2016-01-28,973,978.5,973,973,40154
2016-01-29,0,0,0,0,0
2016-02-01,978.5,978.5,970,970,104
2016-02-02,970,1000,970,1000,85018
2016-02-03,999,999,999,999,5
2016-02-05,0,0,0,0,0
2016-02-08,971,971,971,971,1
2016-02-09,990,990,970.1,990,3557
2016-02-10,985,985,985,985,145
2016-02-11,985,985,985,985,79
2016-02-12,985,985.3,984.5,984.9,3013
2016-02-15,999,1042,998,1000,3904
2016-02-16,1015,1020,1000,1000,9143
2016-02-17,1024.9,1024.9,1000,1000,812
2016-02-18,1022.5,1025,1000,1025,260
2016-02-19,1024.5,1024.5,1000,1024.5,1522
2016-02-23,1000,1001,1000,1000,280
2016-02-24,1000,1000,1000,1000,69511
2016-02-25,999.9,999.9,999.9,999.9,100
2016-02-26,1000,1000,999.9,999.9,12591
2016-02-29,1000,1000,980,980,58
2016-03-01,970,970,970,970,1882
2016-03-02,980,980,970,970.2,547
2016-03-03,999,1000.1,990,1000,12891
2016-03-04,1000,1015,1000,1015,816
2016-03-08,1000,1000,995,1000,69307
2016-03-09,985,1000,950,1000,172254
2016-03-10,1000,1000,1000,1000,304624
2016-03-11,1000,1010,999.9,999.9,547
2016-03-14,995,1000,995,1000,4396
2016-03-15,1008,1008,1005,1005,3
2016-03-16,985,985,985,985,1
2016-03-17,1000,1003,1000,1001,4922
2016-03-18,1000,1000,1000,1000,2322
2016-03-21,1000,1000,1000,1000,600
2016-03-23,1000.5,1005,1000.5,1001.5,432
2016-03-24,1005,1009.8,1005,1009.8,306
2016-03-28,1002.5,1005,1001.5,1001.5,696
2016-03-29,1001.5,1005,1001.5,1001.5,1860
