date,open,high,low,close,volume
2015-09-09,385,389,385,387,1441
2015-09-10,387,387,385,385,2326
2015-09-11,384,388,380,380,114260
2015-09-14,380.9,380.9,380,380,7913
2015-09-15,399.9,399.9,380,380,2868
2015-09-16,380,380.1,378,380,2633
2015-09-17,380,380,377.2,380,310
2015-09-18,380,390,380,390,6
2015-09-21,380,389.9,379,380,126828
2015-09-22,380,380,378.9,380,64713
2015-09-23,380,380,378,378,55135
2015-09-25,390,390,379.6,379.6,138155
2015-09-28,380,380,379.5,379.5,1758
2015-09-29,380,380,376,376,38751
2015-09-30,376,376,370,370,1347172
2015-10-01,370,380,369,370,12835
2015-10-02,371,380,371,374,38
2015-10-05,375,380,370,370,127291
2015-10-06,370,370,370,370,33301
2015-10-07,372,380,370,370,17432
2015-10-08,373,373,370,370,7034
2015-10-09,370,373,365,370,13216
2015-10-12,367,367,365,366.5,26239
2015-10-13,365,365,355,355,13437
2015-10-14,355,360,352,353.2,10157
2015-10-15,353.2,360,353.2,359.9,1268
2015-10-16,355.1,360,355,355,23862
2015-10-19,355,369.9,355,369.9,91703
2015-10-20,369.9,370,369.9,370,171
2015-10-21,369.9,370,369.9,370,4130
2015-10-22,370,370,365,365,2285
2015-10-23,370,370,366.1,366.2,905
2015-10-26,370,370,366.1,366.1,31
2015-10-28,366.1,369.5,366.1,369,63719
2015-10-29,369,370,368,369,1421
2015-10-30,370,374.9,370,374.9,3385
2015-11-02,380,383.5,379,380,6054
2015-11-03,378,380,376.5,377,6579
2015-11-04,377,377.5,376.1,376.1,1202
2015-11-05,376.2,377,375,377,2545
2015-11-06,377,377,372.5,373,4612
2015-11-09,373,373,371,371.1,1636
2015-11-11,370,370,360,360,35251
2015-11-12,362,365,362,363,5451
2015-11-13,365,369.8,362.6,363,2051
2015-11-16,368,369.1,364,369.1,2056
2015-11-17,365,365,364.2,364.2,8340
2015-11-18,365,365,364.2,365,1923
2015-11-19,364.2,369,363,364,12607
2015-11-20,364,369,363,364,3406
2015-11-23,363,363,360,362,1937
2015-11-24,360.5,360.5,359,360,6413
2015-11-26,359.1,360,348,350,4485
2015-11-27,356.9,359.5,355,358.9,823
2015-11-30,357,358.5,356,356,5362
2015-12-01,357,358,355,355,3014
2015-12-02,358,358,354,354.5,863
2015-12-03,358,358,354.6,355,1630
2015-12-04,355,357,355,357,507
2015-12-07,357,358,357,357,313
2015-12-08,356.1,357,355.1,355.1,2915
2015-12-09,355.2,357,350,350,32916
2015-12-10,355,355,350,350,1726
2015-12-11,352,355.5,349,349,8517
2015-12-14,350,350,349.7,350,1803
2015-12-15,350,355,350,350,44195
2015-12-16,350.3,355,350.3,351.5,1498
2015-12-17,351.5,351.5,350,350,32529
2015-12-18,351,351,349.9,350,11902
2015-12-21,349.9,350,349.7,350,2318
2015-12-22,350,350,349.9,349.9,1735
2015-12-23,350,350,349.9,349.9,6755
2015-12-28,348,348,346,348,1880
2015-12-29,347.3,347.3,347,347,3131
2015-12-30,348.3,348.3,344,345,4266
2015-12-31,345,345,342.1,345,928
2016-01-04,345,345,342.5,342.5,1707
2016-01-05,344,344,339,339.1,5661
2016-01-06,340,340,339,339,4117
2016-01-07,340,340,338,339.1,3455
2016-01-08,339.5,340,338,340,3235
2016-01-11,339,339,337.1,337.1,6970
2016-01-12,337.5,337.5,326.5,326.5,8146
2016-01-13,330,330,313,313,114402
2016-01-14,315,315,299,300,100276
2016-01-18,300,307.5,299,301,28348
2016-01-19,307.4,309.8,301.3,309,30374
2016-01-20,308,308.9,306,306,5566
2016-01-21,320,320,310,310,12562
2016-01-22,310,313,310,310,17028
2016-01-25,313,313,310,310,171
2016-01-26,310,312,308,308,27700
2016-01-27,313,313,310,310,16278
2016-01-28,319.9,319.9,308.5,308.5,125051
2016-01-29,318.9,318.9,310,315,10588
2016-02-01,310.1,316,310,311.4,20737
2016-02-02,311,311.9,310,310,44080
2016-02-03,311,311,309,309,7944
2016-02-05,308,311.9,308,308,15521
2016-02-08,311.9,311.9,308,308,6368
2016-02-09,309.5,310,307,307,1667
2016-02-10,307.5,308,301,307,98205
2016-02-11,307.4,307.4,301.6,307,1102
2016-02-12,302,307,301.5,305,1747
2016-02-15,305,307,301.4,307,8237
2016-02-16,307,307,301.5,301.6,10924
2016-02-17,302,307,302,307,3911
2016-02-18,305,305,302,305,10210
2016-02-19,303,305,303,305,2127
2016-02-23,305,305,303,305,816
2016-02-24,304,305,304,305,52252
2016-02-25,305,308.9,305,306,2508
2016-02-26,304.2,308.5,304.1,305,889
2016-02-29,304.2,306,304,305,377
2016-03-01,306,307,304,306.9,10286
2016-03-02,307.9,310,305,310,11404
2016-03-03,314.9,315,308.1,312,335
2016-03-04,312,312,307.1,307.1,1147
2016-03-08,305,305,302,304.9,213519
2016-03-09,302.1,304.1,301.9,302,192339
2016-03-10,304.1,305.5,302,302,200258
2016-03-11,304.4,306,302,302,213122
2016-03-14,308,308,301,302,149225
2016-03-15,305.5,305.5,300.5,302,2937
2016-03-16,300.5,302,300,302,5112
2016-03-17,300.2,305.4,300.2,303,914265
2016-03-18,302,303,301.6,301.6,6362
2016-03-21,301.9,305.5,301.2,305,886
2016-03-23,301.1,305,301.1,304,116
2016-03-24,304,310,304,309,7804
2016-03-28,308.9,308.9,304,308.8,12
2016-03-29,304.7,308,304.7,308,553
2016-03-30,305.1,307.9,302,307.5,3007
2016-03-31,302,307.5,302,302.1,5221
2016-04-01,307.5,310,307.4,307.5,3293
2016-04-04,309.8,312,309.8,312,9400
2016-04-05,312,314,312,314,1729
2016-04-06,314,314,312,313.8,2683
2016-04-07,313.8,313.8,310,310,16007
2016-04-08,312,316.9,312,316.9,15312
2016-04-11,316.9,317,310,316.9,514447
2016-04-12,312,314.9,307,314.9,2882
2016-04-15,313.9,313.9,311.9,313.9,4067
2016-04-18,313.5,313.5,313.5,313.5,69
2016-04-19,313,320,313,313,35914
2016-04-20,313,320,313,320,149257
2016-04-22,317,318.4,313,318,646234
2016-04-25,319.9,319.9,313,313,5903
2016-04-26,323.9,350,320,335,131421
2016-04-27,335,338.5,334.9,335,31068
2016-04-28,335,337,334,335,25074
2016-04-29,335,337,335,337,27422
2016-05-03,338,339.8,337,338,44790
2016-05-04,338.1,345,336.9,337,415921
2016-05-05,344.8,344.8,340,340,74951
2016-05-06,343,344.7,340,340,19632
2016-05-09,344.4,344.4,341,343.4,6428
2016-05-10,343.5,350,343.5,348.7,13283
2016-05-11,347.8,347.8,346.5,347,11770
2016-05-12,347.8,347.8,345,345,46048
2016-05-13,347,349,344,344,45742
2016-05-16,344.5,346,341,341,20732
2016-05-17,341.1,345,340,344.5,8639
2016-05-18,342,342,339,340,21133
2016-05-19,340,340,339.1,340,100413
2016-05-20,340,340,339.2,340,2959
2016-05-24,340,340,339.7,340,15190
2016-05-25,340,340,339.2,340,2429
2016-05-26,340,340,338.9,339.9,9315
2016-05-27,339.5,339.8,338.6,339,8833
2016-05-30,339,339,338.3,339,11720
2016-05-31,338.3,338.9,338,338,20761
2016-06-01,338,338,337.4,337.5,4472
2016-06-02,338,338,336.9,337,15188
2016-06-03,337,337,335.9,336,26666
2016-06-06,336,336,334,334,25393
2016-06-07,330,337,329,334,15248
2016-06-08,0,0,0,0,0
2016-06-09,0,0,0,0,0
2016-06-10,0,0,0,0,0
2016-06-13,177,177,169.9,172.1,173153
2016-06-14,173,173,171.5,173,63560
2016-06-15,173,173.5,170.7,171,60308
2016-06-16,173,173,169.8,170,128757
2016-06-17,165,167,164.4,165,17093
2016-06-20,166,166,164.2,165,5888
2016-06-21,165,165,164.3,164.5,15707
2016-06-22,164.2,164.2,162.5,163,7844
2016-06-23,163,163,159,159,42142
2016-06-24,159,159,155.5,156.5,35114
2016-06-27,156,156,149.8,150,151697
2016-06-28,151,152,149.9,150,1517487
2016-06-29,150,150,149.5,149.7,581512
2016-06-30,149.8,149.8,149,149,540573
2016-07-01,149.7,152,149.5,151.9,3462685
2016-07-04,154.8,154.8,150,150,458345
2016-07-05,152,152,149.8,150,79581
2016-07-07,150.5,154.9,150,150,1898215
2016-07-08,153.9,153.9,150,152.5,2692151
2016-07-11,152.5,154,151.1,153.7,11969
2016-07-12,154,158,154,157,203588
2016-07-13,159,161.5,158.5,160,262439
2016-07-14,160,168.5,160,168.3,791226
2016-07-15,169,169.4,161.3,167,62672
2016-07-18,168,168,165,167,7057
2016-07-20,167.5,167.9,165,166,11906
2016-07-21,166,166.4,164,166,53880
2016-07-22,166,166,164.4,164.4,52670
2016-07-25,165,165,163,163.2,20188
2016-07-26,164,165,163,164,25370
2016-07-27,166,166.5,164.6,164.6,116400
2016-07-28,167,167,165,166,81041
2016-07-29,167.5,167.5,164.6,164.9,26677
2016-08-01,166,167.4,166,167,34098
2016-08-02,167.3,168,166,167,315573
2016-08-03,167,167,164.9,164.9,1462191
2016-08-04,164,164,162.5,163.5,71535
2016-08-05,163.9,163.9,162.6,163.8,170527
2016-08-08,162.5,164.5,162.5,163,90733
2016-08-09,162.6,164,162.6,163.1,514792
2016-08-10,163.1,163.2,163,163.1,682545
2016-08-11,164,164,162.8,163,321712
2016-08-12,163,164,162,162,310056
2016-08-15,163,164.9,162.6,164.9,325897
2016-08-16,165,165,164,164.9,12915
2016-08-18,164.9,166.9,164,164,54470
2016-08-19,164,168,162,167.5,130674
2016-08-22,168,168,165.3,167.8,180406
2016-08-23,167.5,167.8,165,167,549317
2016-08-24,167,167,166,166,5506
2016-08-25,166.7,166.7,164.5,164.9,28476
2016-08-26,165,165,160,162,18059
2016-08-29,162,163.9,162,163.9,40329
2016-08-30,164,164,163,163.9,52245
2016-08-31,164,164,163.1,163.8,3154
2016-09-01,164,164.9,163.1,164.1,73561
2016-09-02,164.3,165.4,164.3,165,401606
2016-09-05,165.1,165.1,164,165,34314
2016-09-06,165.4,165.4,165,165.4,183270
2016-09-07,165.4,166.9,165.1,166.9,67499
2016-09-08,166.5,168.5,166.5,167,64699
2016-09-09,168.5,168.5,167,167,4465
2016-09-13,168,170,167,169,309408
2016-09-14,168.9,170,168,168,511979
2016-09-15,168.1,168.9,168,168,28656
2016-09-19,168,170,168,169.7,499049
2016-09-20,169.1,169.1,167,167.9,7413
2016-09-21,168.5,168.5,167.6,168,25852
2016-09-22,168,169,167.5,169,25182
2016-09-23,169,169,168.4,169,46609
2016-09-26,169.8,169.8,168,169,2907
2016-09-27,168.9,168.9,167.5,168,34616
2016-09-28,168,168,167,168,6993
2016-09-29,168.8,168.8,166.1,168,12960
2016-09-30,167.9,167.9,166.7,166.7,12900
2016-10-03,168,169.8,167,169.8,10474
2016-10-04,169.9,169.9,168,168,22189
2016-10-05,169,169,168,168.1,78425
2016-10-06,169,170.5,169,170,118866
2016-10-07,170,170.5,170,170.3,24080
2016-10-10,170,170,169.5,170,5999
2016-10-11,169.5,170,169.3,169.5,4443
2016-10-12,169.9,169.9,169,169.5,28957
2016-10-13,169,169,167,167.9,6752
2016-10-14,169,171,169,170,64141
2016-10-17,171,171,169.4,169.5,37469
2016-10-18,170,170,169,169.5,34650
2016-10-19,169.5,170,169.3,170,60768
2016-10-20,170,170,169.5,170,20542
2016-10-21,170,170,169.5,170,29362
2016-10-24,169.6,169.6,167,167,13182
2016-10-25,167.9,168,167,168,12700
2016-10-26,167.1,168.5,167,167.8,8054
2016-10-27,168,168.5,166.5,167,30320
2016-10-28,168,168,166.5,167,6943
2016-10-31,167.9,167.9,165,165,16557
2016-11-01,165,165.9,164.5,164.5,5657
2016-11-02,167,167,164.2,165,9815
2016-11-03,166.3,166.3,164,164.9,6862
2016-11-04,165,165,163.7,163.8,1440
2016-11-07,163.9,164,163.7,164,8630
2016-11-08,164,164.1,163.8,164,9039
2016-11-09,165,167.5,163,163,14441
2016-11-10,165,165,163,164,31786
2016-11-11,165,165,163.2,164,1727
2016-11-15,164,164,160.1,160.1,28324
2016-11-16,161.8,163,160,160,29670
2016-11-17,160,160,159,159,8742
2016-11-18,159,160,156,159.4,433871
2016-11-21,160,160,156,156.5,43484
2016-11-22,156.5,156.5,155,155.9,32817
2016-11-23,155.1,157,155.1,156,28056
2016-11-24,159.8,159.8,156,158,7354
2016-11-25,158,158.1,158,158,9895
2016-11-28,159,159,157,157,4714
2016-11-29,158,158,157,158,43949
2016-11-30,159,159,158.5,158.5,610704
2016-12-01,159,162.5,158.6,162.4,18479
2016-12-02,162.5,163.4,162,163.4,1773
2016-12-05,162,164,162,164,37177
2016-12-06,164,164,162.5,162.8,78562
2016-12-07,162.8,162.8,161.5,162,10760
2016-12-08,161.1,163,161,162,46236
2016-12-09,164,164,162,164,26126
2016-12-14,162.5,162.5,160,161,3032065
2016-12-15,161.1,162,161,161,193060
2016-12-16,164.9,164.9,160,161,1091115
2016-12-19,162,162,160,160.1,36081
2016-12-20,161,161,160,160,351329
2016-12-21,160,161.9,159.5,161,96369
2016-12-22,160.1,163,160,160,50390
2016-12-23,159.6,159.8,158,158,15017
2016-12-27,158,159,158,159,3093
2016-12-28,159,159,158.5,159,18165
2016-12-29,159,159.2,158.5,159.2,13382
