date,open,high,low,close,volume
2015-09-09,676,676,676,676,1
2015-09-10,689.9,689.9,685,685,10
2015-09-11,680,684.9,680,684.9,210
2015-09-14,675,675,674,674,201
2015-09-15,674.2,674.2,674,674,229
2015-09-16,684.9,684.9,670.1,670.1,200
2015-09-17,0,0,0,0,0
2015-09-18,671.5,671.5,670,670,164
2015-09-21,550.1,684.5,550.1,684.5,111
2015-09-22,0,0,0,0,0
2015-09-23,0,0,0,0,0
2015-09-25,0,0,0,0,0
2015-09-28,0,0,0,0,0
2015-09-29,665,684.9,665,684.9,60
2015-09-30,684.9,684.9,684.9,684.9,100
2015-10-01,0,0,0,0,0
2015-10-02,0,0,0,0,0
2015-10-05,0,0,0,0,0
2015-10-06,0,0,0,0,0
2015-10-07,0,0,0,0,0
2015-10-08,670,670,670,670,1
2015-10-09,0,0,0,0,0
2015-10-12,630,630,630,630,150
2015-10-13,0,0,0,0,0
2015-10-14,660,660,630,630,100
2015-10-15,659.9,659.9,659.9,659.9,1
2015-10-16,0,0,0,0,0
2015-10-19,630.1,630.1,630,630,249
2015-10-20,627,627,627,627,20
2015-10-21,0,0,0,0,0
2015-10-22,0,0,0,0,0
2015-10-23,0,0,0,0,0
2015-10-26,0,0,0,0,0
2015-10-28,635,635,635,635,1
2015-10-29,0,0,0,0,0
2015-10-30,0,0,0,0,0
2015-11-02,676.9,676.9,676.9,676.9,100
2015-11-03,670,670,670,670,2
2015-11-04,636.1,636.1,635.1,635.1,3
2015-11-05,0,0,0,0,0
2015-11-06,0,0,0,0,0
2015-11-09,635.1,635.1,635.1,635.1,5
2015-11-11,0,0,0,0,0
2015-11-12,0,0,0,0,0
2015-11-13,640,640,640,640,259
2015-11-16,640,640,630,630,257
2015-11-17,0,0,0,0,0
2015-11-18,640,640,640,640,11
2015-11-19,630.5,630.5,630.5,630.5,1
2015-11-20,630.2,630.2,630,630,113
2015-11-23,0,0,0,0,0
2015-11-24,0,0,0,0,0
2015-11-26,0,0,0,0,0
2015-11-27,620,620.1,620,620.1,9
2015-11-30,0,0,0,0,0
2015-12-01,0,0,0,0,0
2015-12-02,0,0,0,0,0
2015-12-03,0,0,0,0,0
2015-12-04,621.3,621.3,621,621,20
2015-12-07,0,0,0,0,0
2015-12-08,630,675.9,630,640,54
2015-12-09,0,0,0,0,0
2015-12-10,0,0,0,0,0
2015-12-11,639,640,630,630,4689
2015-12-14,639.9,650,639.9,640,1187
2015-12-15,0,0,0,0,0
2015-12-16,640,650,640,641,732
2015-12-17,0,0,0,0,0
2015-12-18,658,658,658,658,2
2015-12-21,675.5,675.5,670,670,2
2015-12-22,675.4,675.4,675.4,675.4,1
2015-12-23,658,658,658,658,56
2015-12-28,0,0,0,0,0
2015-12-29,675,675,675,675,1
2015-12-30,0,0,0,0,0
2015-12-31,640,640,640,640,3
2016-01-04,0,0,0,0,0
2016-01-05,674.9,675,674.9,675,5
2016-01-06,673,673,648.9,648.9,2
2016-01-07,645,648.9,645,648.9,11
2016-01-08,0,0,0,0,0
2016-01-11,640,640,640,640,3
2016-01-12,640,640,630,630,112
2016-01-13,630,630,630,630,9
2016-01-14,612.1,612.1,611,611,125
2016-01-18,600,600,600,600,299
2016-01-19,0,0,0,0,0
2016-01-20,600.1,600.1,600,600,200
2016-01-21,0,0,0,0,0
2016-01-22,640,640,640,640,18
2016-01-25,0,0,0,0,0
2016-01-26,0,0,0,0,0
2016-01-27,615,615,615,615,5
2016-01-28,0,0,0,0,0
2016-01-29,615,615,615,615,10
2016-02-01,0,0,0,0,0
2016-02-02,602,602,602,602,10
2016-02-03,603,603,603,603,10
2016-02-05,650,650,650,650,1
2016-02-08,0,0,0,0,0
2016-02-09,0,0,0,0,0
2016-02-10,0,0,0,0,0
2016-02-11,0,0,0,0,0
2016-02-12,609,609,609,609,10
2016-02-15,608,608,590,590,49
2016-02-16,699.9,699.9,660,660,200
2016-02-17,0,0,0,0,0
2016-02-18,650,650,650,650,1004
2016-02-19,610,610,600,600,11
2016-02-23,600.1,600.1,600.1,600.1,1
2016-02-24,0,0,0,0,0
2016-02-25,605,605,600,600,76
2016-02-26,0,0,0,0,0
2016-02-29,590,620,581,620,69
2016-03-01,0,0,0,0,0
2016-03-02,619,620,614.9,614.9,651
2016-03-03,0,0,0,0,0
2016-03-04,590,590,590,590,25
2016-03-08,590,590,582,582,3
2016-03-09,603.5,603.5,590,590,201
2016-03-10,0,0,0,0,0
2016-03-11,603.8,603.8,603.8,603.8,5
2016-03-14,711.5,711.5,711.5,711.5,1
2016-03-15,0,0,0,0,0
2016-03-16,0,0,0,0,0
2016-03-17,591,640,591,640,21
2016-03-18,640,640,640,640,1
2016-03-21,0,0,0,0,0
2016-03-23,0,0,0,0,0
2016-03-24,0,0,0,0,0
2016-03-28,610.5,610.5,610.5,610.5,436
2016-03-29,0,0,0,0,0
2016-03-30,616.5,616.5,616.5,616.5,8
2016-03-31,615,619.6,555,616.5,1707
2016-04-01,620,620,620,620,2
2016-04-04,700,700,700,700,1
2016-04-05,697.9,700.1,697.9,700,18556
2016-04-06,707,712,707,710,173
2016-04-07,715,720,715,720,427
2016-04-08,721,721,721,721,5
2016-04-11,730,730,730,730,205
2016-04-12,716,730,700,730,168
2016-04-15,0,0,0,0,0
2016-04-18,0,0,0,0,0
2016-04-19,0,0,0,0,0
2016-04-20,700.1,700.1,700.1,700.1,10
2016-04-22,0,0,0,0,0
2016-04-25,700.1,700.1,700.1,700.1,2
2016-04-26,0,0,0,0,0
2016-04-27,700.1,730,700.1,730,1074
2016-04-28,730,730,730,730,2
2016-04-29,740,760,740,750,3241
2016-05-03,750,760,750,760,873
2016-05-04,0,0,0,0,0
2016-05-05,760,765,760,765,1025
2016-05-06,0,0,0,0,0
2016-05-09,765,765,765,765,1
2016-05-10,0,0,0,0,0
2016-05-11,0,0,0,0,0
2016-05-12,765,820,765,800,5449
2016-05-13,819,820,819,820,302
2016-05-16,0,0,0,0,0
2016-05-17,819.1,850,819.1,850,600
2016-05-18,0,0,0,0,0
2016-05-19,0,0,0,0,0
2016-05-20,0,0,0,0,0
2016-05-24,0,0,0,0,0
2016-05-25,0,0,0,0,0
2016-05-26,0,0,0,0,0
2016-05-27,0,0,0,0,0
2016-05-30,0,0,0,0,0
2016-05-31,0,0,0,0,0
2016-06-01,0,0,0,0,0
2016-06-02,0,0,0,0,0
2016-06-03,0,0,0,0,0
2016-06-06,839,839,839,839,1
2016-06-07,850,850,850,850,1
2016-06-08,849.8,849.8,849.8,849.8,170
2016-06-09,0,0,0,0,0
2016-06-10,0,0,0,0,0
2016-06-13,655.1,655.1,655.1,655.1,1
2016-06-14,849.6,849.6,849.6,849.6,2
2016-06-15,0,0,0,0,0
2016-06-16,0,0,0,0,0
2016-06-17,0,0,0,0,0
2016-06-20,849.5,849.5,849.5,849.5,1
2016-06-21,0,0,0,0,0
2016-06-22,0,0,0,0,0
2016-06-23,0,0,0,0,0
2016-06-24,0,0,0,0,0
2016-06-27,0,0,0,0,0
2016-06-28,0,0,0,0,0
2016-06-29,0,0,0,0,0
2016-06-30,0,0,0,0,0
2016-07-01,800,800,800,800,2
2016-07-04,800,800,800,800,1
2016-07-05,0,0,0,0,0
2016-07-07,0,0,0,0,0
2016-07-08,815,850,815,850,1000
2016-07-11,0,0,0,0,0
2016-07-12,0,0,0,0,0
2016-07-13,0,0,0,0,0
2016-07-14,0,0,0,0,0
2016-07-15,0,0,0,0,0
