date,open,high,low,close,volume
2015-09-09,278,285,278,285,15249
2015-09-10,278,285,278,280,330180
2015-09-11,284.5,284.5,280,280,4512
2015-09-14,280,280,279.5,280,404
2015-09-15,279.6,280,279.5,279.5,953
2015-09-16,279.5,279.5,278.1,278.1,1565
2015-09-17,278,278,277,277,131
2015-09-18,278.1,279,278.1,278.5,2103
2015-09-21,276,276,275,275,2000
2015-09-22,279,279,273.5,273.5,2002
2015-09-23,274.5,280.1,274.5,279.9,369583
2015-09-25,278,280,278,280,47
2015-09-28,280,280,275,275,4478
2015-09-29,276,276,275,275,42946
2015-09-30,279,279,274.6,274.6,7136
2015-10-01,274.9,275,274.9,275,24095
2015-10-02,274.1,275.1,274.1,275,163810
2015-10-05,275,275,274,274,1078
2015-10-06,274,275,274,274.5,181662
2015-10-07,275,275,274.5,275,19079
2015-10-08,274,275,274,275,2652
2015-10-09,275,275,275,275,30415
2015-10-12,275,276,275,276,1312
2015-10-13,276,276,276,276,154696
2015-10-14,276,276.1,276,276,1033
2015-10-15,276.1,280,276,276,851
2015-10-16,276,277,276,276,110925
2015-10-19,276.5,276.5,276,276,14976
2015-10-20,276,276.5,275,275,255126
2015-10-21,280,280,275,275,335265
2015-10-22,275,277,273.6,275,250701
2015-10-23,275.5,277,275,275,551
2015-10-26,275,275,275,275,502450
2015-10-28,275,275,275,275,1893
2015-10-29,275,280,275,275,513746
2015-10-30,275,275,273,275,1877125
2015-11-02,275.1,275.2,275,275,29907
2015-11-03,275,276,275,275.1,134797
2015-11-04,275,275.5,275,275.1,13113
2015-11-05,276,276,275.2,275.2,5365
2015-11-06,280,285,280,280,193319
2015-11-09,280,280,275.5,275.5,102033
2015-11-11,278,278,275,275,2100
2015-11-12,275,275.1,275,275,52415
2015-11-13,275.1,275.1,275,275.1,19110
2015-11-16,275.2,275.3,275.1,275.3,8558
2015-11-17,275.2,280,275.2,276,52295
2015-11-18,276.1,276.1,276,276,133562
2015-11-19,276,280,276,280,21970
2015-11-20,276,280,276,276,32788
2015-11-23,275,275,273.1,274,1377
2015-11-24,273.1,273.5,273.1,273.2,500
2015-11-26,273.1,273.1,271,271,903
2015-11-27,271,273,270,271,102170
2015-11-30,0,0,0,0,0
2015-12-01,270,270,270,270,3
2015-12-02,270,271,269,270,14871
2015-12-03,270,270,266,268,153078
2015-12-04,266,270,240,265,21213
2015-12-07,265,265,265,265,10020
2015-12-08,260,260,260,260,10501
2015-12-09,264,264,257.1,257.1,16695
2015-12-10,257.1,264,252,256,14069
2015-12-11,256,258,245.1,250,78738
2015-12-14,245,255,245,249.9,25801
2015-12-15,245.1,250,245.1,250,106
2015-12-16,250,250,250,250,12572
2015-12-17,260,260,250,250,8
2015-12-18,255,255,248,250,1165
2015-12-21,255,255,246.9,250,163
2015-12-22,250,250,248,248,1351
2015-12-23,249,249,249,249,201
2015-12-28,246.9,247.1,246,246,55585
2015-12-29,247,247,246,246,538
2015-12-30,245.5,246,245.5,246,560
2015-12-31,245.5,246,245.5,246,297
2016-01-04,245.7,245.9,245.6,245.9,3050
2016-01-05,245.8,245.9,245.8,245.9,110
2016-01-06,245.9,245.9,245,245,34798
2016-01-07,240.1,245,240,242,2770
2016-01-08,236.1,237,229.5,229.5,250924
2016-01-11,229.5,230,228,230,68149
2016-01-12,229.5,236.5,229,229,89498
2016-01-13,231,236.5,226.5,231,1208
2016-01-14,227.1,227.1,221,221,12963
2016-01-18,217,225,205.1,215,4122
2016-01-19,211,216,211,216,542787
2016-01-20,214,215,212,215,16474
2016-01-21,212,227,212,215.4,9910
2016-01-22,220,225,220,220,1124
2016-01-25,220,220,219,219,105
2016-01-26,216.1,216.1,213.5,213.5,39923
2016-01-27,219.9,220,210.1,219,6402
2016-01-28,0,0,0,0,0
2016-01-29,220,225,216,225,10231
2016-02-01,224,224,220,223,27
2016-02-02,217.9,227,217.9,226,4735
2016-02-03,226,226,220,221,599
2016-02-05,219,224,219,224,26
2016-02-08,219,220,219,220,925
2016-02-09,220,220,215,219,500124
2016-02-10,216,216,216,216,3000
2016-02-11,216,216,215.6,215.6,1590
2016-02-12,219.4,219.4,215.7,215.8,3677
2016-02-15,217,217,215.6,215.8,3390
2016-02-16,215.6,219,215.5,219,201
2016-02-17,216,216,210.1,210.1,46226
2016-02-18,219,219,210.2,215,3040
2016-02-19,218,218,212.5,212.5,10007
2016-02-23,213.1,213.1,213.1,213.1,1
2016-02-24,218,218,215,215,22
2016-02-25,215,218,215,215,816
2016-02-26,215,215,215,215,2500
2016-02-29,215.1,215.2,215,215,202
2016-03-01,217.5,220,216.1,220,51622
2016-03-02,215.1,215.1,215,215,1474
2016-03-03,220,220,214,214,2
2016-03-04,215,215,215,215,5000
2016-03-08,214.1,214.1,214,214,142
2016-03-09,213,213,209,209,13053
2016-03-10,209.9,210,209.9,210,18
2016-03-11,213,213,210,210,1986
2016-03-14,210,210,208.5,210,4008
2016-03-15,210,210,210,210,1194
2016-03-16,208.6,210,207.1,207.1,596095
2016-03-17,205.1,210.9,205.1,206,40690
2016-03-18,206.1,206.1,206.1,206.1,20536
2016-03-21,210.9,211.9,210.6,210.6,101137
2016-03-23,211.5,211.9,208,208,305
2016-03-24,211.4,211.4,210.9,211,111
2016-03-28,210,210,210,210,3
2016-03-29,210,210,205.1,205.1,1408
2016-03-30,205.1,206.7,205,205,3680
2016-03-31,0,0,0,0,0
2016-04-01,206,210.1,206,210,18717
2016-04-04,210,210,210,210,10
2016-04-05,212,212.1,210,211.9,128230
2016-04-06,210,211,210,210.1,207
2016-04-07,211,212,211,212,128646
2016-04-08,212,217,212,217,341962
2016-04-11,218,218,217.9,217.9,11
2016-04-12,217.9,217.9,215,215,1293
2016-04-15,217,217,215,215,3300
2016-04-18,216.9,216.9,215,215,3979
2016-04-19,215,215,214,215,5052
2016-04-20,215,216,215,216,10250
2016-04-22,215,215,214.5,214.5,17922
2016-04-25,215,215,215,215,11500
2016-04-26,214.9,215.1,214.5,215.1,911
2016-04-27,215.2,215.2,215,215,8782
2016-04-28,215,215,214.7,214.7,680
2016-04-29,215,225,214.9,225,1429688
2016-05-03,220,225,216.5,220.2,4765
2016-05-04,225,225,218.5,218.5,85233
2016-05-05,224.5,224.5,217,217,531261
