date,open,high,low,close,volume
2015-09-09,328.9,334.9,325,334,78560
2015-09-10,335,335,330,331,67235
2015-09-11,330.3,335,330.2,333,93899
2015-09-14,333,333,330.1,330.1,35514
2015-09-15,330.1,330.1,326,328,17964
2015-09-16,326.8,331,326.7,329.1,51289
2015-09-17,328.1,330,327,328,31314
2015-09-18,327,328,326.2,327,13315
2015-09-21,326.3,326.3,325,325.2,23274
2015-09-22,325.1,327,325,325.6,24480
2015-09-23,325,326.2,325,326.2,25477
2015-09-25,325,326.8,325,325.6,26507
2015-09-28,325,326,325,325.3,22764
2015-09-29,325,326.4,325,326.1,36623
2015-09-30,326.1,326.8,326.1,326.2,12816
2015-10-01,326.1,330,326.1,330,49732
2015-10-02,327,335,327,330.1,36630
2015-10-05,331,333,329.5,331,36906
2015-10-06,330.4,337.8,330.4,335,74320
2015-10-07,331,332,331,331.6,41922
2015-10-08,331,334,331,332,37583
2015-10-09,332.1,333.1,331,332,51566
2015-10-12,330.1,331,330,330.5,8803
2015-10-13,330.5,332,330.5,331,16141
2015-10-14,331,332,331,331.8,17499
2015-10-15,331.6,331.6,329.1,330,75098
2015-10-16,329.1,332,329,332,37217
2015-10-19,331.6,332,331,332,26876
2015-10-20,332,332.4,332,332.1,16885
2015-10-21,332,332.5,332,332.5,22814
2015-10-22,333,333.4,330,333,25731
2015-10-23,332.5,333.4,332.5,333,18802
2015-10-26,330,333,330,332,10090
2015-10-28,330.5,331,330.5,330.5,12920
2015-10-29,330.5,330.5,327,327.2,3941
2015-10-30,326.5,327,325,325.1,10259
2015-11-02,325,325.1,320,320,182076
2015-11-03,316,320.5,315,317,29705
2015-11-04,315.3,322,310.5,310.5,5814
2015-11-05,310.5,313,310,313,13944
2015-11-06,310,320,310,312,8444
2015-11-09,317.5,320,312.3,312.3,847
2015-11-11,316,317,310,310.1,8767
2015-11-12,310.1,310.9,310,310.1,9249
2015-11-13,310,312,310,311.9,5193
2015-11-16,310.1,312,310,312,215132
2015-11-17,312,315.6,312,315,25483
2015-11-18,312,322,312,320.5,124189
2015-11-19,317,317,317,317,41
2015-11-20,319.8,320,315,320,109789
2015-11-23,315,320,315,320,5387
2015-11-24,318,325,315,325,16143
2015-11-26,323.2,323.2,320,320,1458
2015-11-27,320,320,320,320,2659
2015-11-30,315.1,315.1,310,310,510
2015-12-01,310,310.1,310,310,910
2015-12-02,310,310.1,310,310,9235
2015-12-03,310.2,310.3,310,310,4462
2015-12-04,310.1,310.1,310,310,11202
2015-12-07,308.1,312,308,308.1,6466
2015-12-08,308,308.2,308,308.2,8906
2015-12-09,308.2,309,308,308,6451
2015-12-10,308,308,307.1,307.5,1786
2015-12-11,307.1,310,307,308.5,11052
2015-12-14,309.5,309.5,306,306,33062
2015-12-15,305.5,309.5,305.5,305.5,875
2015-12-16,305.6,307,305.6,305.6,4651
2015-12-17,307,307,305,306,6937
2015-12-18,306.1,306.5,306.1,306.5,1511
2015-12-21,306.1,306.6,306,306.5,9373
2015-12-22,307,308,307,307,12328
2015-12-23,306,307,306,307,551
2015-12-28,307,307,306.6,306.6,7683
2015-12-29,306.6,308.9,306,308.9,14362
2015-12-30,306.4,307,306.4,307,8943
2015-12-31,307,309,307,308.5,1397
2016-01-04,307.1,309,307,307,5518
2016-01-05,307,307.7,307,307,10331
2016-01-06,307,310,307,307,6629
2016-01-07,307,307.1,307,307,3369
2016-01-08,307,307,306.8,306.8,8086
2016-01-11,307,308,307,307,43820
2016-01-12,306.1,307,306.1,306.1,90433
2016-01-13,305,306,302,302,6583
2016-01-14,302,302.1,302,302,22583
2016-01-18,300.2,300.2,300,300,16044
2016-01-19,299.1,300,299,300,46322
2016-01-20,299.9,299.9,298,298,3483
2016-01-21,297.9,298,297.9,298,14325
2016-01-22,298,298.1,298,298,1955
2016-01-25,298,300,298,299.5,15396
2016-01-26,295.1,295.1,295,295,3884
2016-01-27,299,299,299,299,96
2016-01-28,294,294,290,293.9,38231
2016-01-29,290.4,293.9,290.4,293.9,3113
2016-02-01,295,295,290,290,4825
2016-02-02,290.3,295,290,290.1,4937
2016-02-03,290.1,291,290,290,6860
2016-02-05,290.1,292,290.1,290.2,1094
2016-02-08,290.3,290.3,290,290,2320
2016-02-09,290,290,290,290,5886
2016-02-10,290,290,290,290,753
2016-02-11,290,290,289.5,289.6,14013
2016-02-12,287,287,285,285,192
2016-02-15,285.2,285.2,280.5,280.5,4042
2016-02-16,281,281,275,275.1,21522
2016-02-17,275.1,280,270,270,14634
2016-02-18,270.2,270.2,270,270,3438
2016-02-19,270,275,270,275,6559
2016-02-23,274.5,274.5,270,270.5,7341
2016-02-24,270,275,270,270,906
2016-02-25,270.1,271.1,269,269,4270
2016-02-26,270,270,270,270,296
2016-02-29,270,270,266,266,924
2016-03-01,266,266,265.1,265.1,19666
2016-03-02,265,265,260,260,987
2016-03-03,260,260,257.5,257.5,6200
2016-03-04,257.5,257.5,256.5,256.5,129395
2016-03-08,256.9,256.9,240,240,9029
2016-03-09,240,240,238,238,1416
2016-03-10,239,244.9,237.5,240,227418
2016-03-11,240,250,240,250,1500
2016-03-14,245.3,245.3,238.3,240,3690
2016-03-15,240.1,245,240,241.5,2121
2016-03-16,240.1,240.1,240,240,214
2016-03-17,240.1,245,240,245,5456
2016-03-18,242.5,245,242,245,4622
2016-03-21,245.1,250,245,250,1513
2016-03-23,245,245.1,245,245,5798
2016-03-24,245,248,242,245.2,8794
2016-03-28,248,248,245,245,3476
2016-03-29,245,245.1,245,245,2035
2016-03-30,245,245,245,245,6427
