date,open,high,low,close,volume
2015-09-09,88,89.1,88,88.5,2189573
2015-09-10,88.1,88.1,88,88,9122
2015-09-11,88,88,87.2,87.2,40605
2015-09-14,88,88.9,87.1,88.9,68692
2015-09-15,87.2,87.2,86,87,2200
2015-09-16,86,88,86,88,3600
2015-09-17,88,88,87,88,1155833
2015-09-18,88,89,88,89,3600
2015-09-21,88,88,86,86,3276
2015-09-22,87,87.9,85.7,87.9,3500
2015-09-23,87.9,88,86.6,86.6,1225
2015-09-25,87.5,89.9,87.5,89,1693257
2015-09-28,86.7,86.7,86,86,4606
2015-09-29,85.8,89,85.8,88.9,4755
2015-09-30,85.5,85.5,85,85,59375
2015-10-01,86,87,86,86,295410
2015-10-02,86,88.9,85.6,85.9,221966
2015-10-05,85.9,86,84.1,85,35689
2015-10-06,85,85,84.6,85,6680
2015-10-07,87,87,84.1,84.1,6590
2015-10-08,84,85,83.9,83.9,2726
2015-10-09,83.7,83.7,83,83.7,4624
2015-10-12,83,83.5,82.5,82.5,7782
2015-10-13,82.5,83,82.5,83,2015
2015-10-14,83,83,81,81.8,15701
2015-10-15,80.5,82,80,82,19715
2015-10-16,80,82,79.5,80,9100
2015-10-19,80.5,81.9,80,80.5,38154
2015-10-20,80.9,80.9,80.9,80.9,6
2015-10-21,80.5,80.5,80.5,80.5,1076
2015-10-22,80.5,81,80,81,208657
2015-10-23,81.5,82.1,81.5,82,17218
2015-10-26,82.9,84,82,84,2401
2015-10-28,82,83.6,82,83.6,31810
2015-10-29,0,0,0,0,0
2015-10-30,82,82.5,81.1,82.5,12401
2015-11-02,82.5,82.5,81.1,82,3488
2015-11-03,81.4,82.5,81.4,82.5,16105
2015-11-04,81.2,85,81.2,83,241489
2015-11-05,82,88.9,82,88.9,6436
2015-11-06,83.1,88,83.1,87.4,6010
2015-11-09,87.5,87.5,85,87.5,1633
2015-11-11,86,87.5,85,87.5,16900
2015-11-12,85.6,89.9,85,85.2,5750
2015-11-13,89,89,86,89,6328
2015-11-16,88,88.8,84.6,84.6,120423
2015-11-17,84.5,88,84.5,88,1049
2015-11-18,86.9,86.9,86.9,86.9,30
2015-11-19,85,87.9,85,87.9,52311
2015-11-20,85.1,87.9,85.1,87.9,2529
2015-11-23,85.1,87.8,85,86.9,21750
2015-11-24,85,85.1,85,85,838352
2015-11-26,85,85,85,85,203653
2015-11-27,85,85,84.5,84.5,591
2015-11-30,84.3,85,84.3,85,3000
2015-12-01,84.2,85,83.1,83.1,6100
2015-12-02,83.5,85,83.5,85,10100
2015-12-03,84.9,85,84.8,84.9,10370
2015-12-04,84.9,85.4,84.9,85.1,180032
2015-12-07,85.1,87,85,85,106379
2015-12-08,85,87,85,87,8730
2015-12-09,86.1,89,86.1,88,61650
2015-12-10,86.4,87.5,85,87.4,11530
2015-12-11,84.9,87,84.6,87,7425
2015-12-14,87,87,84.6,87,302953
2015-12-15,87,87.5,85,87.5,240401
2015-12-16,87.2,90,87.2,90,12000
2015-12-17,89.9,91.5,89.9,90,8400
2015-12-18,90,91.5,90,91,631635
2015-12-21,91.5,93,91.5,92.9,2872
2015-12-22,92.8,93,92.5,92.5,3010
2015-12-23,90,93,90,92.9,2106
2015-12-28,90,90,90,90,25075
2015-12-29,87.1,92,87.1,92,2348
2015-12-30,91.9,93,87.2,93,21023
2015-12-31,92,93,92,92.9,11651
2016-01-04,92.9,92.9,87.2,92.9,7713
2016-01-05,92.8,92.9,90,92.8,6800
2016-01-06,88.9,91.5,88.9,91.5,2059
2016-01-07,90,91,90,90.5,3100
2016-01-08,88.5,88.5,86,88.5,411853
2016-01-11,87,87.9,85,85,302511
2016-01-12,82,84,79,80,160479
2016-01-13,80.7,82,79.1,79.1,459662
2016-01-14,80,80,77.9,78,1041615
2016-01-18,78.1,79.9,75,78.9,376257
2016-01-19,76,77,72,77,40684
2016-01-20,77.8,79,76.3,79,56000
2016-01-21,77.5,84,77.5,83,25320
2016-01-22,80.1,82.9,80,82.9,30780
2016-01-25,82.8,82.8,79,81.5,15046
2016-01-26,80,80,80,80,8240
2016-01-27,80,82,80,81.9,5491
2016-01-28,79.4,82,79.3,82,5060
2016-01-29,80,85,80,85,12250
2016-02-01,84.9,87.9,84.4,87.9,8072
2016-02-02,87.9,87.9,86,87,12207
2016-02-03,87,87,85,85,50001
2016-02-05,85,87,85,86.9,68617
2016-02-08,83.1,85,80,85,1619676
2016-02-09,82.5,84.9,82.5,84.8,4373
2016-02-10,83.9,83.9,83.9,83.9,1000
2016-02-11,82.5,82.5,79,80,46786
2016-02-12,81.5,82.5,79,80,106203
2016-02-15,81,82,78.6,79,19730
2016-02-16,80,80,78.3,78.5,276290
2016-02-17,79.9,80,78.3,78.3,30192
2016-02-18,80,80,78,78,29447
2016-02-19,77.5,80,77.5,80,3870
2016-02-23,78.6,79.9,78.6,79.9,526451
2016-02-24,79.9,80,78,80,5109
2016-02-25,80,80,79,80,897715
2016-02-26,79.9,79.9,77.5,79.9,3751
2016-02-29,77.5,79.9,77.5,79.9,1251
2016-03-01,79,79,78.5,79,286793
2016-03-02,77.1,79,77.1,79,6500
2016-03-03,77.1,79.9,76,79.9,15804
2016-03-04,77.6,79.9,77.6,79.9,271670
2016-03-08,77.6,77.6,74.2,76,792955
2016-03-09,75,75,72,73.5,8612
2016-03-10,73.5,77.5,73.5,77.5,323051
2016-03-11,77.8,79,77.8,79,6606
2016-03-14,77,81,77,79.9,14620
2016-03-15,79.9,80,79,79.9,142500
2016-03-16,79.8,82.8,78,82.5,8005
2016-03-17,83,83,82.8,82.9,3001
2016-03-18,80,85,79.2,84.5,9926
2016-03-21,84.5,84.5,84.5,84.5,1017
2016-03-23,80,84,80,84,25814
2016-03-24,83.7,83.7,81,81,42310
2016-03-28,82,84,80,84,17302
2016-03-29,79.2,82,79,80.5,3121
2016-03-30,81.5,82.2,81.5,82.1,200811
2016-03-31,82.5,82.5,80,80,589305
2016-04-01,82.3,82.5,81.5,82.5,574997
2016-04-04,81.7,83.9,81.1,83.9,10120
2016-04-05,81.7,83.9,81.7,83.9,2550
2016-04-06,83.9,83.9,81,81,554891
2016-04-07,82,84,82,84,13901
2016-04-08,82,87,82,87,7728
2016-04-11,86,90,83,90,107211
2016-04-12,85,90,85,90,51918
2016-04-15,88,90.9,88,90.9,5100
2016-04-18,89.8,90,86,90,12004
2016-04-19,90,90,90,90,17
2016-04-20,89.9,89.9,89,89.9,1035
2016-04-22,89.8,89.8,89.8,89.8,62015
2016-04-25,89.7,89.7,89.7,89.7,5
2016-04-26,87.5,89.8,87.1,89.7,51349
2016-04-27,89.7,89.9,87.5,89.3,226356
2016-04-28,87.5,90,87.5,89,89505
2016-04-29,90,92,90,91,666025
2016-05-03,92,92,91,91.5,588560
2016-05-04,92,92.5,89.1,92.5,53534
2016-05-05,92,92.3,92,92.3,11301
2016-05-06,90,92.2,90,92.2,22049
2016-05-09,92,92.9,91,91,1901
2016-05-10,92.9,94.5,92.9,94.5,35851
2016-05-11,95,95,92,94.5,16630
2016-05-12,92.5,94.9,92.5,93,16003
2016-05-13,93,94.9,93,94.9,50430
2016-05-16,95,95,91.1,94,86540
2016-05-17,93.1,93.5,92,93.5,5575
2016-05-18,93,93.9,93,93.9,27101
2016-05-19,92,93,90,91.8,440668
2016-05-20,91,91.5,90,91.5,21192
2016-05-24,91.5,91.5,89,90,22370
2016-05-25,89,91.4,89,91.4,1502
2016-05-26,91.4,91.4,89,91.3,139
2016-05-27,90,91.4,89.9,91.4,3530
2016-05-30,90,92,90,92,4800
2016-05-31,89.2,92,89.2,90.9,6010
2016-06-01,89.3,91,89.3,90,401929
2016-06-02,90,90,90,90,1118349
2016-06-03,90,90,89.2,89.2,15383
2016-06-06,90,90,89.1,89.5,6147
2016-06-07,89.9,89.9,89.8,89.8,5002
2016-06-08,88,88,87,87,1089662
2016-06-09,89.8,89.8,86.6,87,1013972
2016-06-10,87,89.9,87,89.9,264980
2016-06-13,89.9,89.9,89.5,89.5,1511
2016-06-14,88.7,89,87.6,89,3600
2016-06-15,86.8,89,86.6,89,1825
2016-06-16,89,89,87,87,51055
2016-06-17,87,88.5,87,88.5,1910
2016-06-20,87,87,87,87,1151
2016-06-21,86.8,87,86.8,87,400
2016-06-22,87,88.9,86.8,87,111906
2016-06-23,87,89,87,89,103661
2016-06-24,86.7,87,86.4,87,275924
2016-06-27,87,87,86.5,86.7,851
2016-06-28,87,87,86,87,616
2016-06-29,86.1,87,86,87,1796
2016-06-30,87,87,86,86,687
2016-07-01,87.9,87.9,87,87,100070
2016-07-04,87,87,86,86.6,703
2016-07-05,86.6,87,86,87,2292
2016-07-07,0,0,0,0,0
2016-07-08,87,87,87,87,1000
2016-07-11,85,89.5,85,88,15755
2016-07-12,88,88,86,86,678
2016-07-13,87,88,87,88,207062
2016-07-14,86.1,90,86,90,2000
2016-07-15,89.6,89.9,86.6,89.9,2101
2016-07-18,86.5,89.9,86.5,89.6,2587
2016-07-20,87,89.9,86.7,89.8,843
2016-07-21,89.7,89.7,89.7,89.7,825
2016-07-22,89.8,89.8,89,89.8,882
2016-07-25,89.6,89.6,89,89.5,582
2016-07-26,88,88.5,86,86,15501
2016-07-27,86,89.7,86,86,85556
2016-07-28,86,89,86,86.1,2053046
2016-07-29,85.1,89.5,85.1,89.4,490902
2016-08-01,89,89.7,86,89.7,30133
2016-08-02,86,89.7,86,89.5,1770
2016-08-03,89.5,90.5,89.5,90.3,91999
2016-08-04,87,91,87,91,251137
2016-08-05,91.5,92.5,89,92.5,725344
2016-08-08,91,92.4,91,92,123810
2016-08-09,91,92.4,89.9,91,4569
2016-08-10,92,92.5,91.1,92,9247
2016-08-11,92,93,91.5,92,8918
2016-08-12,92,93,92,93,5244
2016-08-15,93,93,91,93,1227
2016-08-16,91.1,93.9,91.1,93.9,1301
2016-08-18,91.1,93.9,91.1,93.9,2879
2016-08-19,93.7,94,93,94,25200
2016-08-22,94.5,94.5,94,94.5,1227
2016-08-23,94.5,94.7,94,94.7,13329
2016-08-24,93,94.6,93,94.5,5428
2016-08-25,94.5,96,94,94.9,39355
2016-08-26,93.5,95,93.5,95,24700
2016-08-29,94,94.9,93.5,94.9,837558
2016-08-30,94,94.9,94,94.5,1702
2016-08-31,94,96,94,96,698506
2016-09-01,94.5,96,94.5,95,29271
2016-09-02,95.9,97,95.8,96.5,68578
2016-09-05,97,99.5,96.5,99,86418
2016-09-06,99,101,99,101,397084
2016-09-07,101,105,100.5,105,247844
2016-09-08,105,105,103,104.9,5103
2016-09-09,100.1,105,100.1,105,7800
2016-09-13,0,0,0,0,0
2016-09-14,101,104,101,104,2120
2016-09-15,100.5,105,100.5,105,11047
2016-09-19,102,102,102,102,1
2016-09-20,101.5,103.5,101,103,81535
2016-09-21,103,103.5,103,103.5,158991
2016-09-22,105,105,103.1,104.5,1223344
2016-09-23,104.5,105,103.5,105,603080
2016-09-26,104,105,103.5,105,705
2016-09-27,105,105.5,104,105,240473
2016-09-28,105,105.3,105,105.1,17642
2016-09-29,104.9,105,104.9,105,1001
2016-09-30,105,105,104,104,3999
2016-10-03,103.9,107,103.9,107,7504739
2016-10-04,105,107,103.2,106.9,2660
2016-10-05,104,107.5,104,107,4010
2016-10-06,104,108.5,104,108.5,3700
2016-10-07,107,107,106.3,107,52076
2016-10-10,107,107,107,107,300
2016-10-11,107,107,107,107,240933
2016-10-12,107,107.5,107,107.4,343539
2016-10-13,107.1,107.1,106.9,107,6100
2016-10-14,107,107.4,106,107.4,18550
2016-10-17,106,107,106,107,110369
2016-10-18,107.3,107.3,105,105.5,2210
2016-10-19,105.1,105.2,104.1,104.1,1995
2016-10-20,105,107,105,107,79624
2016-10-21,107,107.1,106,107,2402393
2016-10-24,0,0,0,0,0
2016-10-25,104.5,104.5,104.5,104.5,5
2016-10-26,104.5,106.8,104.1,106.8,630
