date,open,high,low,close,volume
2015-09-09,174.6,177,174.6,175.1,84779
2015-09-10,176,177,174.8,175,177948
2015-09-11,176,178,175,175,70976
2015-09-14,178,178,173,174,1214316
2015-09-15,174.3,175.9,173.9,174.7,199398
2015-09-16,173.9,175.9,173.9,175,65734
2015-09-17,175,175,173,173,58834
2015-09-18,174,174.9,171.2,172.5,1042357
2015-09-21,174.9,174.9,172,173,931320
2015-09-22,173,177,173,176,890320
2015-09-23,178,178,172,174,809437
2015-09-25,175.5,175.9,173,175,522632
2015-09-28,175,175,172.7,173,1800638
2015-09-29,173,175.9,172.3,172.5,959017
2015-09-30,173,173,167.5,169.7,1543695
2015-10-01,170,172,170,170,3050978
2015-10-02,172,172,169.8,170,4518932
2015-10-05,172,172,166,168,164506
2015-10-06,167,170,166,169.9,744431
2015-10-07,169,172.5,169,171.1,428062
2015-10-08,171.2,174.4,170,172.8,164234
2015-10-09,171.5,174,169,170,401857
2015-10-12,170,172,169,170,102349
2015-10-13,170,171.9,168.9,170.1,647139
2015-10-14,170.1,172,170,170,42922
2015-10-15,170.9,171.8,170,170.5,165592
2015-10-16,171,171.7,169.9,170,257660
2015-10-19,171,171,170,170.5,88334
2015-10-20,171,171.8,170,171.5,1805723
2015-10-21,171.8,172,171.5,172,1901994
2015-10-22,171.5,177.9,171.5,175,140751
2015-10-23,176,177,175,177,2372320
2015-10-26,176.9,178,175.1,177.1,26239
2015-10-28,177.1,180.5,177.1,180.1,231124
2015-10-29,180,181.1,178.1,180,351811
2015-10-30,178,178,173,175.8,315434
2015-11-02,175,177.9,175,176,66137
2015-11-03,176,178.1,176,177.5,276671
2015-11-04,178,179.8,177,179,236469
2015-11-05,179,181.8,179,181.6,522047
2015-11-06,182,187,182,186.4,2042090
2015-11-09,186,186,183,184,738217
2015-11-11,184,184.1,182.6,184,925521
2015-11-12,184,184.5,183.5,184.1,539619
2015-11-13,184,184.1,183.5,184,725371
2015-11-16,183.9,184.1,182.6,183,156529
2015-11-17,183.5,184.5,183.1,184.2,185385
2015-11-18,183.5,184,182.7,183,362583
2015-11-19,186,186.5,184.3,185.5,352220
2015-11-20,185,186.5,185,186,354918
2015-11-23,187,191,187,189,231915
2015-11-24,190,190,186,188.5,700499
