date,open,high,low,close,volume
2015-09-09,39.9,41.9,39.3,41.9,8513
2015-09-10,41,42,40,40,14425
2015-09-11,40.7,41.2,40.7,41.2,452
2015-09-14,41.2,41.2,39.9,40.1,4865
2015-09-15,40.6,41,40.6,41,40012
2015-09-16,41.2,41.3,41,41,15400
2015-09-17,41,41,40.1,40.4,923
2015-09-18,40,40,39.5,39.5,3880
2015-09-21,40.6,41,39.9,40,2328
2015-09-22,40.2,41,40,41,1902
2015-09-23,39.9,39.9,39.5,39.5,1201
2015-09-25,39.5,40.5,39.3,40.5,2944
2015-09-28,39.5,39.6,39.5,39.6,242
2015-09-29,39.5,40.4,39.5,40.4,1015
2015-09-30,40.4,40.4,39.5,39.5,3400
2015-10-01,40,40.2,39.5,40.2,3241
2015-10-02,40,40.1,39.5,40,24445
2015-10-05,40.9,40.9,40.5,40.5,6481
2015-10-06,40.5,42,40.5,42,23718
2015-10-07,41,42.5,41,42,93901
2015-10-08,42,42.9,41.6,42.9,83967
2015-10-09,43,43.5,43,43,213519
2015-10-12,43,44.4,42.6,44,324458
2015-10-13,44.4,46.4,44.4,45.6,707022
2015-10-14,46,46,44.1,45.2,195424
2015-10-15,45.5,45.5,44,44.2,37582
2015-10-16,44,44.5,43.9,44,10008
2015-10-19,43.7,44.9,43,44.7,20517
2015-10-20,44.5,45,44.2,45,38978
2015-10-21,44.5,45.4,44.3,44.8,85934
2015-10-22,44.8,45.2,44.4,44.5,75814
2015-10-23,44.5,44.9,44,44,3012
2015-10-26,44,44.9,43.9,44.9,2125
2015-10-28,44,44.5,43.8,44,68899
2015-10-29,43.9,43.9,43.7,43.9,11062
2015-10-30,43.9,44,43.6,44,41565
2015-11-02,44,44,43.7,43.7,20976
2015-11-03,43.6,43.9,43.5,43.5,7051
2015-11-04,43.4,44,43.4,44,17337
2015-11-05,44,44,43,43,26289
2015-11-06,43.5,43.5,43,43,7097
2015-11-09,42.9,43,42.5,42.5,4119
2015-11-11,42.5,42.5,42,42,5977
2015-11-12,42.8,42.8,42,42.1,39153
2015-11-13,42.1,42.1,42,42,1318
2015-11-16,42.5,42.5,41.6,41.6,7877
2015-11-17,41.5,43,41.5,42.5,2460
2015-11-18,42.5,43.5,42.5,43,35507
2015-11-19,43,43.9,42.5,43.5,8854
2015-11-20,43.5,43.9,42.8,42.8,2722
2015-11-23,43,43,41.5,42.5,6020
2015-11-24,41.2,41.2,40,40.9,2810
2015-11-26,40.1,40.1,38,39,109188
2015-11-27,39.7,39.9,39,39.9,11813
2015-11-30,39,40.5,38.8,40.5,5774
2015-12-01,40,40,39,39.5,2251
2015-12-02,39.5,39.5,39,39,12777
2015-12-03,39.3,39.6,39.2,39.6,13300
2015-12-04,40,40,39.3,39.3,1107
2015-12-07,39.9,39.9,39.2,39.9,11203
2015-12-08,40,40.1,39.5,39.5,6106
2015-12-09,40,40,39.1,40,21424
2015-12-10,40,40.5,40,40.5,3637
2015-12-11,40.6,40.9,40.2,40.9,6578
2015-12-14,40.2,41,40,40,50091
2015-12-15,40.1,40.2,40,40.2,20989
2015-12-16,40.3,41.2,40.3,41.2,1901
2015-12-17,41.3,41.6,41.3,41.6,630
2015-12-18,41.6,41.6,40.7,41,13032
2015-12-21,40.2,41,40,41,9526
2015-12-22,40.1,40.9,40,40.9,6800
2015-12-23,41,41,39.6,39.6,1090
2015-12-28,39.7,40,39.7,39.8,1588
2015-12-29,41,41,40.2,40.2,811
2015-12-30,40.2,40.9,40,40.9,1801
2015-12-31,40.1,41.5,40.1,41.5,1816
2016-01-04,41.1,41.5,41,41,8146
2016-01-05,40.5,40.5,40.1,40.2,8694
2016-01-06,40.1,40.2,40,40.2,20904
2016-01-07,39.9,39.9,39.3,39.3,15216
2016-01-08,39.5,39.5,38.7,38.8,6129
2016-01-11,39.2,39.2,37,38,20000
2016-01-12,38,38,35.1,36,100537
2016-01-13,37.5,38.4,37.4,38,12064
2016-01-14,38.1,38.5,37.4,38.5,27373
2016-01-18,37.6,37.6,36,36.5,54139
2016-01-19,37,37.4,36,37,19423
2016-01-20,37.1,37.3,36,37.3,6005
2016-01-21,37.4,38.5,37.4,38.5,4505
2016-01-22,38.5,39.2,38.5,39.2,19592
2016-01-25,39.1,39.5,38,39.5,7070
2016-01-26,39.6,39.6,39.3,39.3,1800
2016-01-27,39.4,39.5,38.2,38.7,6356
2016-01-28,38.6,38.9,38.5,38.9,127
