date,open,high,low,close,volume
2015-09-09,633,660,630,660,1341
2015-09-10,650,650,630.4,630.4,750
2015-09-11,630.5,630.5,630.5,630.5,2
2015-09-14,0,0,0,0,0
2015-09-15,630.5,632,630,630,700
2015-09-16,0,0,0,0,0
2015-09-17,0,0,0,0,0
2015-09-18,629,630,629,630,351
2015-09-21,625,625,625,625,200
2015-09-22,0,0,0,0,0
2015-09-23,0,0,0,0,0
2015-09-25,618,625,618,625,381
2015-09-28,633,633,618.2,618.2,60030
2015-09-29,0,0,0,0,0
2015-09-30,633,633,620,620,2070
2015-10-01,630,630,630,630,500
2015-10-02,645,645,645,645,35
2015-10-05,0,0,0,0,0
2015-10-06,640,640,640,640,1
2015-10-07,0,0,0,0,0
2015-10-08,633,633,633,633,6000
2015-10-09,0,0,0,0,0
2015-10-12,635,640,635,640,250
2015-10-13,640,640,640,640,970
2015-10-14,0,0,0,0,0
2015-10-15,0,0,0,0,0
2015-10-16,0,0,0,0,0
2015-10-19,630.1,630.1,630.1,630.1,9
2015-10-20,0,0,0,0,0
2015-10-21,630.1,630.1,630,630,1162
2015-10-22,645,645,616,616,2
2015-10-23,634,634,634,634,10
2015-10-26,0,0,0,0,0
2015-10-28,0,0,0,0,0
2015-10-29,630,630,630,630,200
2015-10-30,625.3,625.3,625.2,625.2,110
2015-11-02,625.3,625.3,625.3,625.3,14248
2015-11-03,0,0,0,0,0
2015-11-04,0,0,0,0,0
2015-11-05,660,660,620,620,2
2015-11-06,0,0,0,0,0
2015-11-09,0,0,0,0,0
2015-11-11,0,0,0,0,0
2015-11-12,0,0,0,0,0
2015-11-13,0,0,0,0,0
2015-11-16,0,0,0,0,0
2015-11-17,649,650,649,650,3
2015-11-18,640,650,639.9,640,28800
2015-11-19,640,640,640,640,525
2015-11-20,0,0,0,0,0
2015-11-23,630,630,630,630,500
2015-11-24,0,0,0,0,0
2015-11-26,0,0,0,0,0
2015-11-27,630,630,630,630,10
2015-11-30,0,0,0,0,0
2015-12-01,630,630,630,630,34
2015-12-02,0,0,0,0,0
2015-12-03,630,640,620,630,996869
2015-12-04,630,630,630,630,16723
2015-12-07,630,630,630,630,1
2015-12-08,630,630,610,610,21030
2015-12-09,0,0,0,0,0
2015-12-10,0,0,0,0,0
2015-12-11,0,0,0,0,0
2015-12-14,610,610,590,590,71
2015-12-15,0,0,0,0,0
2015-12-16,0,0,0,0,0
2015-12-17,0,0,0,0,0
2015-12-18,0,0,0,0,0
2015-12-21,635,635,595,595,2
2015-12-22,635,635,600,600,66
2015-12-23,0,0,0,0,0
2015-12-28,0,0,0,0,0
2015-12-29,0,0,0,0,0
2015-12-30,0,0,0,0,0
2015-12-31,0,0,0,0,0
2016-01-04,630,630,630,630,5
2016-01-05,0,0,0,0,0
2016-01-06,610,610,610,610,1800
2016-01-07,0,0,0,0,0
