date,open,high,low,close,volume
2018-01-09,10.5,10.5,10,10.1,372709
2018-01-10,10.1,10.1,10,10,74225
2018-01-11,10,10,10,10,520
2018-01-12,10,10,10,10,34310
2018-01-16,9.9,9.9,9.7,9.9,13452
2018-01-17,9.9,10,9.9,9.9,39029
2018-01-18,9.8,9.8,9.7,9.8,414
2018-01-19,9.9,9.9,9.9,9.9,10
2018-01-22,9.7,9.8,9.7,9.8,5222
2018-01-23,9.7,9.9,9.6,9.6,28779
2018-01-24,9.6,9.6,9.6,9.6,35500
2018-01-25,9.6,9.6,9.6,9.6,1000
2018-01-26,9.7,9.7,9.7,9.7,8420
2018-01-29,9.8,9.8,9.8,9.8,4011
2018-01-30,9.7,9.7,9.7,9.7,100
2018-02-01,9.7,9.7,9.6,9.6,10248
2018-02-02,9.6,9.6,9.2,9.2,69655
2018-02-06,9.5,9.6,9.5,9.5,12122
2018-02-07,9.5,9.5,9.5,9.5,44123
2018-02-08,9.6,9.6,9,9.4,62911
2018-02-09,9.5,9.6,9.3,9.6,48895
2018-02-12,9.6,9.6,9.5,9.6,17189
2018-02-14,9.6,9.6,9.5,9.5,50000
2018-02-15,9.5,9.6,9.5,9.5,55070
2018-02-16,9.6,9.6,9.5,9.5,6450
2018-02-20,9.6,9.9,9.6,9.9,44825
2018-02-21,9.7,9.9,9.7,9.9,5271
2018-02-22,9.8,9.9,9.7,9.8,45095
2018-02-23,9.8,9.9,9.8,9.9,63565
2018-02-26,9.9,9.9,9.9,9.9,50949
2018-02-27,9.8,9.9,9.8,9.8,107500
2018-02-28,9.9,9.9,9.8,9.8,1600
2018-03-02,9.8,9.9,9.8,9.9,6000
2018-03-05,9.8,9.9,9.8,9.9,2566
2018-03-06,9.9,9.9,9.8,9.8,6110
2018-03-07,9.8,9.8,9.8,9.8,8626
2018-03-08,9.8,9.8,9.8,9.8,10500
2018-03-09,9.9,9.9,9.9,9.9,130
2018-03-12,9.8,9.8,9.8,9.8,10000
2018-03-13,9.8,9.8,9.8,9.8,22980
2018-03-14,9.8,9.8,9.8,9.8,10005
2018-03-15,9.7,9.7,9.7,9.7,47000
2018-03-16,9.6,9.6,9.6,9.6,11000
2018-03-19,9.7,9.7,9.6,9.6,5100
2018-03-20,9.8,9.8,9.8,9.8,110
2018-03-21,0,0,0,0,0
2018-03-22,9.6,9.6,9.6,9.6,3989
2018-03-23,9.7,9.7,9.6,9.7,6058
2018-03-26,9.7,9.7,9.7,9.7,42
2018-03-27,9.6,9.6,9.6,9.6,7463
2018-03-29,9.9,9.9,9.8,9.8,21480
2018-04-02,9.7,9.8,9.6,9.6,58231
2018-04-03,9.6,9.8,9.6,9.8,2205
2018-04-04,0,0,0,0,0
2018-04-05,9.8,9.9,9.7,9.7,25887
2018-04-06,9.9,10,9.6,10,24220
2018-04-09,9.6,9.8,9.6,9.8,226
2018-04-10,9.8,9.8,9.8,9.8,1
2018-04-11,0,0,0,0,0
2018-04-12,9.6,9.6,9.5,9.5,1107
2018-04-16,9.7,9.7,9.7,9.7,2
2018-04-17,9.6,9.6,9.6,9.6,462
2018-04-18,9.5,9.6,9.3,9.6,1152
2018-04-19,9.4,9.8,9.4,9.8,865
2018-04-20,0,0,0,0,0
2018-04-24,9.5,9.8,9.4,9.4,90186
2018-04-25,9.8,9.8,9.8,9.8,100
2018-04-26,9.8,9.8,9.5,9.8,115086
2018-04-27,9.5,9.5,9.5,9.5,5000
2018-05-01,9.4,9.6,9.4,9.6,5200
2018-05-02,9.6,9.8,9.6,9.8,1100
2018-05-03,9.6,9.6,9.5,9.6,1510
2018-05-04,9.5,9.5,9.5,9.5,403010
2018-05-08,9.5,9.5,9.5,9.5,1000
2018-05-09,9.5,9.7,9.3,9.7,110100
2018-05-10,9.4,9.8,9.4,9.7,325258
2018-05-11,0,0,0,0,0
2018-05-14,0,0,0,0,0
2018-05-15,9.5,9.5,9.5,9.5,25705
2018-05-16,9.5,9.6,9.5,9.6,20200
2018-05-17,0,0,0,0,0
2018-05-18,9.5,9.5,9.4,9.4,1288
2018-05-21,9.5,9.5,9.4,9.4,427
2018-05-22,9.4,9.4,9.4,9.4,70
2018-05-23,9.3,9.4,9.2,9.4,3923
2018-05-24,9.2,9.4,9.2,9.4,2542
2018-05-25,9.3,9.3,9.1,9.2,25675
2018-05-28,9.1,9.1,9.1,9.1,8665
2018-05-30,9.3,9.3,9.3,9.3,100
2018-05-31,9.2,9.2,9.1,9.1,20760
2018-06-01,9.1,9.1,9.1,9.1,36400
2018-06-04,9.1,9.1,9,9.1,3535
2018-06-05,9.1,9.1,9,9,6897
2018-06-06,0,0,0,0,0
2018-06-07,9.1,9.1,9,9,1344
2018-06-08,8.9,9,8.8,9,9265
2018-06-11,8.7,9.2,8.7,9.2,5856
