date,open,high,low,close,volume
2015-09-09,0,0,0,0,0
2015-09-10,6,6,6,6,2003
2015-09-11,6,6,6,6,200
2015-09-14,6,6,5.9,6,1012
2015-09-15,6,6,5.8,6,29506
2015-09-16,5.8,6,5.8,6,30200
2015-09-17,5.9,5.9,5.9,5.9,4
2015-09-18,5.9,5.9,5.6,5.9,34791
2015-09-21,5.9,5.9,5.7,5.7,5110
2015-09-22,5.8,5.8,5.7,5.8,741
2015-09-23,5.7,5.7,5.6,5.6,7250
2015-09-25,5.7,6,5.7,6,7058
2015-09-28,5.7,5.7,5.5,5.5,85163
2015-09-29,5.5,5.7,5.4,5.4,208006
2015-09-30,5.5,5.5,5.4,5.5,12720
2015-10-01,0,0,0,0,0
2015-10-02,0,0,0,0,0
2015-10-05,5.5,5.5,5.5,5.5,2400
2015-10-06,5.5,5.5,5.5,5.5,2400
2015-10-07,5.7,5.7,5.6,5.6,50761
2015-10-08,5.5,5.7,5.5,5.7,22310
2015-10-09,0,0,0,0,0
2015-10-12,5.8,5.8,5.8,5.8,5
2015-10-13,5.6,5.6,5.6,5.6,8200
2015-10-14,5.6,5.6,5.5,5.5,33504
2015-10-15,5.5,5.5,5.5,5.5,4116
2015-10-16,0,0,0,0,0
2015-10-19,5.5,6,5.4,6,115990
2015-10-20,5.8,5.8,5.7,5.7,2100
2015-10-21,5.8,6.2,5.8,5.9,44216
2015-10-22,5.5,5.9,5.5,5.9,1300
2015-10-23,5.6,5.6,5.6,5.6,60
2015-10-26,5.6,5.6,5.6,5.6,2009
2015-10-28,5.6,5.6,5.6,5.6,2050
2015-10-29,5.6,5.9,5.6,5.9,4500
2015-10-30,5.6,5.7,5.6,5.7,4005
2015-11-02,0,0,0,0,0
2015-11-03,5.7,5.7,5.6,5.7,6146
2015-11-04,5.7,5.7,5.6,5.6,1401
2015-11-05,5.6,5.6,5.5,5.5,44750
2015-11-06,5.8,5.8,5.8,5.8,1
2015-11-09,0,0,0,0,0
2015-11-11,0,0,0,0,0
2015-11-12,5.6,5.8,5.5,5.8,5401
2015-11-13,0,0,0,0,0
2015-11-16,5.4,5.4,5.4,5.4,5242
2015-11-17,5.3,5.4,5.3,5.4,15385
2015-11-18,5.5,5.5,5.5,5.5,25200
2015-11-19,5.6,5.6,5.4,5.4,1201
2015-11-20,5.4,5.6,5.4,5.6,6601
2015-11-23,5.5,5.5,5.4,5.4,15728
2015-11-24,5.4,5.4,5.2,5.3,156173
2015-11-26,0,0,0,0,0
2015-11-27,5.2,6,5.2,5.4,86693
2015-11-30,5.4,5.4,5.2,5.2,25102
2015-12-01,5.4,5.4,5.4,5.4,1
2015-12-02,5.3,5.3,5,5.2,28076
2015-12-03,5,5,5,5,500
2015-12-04,5,5.2,5,5.2,23101
2015-12-07,5,5,4.7,4.8,57120
2015-12-08,5.2,5.2,4.8,5.1,111
2015-12-09,5,5.1,4.9,5,8900
