date,open,high,low,close,volume
09/09/2015,236,236,234,235,42880
10/09/2015,235,235,233.1,233.1,50250
11/09/2015,233.1,233.9,230,230,47042
14/09/2015,230,230,227,229,13551
15/09/2015,230,230,227.1,228,19777
16/09/2015,228,228,227,227,6064
17/09/2015,227,227,224,224,34305
18/09/2015,224.5,224.5,220,224,95197
21/09/2015,225,225,224.5,224.9,17227
22/09/2015,224.5,229.5,224.5,228.1,12810
23/09/2015,229.9,230,225.2,225.2,15172
25/09/2015,225.1,229.9,225,225,16741
28/09/2015,229.9,229.9,224.5,224.5,5973
29/09/2015,224.2,224.2,222.1,223,20978
30/09/2015,223,223,222,222,57233
01/10/2015,222,223,221,223,3491
02/10/2015,223,223,222.7,222.7,14936
05/10/2015,223,223,221,221,24852
06/10/2015,222,222,220,220,14377
07/10/2015,220,227,219.6,220,26688
08/10/2015,220,223,216,219,18917
09/10/2015,226.4,245,217,223,4179
12/10/2015,221,221,215,217,43198
13/10/2015,215,217,215,217,33332
14/10/2015,215.7,219,215,216.5,65157
15/10/2015,217,217,216,216.5,5190
16/10/2015,220,220,217.5,220,6160
19/10/2015,220,228,220,220,6035
20/10/2015,221,222,219.8,220,81251
21/10/2015,220,221,220,220,77142
22/10/2015,220,227,220,221.6,58455
23/10/2015,222,222,220,221.3,63350
26/10/2015,222.2,228,222,228,20661
28/10/2015,228,228,225.1,225.1,15397
29/10/2015,227,228,225,228,2341
30/10/2015,225,228,223.5,224,32182
02/11/2015,223.1,223.9,223,223,6615
03/11/2015,223,223,222,222,4857
04/11/2015,221.2,221.2,221,221,3990
05/11/2015,221,222.1,221,221.1,22210
06/11/2015,223,225,223,224.9,2854
09/11/2015,224,224,224,224,1
11/11/2015,221.1,221.1,220,220,11329
12/11/2015,220,220.3,220,220.3,1210
13/11/2015,220,224,220,223.8,21098
16/11/2015,223.8,224,221,221,47930
17/11/2015,221.3,221.3,220,220.9,2434524
18/11/2015,221,221,218,218.6,73566
19/11/2015,219.7,219.7,218,218,94864
20/11/2015,218,218,213.7,214.5,134358
23/11/2015,215,215,208,210,38241
24/11/2015,205,205,202,203,7341
26/11/2015,202,202,197,198,34288
27/11/2015,199,200,195,196.5,223509
30/11/2015,197,197,193.5,193.5,2731
01/12/2015,195,195,192.9,193.3,27006
02/12/2015,194,194,188,189,32363
03/12/2015,190.1,190.5,189.1,190,67546
04/12/2015,190,190,189.5,189.5,7896
07/12/2015,189.1,190,189,190,15405
08/12/2015,189.7,190,189.6,189.9,6382
09/12/2015,190,190,187,187,169737
10/12/2015,190,190,187.6,188,692
11/12/2015,188.2,195.5,187,194.9,14380
14/12/2015,194.9,194.9,190,190,6977
15/12/2015,194,196,190.2,195,22531
16/12/2015,192,192,191.6,191.6,10175
17/12/2015,195.5,195.5,191.6,192,35173
18/12/2015,192,192,191.6,192,4761
21/12/2015,192,195,192,192,10212
22/12/2015,192,193.9,189.7,190,21227
23/12/2015,189,192,189,192,7396
28/12/2015,192.9,192.9,187,187,12675
29/12/2015,190,190,189,190,4606
30/12/2015,189,190,189,190,6418
31/12/2015,190,196,188.7,196,24291
04/01/2016,195,195,190,190,31020
05/01/2016,190,194.4,189.5,190,15186
06/01/2016,194.4,194.4,190,192,437
07/01/2016,190.1,192,190,190,41925
08/01/2016,189.9,189.9,188,188,22393
11/01/2016,189,189,187,187,77657
12/01/2016,187,187,178,178,29933
13/01/2016,176,178.5,176,177,172241
14/01/2016,177,177,176,176.7,13788
18/01/2016,176,176,170,170,144337
19/01/2016,170,171.5,165.2,168,143119
20/01/2016,168,168.1,165.5,167,14907
21/01/2016,166,172,166,170,9730
22/01/2016,170,173,170,170,7374
25/01/2016,171.8,172,170,170,22951
26/01/2016,170.2,170.2,166.4,167.8,80712
27/01/2016,170,170,169.3,169.9,214364
28/01/2016,170,170,169.5,170,33731
29/01/2016,170,175,170,170,143577
01/02/2016,170.1,173.9,170,170,283346
02/02/2016,170,173.2,170,170.1,139153
03/02/2016,173,173,169.3,169.8,24205
05/02/2016,170,170,169.8,170,3954
08/02/2016,170,172,170,171,8115
09/02/2016,170.5,170.5,169.3,170,13411
10/02/2016,170,170,170,170,5242
11/02/2016,170,170,169.8,169.8,6078
12/02/2016,169,169,168.1,168.5,2853
15/02/2016,170,171,170,171,3664
16/02/2016,171.9,172,170,171.5,119596
17/02/2016,170.5,170.5,169,169,1013
18/02/2016,170,172,169,170,20333
19/02/2016,170,170,169.5,170,1278
23/02/2016,170.9,174,170,173,10921
24/02/2016,170,170,167.5,167.5,13164
25/02/2016,168,168,165.5,165.5,537465
26/02/2016,165,167,164.6,165,48672
29/02/2016,165,165.1,164.6,164.6,87826
01/03/2016,164,164.9,164,164,10607
02/03/2016,164,164,163,163,15837
03/03/2016,163,163,159,159,39620
04/03/2016,158,159,157.1,158,11281
08/03/2016,157.1,164,154,154,16129
09/03/2016,153,153,150,151,256172
10/03/2016,153,157,152,157,450577
11/03/2016,155.4,165,155.4,165,30244
14/03/2016,167,167,161,162.3,31273
15/03/2016,165,165,160.1,160.3,4023
16/03/2016,160.4,166.9,160,166.9,5234
17/03/2016,162,167,162,167,224
18/03/2016,168,169.5,163,168,76109
21/03/2016,167,168.5,166,167.2,35648
