date,open,high,low,close,volume
2015-09-09,97,99,97,97,766493
2015-09-10,100,100,98,98,510
2015-09-11,99,100.7,99,100.7,201
2015-09-14,100.7,100.7,99,99.9,10561
2015-09-15,100,100,100,100,4000
2015-09-16,100,100.5,100,100,2851
2015-09-17,99,99.9,99,99.8,503
2015-09-18,99,99,99,99,189
2015-09-21,98.6,98.6,98.4,98.5,1070
2015-09-22,98.5,98.5,97,98,2809
2015-09-23,98,98.5,98,98,85189
2015-09-25,98.8,98.8,97.6,98,1500791
2015-09-28,99,99,97.9,98,1169
2015-09-29,98.5,98.5,97.5,97.5,1850
2015-09-30,97.5,98,97.2,97.2,4411
2015-10-01,98,98,97.5,97.9,2738669
2015-10-02,98,98,97.3,98,2020
2015-10-05,98,98,97,97,14627
2015-10-06,97.5,97.5,96.2,97,3581
2015-10-07,97.9,97.9,97.5,97.5,1420
2015-10-08,97.5,97.9,96,97.9,11700
2015-10-09,97.9,98.5,96.5,98.5,8387
2015-10-12,98,98,97,97,747
2015-10-13,97,97,95,96,14153
2015-10-14,95.9,95.9,95.2,95.6,7630
2015-10-15,95.2,95.9,95.2,95.9,2808
2015-10-16,95.2,95.2,94.9,95,12715
2015-10-19,95.5,95.5,94.5,95.4,5462758
2015-10-20,94.9,96,94.9,96,28530
2015-10-21,95.2,96.6,95,96.6,5138
2015-10-22,95.2,96,95,96,47867
2015-10-23,96,96,95.2,95.3,9172
2015-10-26,96,96.4,95.6,96,16751
2015-10-28,96,96.5,96,96.5,13240
2015-10-29,96.4,96.5,95.5,95.5,7771
2015-10-30,95.2,96.5,95.1,95.2,1299
2015-11-02,95,96,95,95,4234
2015-11-03,93,93,93,93,1850
2015-11-04,93.1,95,93.1,95,10811
2015-11-05,94.9,95,94.9,95,1905
2015-11-06,94.9,95.9,94.5,95,22841
2015-11-09,95.5,95.5,95,95,47
2015-11-11,95,95,95,95,5128
2015-11-12,94.5,94.5,94.3,94.5,3290
2015-11-13,94.2,94.4,93,93,30011
2015-11-16,93.1,93.1,92.1,92.1,81565
2015-11-17,92,92,91.5,91.9,12320
2015-11-18,91.5,91.5,90,91,34320
2015-11-19,91,91.6,91,91.4,12869
2015-11-20,91.4,92,90.3,91.9,7046
2015-11-23,90,90.1,87.5,87.6,50510
2015-11-24,87.6,87.6,86.1,86.2,5710
2015-11-26,86,86,80,83,178473
2015-11-27,82.9,84.3,82.9,84,33102
2015-11-30,83.8,83.8,82.9,83,20198
2015-12-01,84,84,82.6,82.6,31850
2015-12-02,83,83.5,82.5,83,46580
2015-12-03,83,83.5,83,83.5,3361
2015-12-04,83.2,83.5,82.2,83,46779
2015-12-07,84,84,82,82,8424
2015-12-08,82.9,82.9,80.5,80.6,186135
2015-12-09,81.1,82,81.1,81.8,28531
2015-12-10,81.5,81.5,81.2,81.5,4270
2015-12-11,81.9,83,81.9,83,328278
2015-12-14,83.1,84,83,83.5,26681
2015-12-15,83.5,86,83.5,85.9,19415
2015-12-16,85.8,86,84.5,85.5,260120
2015-12-17,85.5,85.9,85,85.5,27622
2015-12-18,85.9,86,85.5,85.5,22523
2015-12-21,87.1,93,86.5,87,50527
