date,open,high,low,close,volume
2015-09-09,3.4,3.5,3.3,3.5,435377
2015-09-10,3.4,3.5,3.4,3.4,103352
2015-09-11,3.4,3.4,3.4,3.4,351391
2015-09-14,3.4,3.6,3.4,3.5,602409
2015-09-15,3.5,3.7,3.5,3.6,390270
2015-09-16,3.6,3.6,3.6,3.6,454019
2015-09-17,3.6,3.8,3.6,3.7,1104781
2015-09-18,3.7,3.9,3.7,3.8,840547
2015-09-21,3.8,3.8,3.7,3.8,552774
2015-09-22,3.7,3.8,3.7,3.7,1011378
2015-09-23,3.8,3.8,3.7,3.8,1003851
2015-09-25,3.8,3.8,3.7,3.8,812927
2015-09-28,3.7,3.7,3.7,3.7,544011
2015-09-29,3.6,3.6,3.5,3.5,205666
2015-09-30,3.6,3.6,3.6,3.6,3067
2015-10-01,3.6,3.6,3.5,3.5,6816
2015-10-02,3.5,3.7,3.5,3.6,56355
2015-10-05,3.6,3.6,3.6,3.6,3901
2015-10-06,3.6,3.7,3.6,3.6,77410
2015-10-07,3.7,3.7,3.6,3.6,8519
2015-10-08,3.6,3.7,3.6,3.6,69135
2015-10-09,3.6,3.6,3.4,3.5,173505
2015-10-12,3.5,3.6,3.5,3.5,93829
2015-10-13,3.5,3.5,3.4,3.4,5940
2015-10-14,3.5,3.6,3.5,3.5,148830
2015-10-15,3.5,3.5,3.5,3.5,140632
2015-10-16,3.5,3.5,3.4,3.5,65040
2015-10-19,3.4,3.5,3.4,3.4,1332
2015-10-20,3.4,3.4,3.4,3.4,3600
2015-10-21,3.4,3.4,3.4,3.4,59732
2015-10-22,3.5,3.5,3.4,3.4,1890
2015-10-23,3.4,3.4,3.3,3.3,52300
2015-10-26,3.4,3.5,3.4,3.5,2785
2015-10-28,3.5,3.5,3.5,3.5,1600
2015-10-29,3.4,3.4,3.3,3.4,14436
2015-10-30,3.4,3.4,3.4,3.4,200
2015-11-02,3.3,3.3,3.3,3.3,2000
2015-11-03,3.3,3.4,3.3,3.4,61048
2015-11-04,3.4,3.5,3.3,3.4,85955
2015-11-05,3.3,3.3,3.3,3.3,142
2015-11-06,3.5,3.5,3.3,3.4,5203
2015-11-09,3.4,3.4,3.3,3.3,43100
2015-11-11,3.3,3.4,3.3,3.3,89998
2015-11-12,3.4,3.4,3.4,3.4,1750
2015-11-13,3.3,3.3,3.3,3.3,132
2015-11-16,3.3,3.3,3.2,3.2,24222
2015-11-17,3.4,3.4,3.4,3.4,51000
2015-11-18,3.4,3.4,3.4,3.4,500
2015-11-19,3.3,3.3,3.3,3.3,25000
2015-11-20,3.3,3.4,3.3,3.4,161
2015-11-23,3.3,3.3,3.3,3.3,19878
2015-11-24,0,0,0,0,0
2015-11-26,3.3,3.3,3.3,3.3,10000
2015-11-27,0,0,0,0,0
2015-11-30,3.2,3.2,3.2,3.2,500
2015-12-01,3.3,3.3,3.2,3.3,13200
2015-12-02,3.2,3.2,3.2,3.2,37845
2015-12-03,3.2,3.2,3.2,3.2,22202
2015-12-04,3.2,3.2,3.1,3.1,15000
2015-12-07,3.3,3.3,3.2,3.2,320
2015-12-08,3.2,3.2,3,3,19979
2015-12-09,3.1,3.1,3,3,45501
2015-12-10,3.1,3.2,3.1,3.1,26000
2015-12-11,3.1,3.2,3.1,3.2,423220
2015-12-14,3.1,3.2,3.1,3.2,5249
2015-12-15,3.3,3.3,3.2,3.2,233
2015-12-16,3.3,3.3,3.1,3.2,69299
2015-12-17,3.2,3.2,3.2,3.2,1000
2015-12-18,3.3,3.3,3.2,3.2,80670
2015-12-21,3.2,3.2,3.2,3.2,1066
2015-12-22,3.1,3.3,3.1,3.3,9542
2015-12-23,3.2,3.3,3.2,3.3,162040
2015-12-28,3.3,3.3,3.2,3.2,1338
2015-12-29,3.3,3.3,3.2,3.2,8028
2015-12-30,3.2,3.3,3.2,3.3,2030
2015-12-31,3.3,3.3,3.3,3.3,3150
2016-01-04,3.4,3.4,3.2,3.3,73100
2016-01-05,3.3,3.3,3.2,3.2,1366
2016-01-06,3.2,3.3,3.2,3.3,3000
2016-01-07,3.2,3.2,3.2,3.2,300
2016-01-08,3.2,3.2,3.2,3.2,12848
2016-01-11,3.2,3.2,3.1,3.2,6190
2016-01-12,3.2,3.2,3.1,3.1,6001
2016-01-13,3.2,3.2,3.1,3.2,880
2016-01-14,3.1,3.2,3.1,3.2,600
2016-01-18,3.1,3.2,3.1,3.1,1061417
2016-01-19,3.1,3.1,3,3,119370
2016-01-20,3.1,3.1,3,3,16930
2016-01-21,3.1,3.1,3.1,3.1,259
2016-01-22,3.2,3.2,3.2,3.2,39
2016-01-25,3.1,3.1,3.1,3.1,101193
2016-01-26,0,0,0,0,0
2016-01-27,3.2,3.2,3,3,11290
2016-01-28,3,3,3,3,210004
2016-01-29,0,0,0,0,0
2016-02-01,3.1,3.1,3.1,3.1,16450
2016-02-02,3.1,3.1,3.1,3.1,10000
2016-02-03,3.1,3.1,3.1,3.1,7311
2016-02-05,3.1,3.1,3.1,3.1,99
2016-02-08,3.1,3.1,3.1,3.1,28550
2016-02-09,3.1,3.1,3.1,3.1,28293
2016-02-10,3.1,3.1,3.1,3.1,17000
2016-02-11,3.1,3.1,3.1,3.1,199
2016-02-12,3.1,3.1,3.1,3.1,38784
2016-02-15,3.1,3.2,3.1,3.2,13000
2016-02-16,3.1,3.2,3.1,3.2,35723
2016-02-17,3.1,3.1,3.1,3.1,1300
2016-02-18,3,3.1,3,3.1,3028
2016-02-19,3.1,3.1,3,3.1,10000
2016-02-23,3.1,3.5,3.1,3.3,38992326
2016-02-24,3.2,3.5,3.2,3.4,545737
2016-02-25,3.4,3.5,3.4,3.4,695105
2016-02-26,3.4,3.5,3.4,3.4,154
2016-02-29,3.4,3.5,3.4,3.5,291251
