date,open,high,low,close,volume
2015-09-09,0,0,0,0,0
2015-09-10,2010,2010,2010,2010,1
2015-09-11,2020,2020,2010,2010,300
2015-09-14,2010,2020,2010,2015,149
2015-09-15,2010,2020,2000,2020,5821
2015-09-16,2030,2030,2030,2030,13
2015-09-17,0,0,0,0,0
2015-09-18,2030,2030,2020,2030,141
2015-09-21,2030,2030,2029,2030,62
2015-09-22,2020,2030,2010,2030,350
2015-09-23,2020,2020,2001,2001,142
2015-09-25,2000,2002,2000,2001,32
2015-09-28,2002.5,2020,2002.5,2020,870
2015-09-29,2020,2100,2020,2100,4540
2015-09-30,2011,2100,2010,2050,1017
2015-10-01,0,0,0,0,0
2015-10-02,2010.4,2100,2010.4,2100,24575
2015-10-05,2099.1,2100,2099.1,2100,664
2015-10-06,2100,2110,2100,2100,12348
2015-10-07,2100,2113,2100,2100,1501
2015-10-08,2094,2100,2094,2100,1194
2015-10-09,2100,2125,2100,2110,1921
2015-10-12,2120,2120,2100,2100,281
2015-10-13,2120,2150,2100,2100,9506
2015-10-14,2100,2150,2100,2100,102
2015-10-15,0,0,0,0,0
2015-10-16,2100,2100,2100,2100,572
2015-10-19,2100,2100,2100,2100,128
2015-10-20,2100,2100,2100,2100,100
2015-10-21,2105,2105,2050,2050,256
2015-10-22,2005.3,2005.3,2000,2000,200
2015-10-23,2010,2010,2010,2010,10
2015-10-26,2149.8,2149.8,2022,2022,16
2015-10-28,2149.7,2149.7,2022,2025,103
2015-10-29,2037,2037,2020,2020,28
2015-10-30,2030,2030.5,2030,2030.5,1427
2015-11-02,2020,2075,2020,2075,220
2015-11-03,0,0,0,0,0
2015-11-04,0,0,0,0,0
2015-11-05,2050,2050,2050,2050,30972
2015-11-06,2100,2100,2099.9,2100,103
2015-11-09,2031.1,2100,2030.1,2100,25
2015-11-11,2099,2099,2090,2090,60
2015-11-12,2075,2075,2020,2020,29371
2015-11-13,2070,2070,2025,2025,343
2015-11-16,2025.9,2075,2025.1,2075,121
2015-11-17,2075,2075,2075,2075,1
2015-11-18,0,0,0,0,0
2015-11-19,2075,2100,2075,2099.9,91
2015-11-20,2099.9,2099.9,2099.9,2099.9,3
2015-11-23,2075,2119.9,2075,2090,387
2015-11-24,2124.5,2200,2091,2199,30503
2015-11-26,2100,2195,2075.1,2190,471
2015-11-27,2185,2185,2102,2102,11
2015-11-30,2100.3,2101,2100,2100,230
2015-12-01,2100,2176,2100,2150,96
2015-12-02,2100,2150,2100,2110,163
2015-12-03,2111,2140,2100,2100,289
2015-12-04,2100,2100,2075.1,2075.1,3913
2015-12-07,2150,2240,2080.2,2200,5100
2015-12-08,0,0,0,0,0
2015-12-09,0,0,0,0,0
2015-12-10,2061,2199,2061,2080,1046
2015-12-11,2198,2200,2198,2200,2800
2015-12-14,2080.1,2086,2080,2080,39
2015-12-15,2080.1,2081,2080.1,2081,3
2015-12-16,2100,2189.7,2081,2189.7,137
2015-12-17,2110,2180,2100,2180,11
2015-12-18,2105,2150,2104.4,2150,277
