date,open,high,low,close,volume
2015-09-09,26.5,27,26.5,26.9,82620
2015-09-10,27,27,26.5,26.6,36192
2015-09-11,26.8,26.9,26.7,26.9,10952
2015-09-14,26.9,26.9,26.7,26.9,21498
2015-09-15,26.8,27,26.8,27,2100
2015-09-16,26.8,26.8,26.6,26.6,658
2015-09-17,26.6,26.6,26.5,26.5,8730
2015-09-18,26.4,26.4,26.1,26.4,10186
2015-09-21,26.2,26.5,26,26.5,21648
2015-09-22,26.5,26.5,26,26.5,13650
2015-09-23,26.5,26.6,26.2,26.5,28525
2015-09-25,26.2,26.2,26,26,12808
2015-09-28,26,26,25.8,25.8,17903
2015-09-29,25.8,26,25.8,25.9,32784
2015-09-30,25.8,26,25.7,25.8,30816
2015-10-01,25.8,28,25.8,27,84704
2015-10-02,27.1,27.5,26.9,27,84540
2015-10-05,27.5,27.5,27.3,27.3,37835
2015-10-06,27.3,27.4,27.2,27.2,10650
2015-10-07,27.3,27.3,27,27,62350
2015-10-08,27,27,26.8,27,55205
2015-10-09,27,27.2,27,27.1,97914
2015-10-12,27.2,27.8,27.2,27.8,55717
2015-10-13,27.4,28.6,27.4,28.3,374371
2015-10-14,27.5,28.3,27.5,28,111270
2015-10-15,27.5,28,27.5,27.6,62158
2015-10-16,27.6,28,27.6,28,47097
2015-10-19,28,28,27.9,27.9,75100
2015-10-20,28,28.3,28,28.3,23748
2015-10-21,28.3,28.3,28,28,15499
2015-10-22,28,28.4,27.9,28,89423
2015-10-23,28,28.1,27.8,28,25238
2015-10-26,28.1,28.5,28.1,28.5,3030
2015-10-28,28.6,29.5,28.6,28.8,444654
2015-10-29,29.3,29.3,28.6,28.8,58303
2015-10-30,28.6,28.7,28.5,28.6,92345
2015-11-02,28.8,28.9,28.6,28.8,1491043
2015-11-03,28.8,28.8,28.5,28.5,26745
2015-11-04,28.6,28.6,27.8,28.1,600557
2015-11-05,28.5,28.5,27.8,28,318172
2015-11-06,28.3,28.4,28,28,109590
2015-11-09,28,28,27.9,28,209818
2015-11-11,28,28.1,28,28.1,33555
2015-11-12,28,28.1,27.7,28.1,54150
2015-11-13,28.2,28.2,27.9,27.9,12849
2015-11-16,28,28,27.9,27.9,29200
2015-11-17,28,28,27.8,28,61301
2015-11-18,28,28,28,28,31835
2015-11-19,28.1,28.5,28.1,28.5,55510
2015-11-20,28,28.5,28,28.5,172843
2015-11-23,27.8,28,27.7,27.9,105501
2015-11-24,27.7,27.7,27.5,27.5,6050
2015-11-26,27.5,27.5,27,27,54959
2015-11-27,27,27.6,26.7,26.9,9828
2015-11-30,26.9,26.9,26,26.7,10456
2015-12-01,26.5,26.5,26.5,26.5,3650
2015-12-02,26.5,27.4,26,26.5,9624
2015-12-03,26.5,27,26,26.5,6795
2015-12-04,26.2,26.3,26.2,26.3,4101
2015-12-07,26.5,27,26.5,26.6,25087
2015-12-08,26.5,26.5,26.2,26.2,25423
2015-12-09,26.2,26.3,26.2,26.3,20279
2015-12-10,26.1,26.4,26,26.1,12400
2015-12-11,26.1,26.3,26.1,26.1,11190
2015-12-14,26,26.2,25.9,26.1,15400
2015-12-15,26,26.2,25.8,26.1,36115
2015-12-16,26.2,26.3,26.1,26.1,16021
2015-12-17,26.5,27,26.5,27,56600
2015-12-18,27,27,26.7,26.7,4505
2015-12-21,27.2,27.4,26.6,27,25536
2015-12-22,27,27,26.8,26.8,9015
2015-12-23,27,27,27,27,3402
2015-12-28,26.9,27,26.8,27,10556
2015-12-29,27,27.4,27,27.4,1192
2015-12-30,27.4,27.5,27,27,15302
