date,open,high,low,close,volume
2015-09-09,262,263,262,262.2,3987
2015-09-10,262.2,263.5,262,262,42942
2015-09-11,262.6,263.5,262.1,262.5,7778
2015-09-14,262.5,262.5,262.1,262.1,44494
2015-09-15,262.1,262.5,262.1,262.5,18494
2015-09-16,262.2,262.5,260.1,262,186231
2015-09-17,261,261.5,260,261,122983
2015-09-18,260.5,261.5,260.5,261.3,6282
2015-09-21,261.5,261.5,258,258,71018
2015-09-22,258.1,260,256.5,259.9,45506
2015-09-23,260,261,259.9,261,37233
2015-09-25,260.4,260.5,260,260,13400
2015-09-28,260,261,258.5,260,48114
2015-09-29,260,260.6,260,260,28070
2015-09-30,260.7,260.7,258,258.1,17428
2015-10-01,259.5,261,259.5,260.5,17983
2015-10-02,260,260.2,260,260,31192
2015-10-05,260.5,260.5,260,260,42197
2015-10-06,260,260,259.9,260,50553
2015-10-07,259.9,260,258.1,259.9,7923
2015-10-08,258.2,259.9,258.2,259.5,18686
2015-10-09,259.1,261,259.1,259.9,57932
2015-10-12,260,260.9,259.9,259.9,45278
2015-10-13,259.9,260,258,258,52555
2015-10-14,258.4,258.5,257,258,22895
2015-10-15,258.5,258.5,257,258.5,10768
2015-10-16,257,258.4,257,257,6207
2015-10-19,258,258,256,256,9627
2015-10-20,257,259,256.2,258.5,19138
2015-10-21,259,259,258,258.1,30946
2015-10-22,258,258.5,258,258,9420
2015-10-23,258.5,258.5,258,258.4,7414
2015-10-26,258.1,259,258,258,18845
2015-10-28,258,259,258,258,120114
2015-10-29,258,260,258,258.5,76314
2015-10-30,258.2,258.2,257,257,74696
2015-11-02,257,258,256,256,9606
2015-11-03,255,256,255,255,35352
2015-11-04,255,256,255,256,11843
2015-11-05,255,258.5,255,258.5,21422
2015-11-06,256.1,257,255.5,257,389
2015-11-09,257,257,255.5,255.5,91251
2015-11-11,253,256,253,255,8064
2015-11-12,255,255,253.5,254.1,6597
2015-11-13,255,255,252.5,253.6,1532
2015-11-16,261,261,256,256,65168
2015-11-17,256,258,252,254,7874
2015-11-18,254,260,254,258.1,34208
2015-11-19,259,261,257,261,48362
2015-11-20,260,261.9,260,261,10781
2015-11-23,260,260,253,254,40868
