date,open,high,low,close,volume
2015-09-09,157,159,155,159,16256
2015-09-10,157.1,159,155,155.6,20991
2015-09-11,155.3,158.9,155.2,158.9,6308
2015-09-14,156,158,155.5,156.4,9829
2015-09-15,156.5,159,156.5,157.5,43274
2015-09-16,157,165.9,157,165,304178
2015-09-17,161,168,160,165,74072
2015-09-18,161.9,165,160.2,162,5160
2015-09-21,160.2,162,160,161,7070
2015-09-22,160,163,159.5,159.6,16837
2015-09-23,159.5,162.9,159.3,160,7185
2015-09-25,159.4,159.4,158,158,12742
2015-09-28,159,161,158,161,12354
2015-09-29,158.1,161,158,158,30248
2015-09-30,157,159.9,156,159.9,15635
2015-10-01,156.5,159,155.5,156,10767
2015-10-02,156.1,159.9,155,157,32323
2015-10-05,156.1,159,156.1,157.1,30303
2015-10-06,157.2,160,156,156,14327
2015-10-07,156.5,160,155,157,47275
2015-10-08,155.5,160,155.2,155.2,45422
2015-10-09,156,160,155.1,160,11988
2015-10-12,157,160,157,160,24735
2015-10-13,157.1,158.1,157.1,158,8789
2015-10-14,158,159.9,156.3,159.9,20493
2015-10-15,156.5,159.5,156,159.5,12152
2015-10-16,156.5,156.5,156,156.2,5162
2015-10-19,156,158.9,155.1,155.1,43395
2015-10-20,156,158,154.5,155.1,13315
2015-10-21,155.3,156,154.9,156,4182
2015-10-22,155.1,156,154.1,156,166197
2015-10-23,155,160,155,155,81554
2015-10-26,154.2,155,154.1,154.1,28450
2015-10-28,154.1,157.9,154,155,20428
2015-10-29,153.1,155,153.1,154.5,110426
2015-10-30,157.9,160,154,154.5,28673
2015-11-02,155,158,153.1,158,12052
2015-11-03,153.2,158,153.1,153.5,8508
2015-11-04,153,158,153,153.3,11158
2015-11-05,153.3,158,153.3,158,8579
2015-11-06,158,158,153.5,155,8883
2015-11-09,154,155,153.4,155,12990
2015-11-11,151,155,151,155,24315
2015-11-12,151,155,151,155,19180
2015-11-13,151,155,151,155,17112
2015-11-16,151.7,153,150.1,153,21812
2015-11-17,150.2,154,150.2,151.3,14068
2015-11-18,152.5,154,151,154,5303
2015-11-19,151,154,151,154,15953
