date,open,high,low,close,volume
2015-09-09,40,41,40,40.4,203266
2015-09-10,40.8,40.8,39.4,39.5,82515
2015-09-11,40,40,39.5,39.6,76491
2015-09-14,40,40.5,39.9,40.4,325332
2015-09-15,40.7,40.8,40.2,40.3,43887
2015-09-16,40.5,40.5,39.9,40.1,76361
2015-09-17,40.4,40.5,39.6,39.9,86415
2015-09-18,39.6,40.5,39.5,39.7,145349
2015-09-21,39.9,40.3,39.2,39.3,123770
2015-09-22,39.5,39.7,39,39.1,95682
2015-09-23,39,39.5,38.4,39,82124
2015-09-25,38.8,40,38.7,39.9,58232
2015-09-28,39.2,40.3,39.2,40,160904
2015-09-29,39.5,40.9,39.5,40.5,114318
2015-09-30,40.8,41.5,40.7,41.3,717497
2015-10-01,41.5,43.2,41.5,42.7,980868
2015-10-02,42.9,43.8,42.7,43.3,531994
2015-10-05,43.5,43.8,42.1,42.1,149970
2015-10-06,42,43,41.6,42.5,215090
2015-10-07,42,42.4,41.3,41.9,105859
2015-10-08,41.6,42.8,41,42.5,108593
2015-10-09,42,43.2,42,43.2,1552402
2015-10-12,43.5,44.2,43.3,43.4,1394839
2015-10-13,44,44,42.5,43,286924
2015-10-14,42.2,43.9,42.2,43,115156
2015-10-15,42.4,42.8,42.2,42.7,57986
2015-10-16,42.7,43.5,42.5,43,380654
2015-10-19,43.5,43.5,42.1,43,153252
2015-10-20,43.1,44,43,43.6,2341476
2015-10-21,43.7,44,43.7,43.7,69516
2015-10-22,43.7,44,43,43,79560
2015-10-23,42.9,43.5,42.5,42.6,27549
2015-10-26,43,43,42.5,42.8,24476
2015-10-28,42.6,43,42.2,42.5,35611
2015-10-29,42.5,43,42.1,42.5,21917
2015-10-30,42,42.4,41.5,41.7,262623
2015-11-02,42.5,42.5,41.6,41.6,15104
2015-11-03,41.5,41.7,40.9,41,140498
2015-11-04,41.7,41.9,40.6,41.5,55142
2015-11-05,41.4,42,41.2,42,52323
2015-11-06,42.3,43,41.6,41.8,45834
2015-11-09,42.8,42.8,41.8,42,27205
2015-11-11,41.8,42.7,41,41.6,653922
2015-11-12,39.5,39.5,37,37.5,915686
2015-11-13,38.2,38.9,37.5,38,89475
2015-11-16,38.5,38.7,38,38.2,84211
2015-11-17,38.1,38.5,38,38.3,60565
2015-11-18,38.4,39.4,38.3,39.4,182989
2015-11-19,39.5,39.5,39,39.5,137544
2015-11-20,39.6,39.9,39.1,39.5,53263
2015-11-23,39.9,40,38.2,38.8,63109
2015-11-24,38.3,38.3,36.9,36.9,98462
2015-11-26,37.1,37.3,36.8,36.9,33483
2015-11-27,37,38,37,37,210781
2015-11-30,37.9,37.9,36.8,37,74550
2015-12-01,37.5,37.5,36.8,36.9,25777
2015-12-02,36.8,36.9,35,35.5,647046
2015-12-03,35.9,36.5,34.8,35,126463
2015-12-04,35.7,35.8,35,35.1,15403
2015-12-07,35.9,35.9,34.5,34.6,15101
2015-12-08,34.2,35.4,34.2,34.8,271814
2015-12-09,34.8,34.9,34.5,34.9,12410
2015-12-10,34.5,34.8,34.5,34.8,11349
2015-12-11,34.5,36,34.2,35.9,61777
2015-12-14,36.1,36.1,34.5,34.5,36007
2015-12-15,34.9,36,34.6,35.1,313742
2015-12-16,35.1,35.5,34.8,35.5,16263
2015-12-17,35.5,36.9,35.5,36.2,158716
2015-12-18,36.2,37,36.2,36.9,29468
2015-12-21,36.9,38.5,36.1,36.1,192033
2015-12-22,36.6,36.9,36.2,36.3,28351
2015-12-23,36.5,36.5,36.1,36.5,18850
2015-12-28,36.5,36.7,36.2,36.6,15334
2015-12-29,36.8,36.9,36.5,36.9,15880
2015-12-30,37,37.6,37,37.1,3677
2015-12-31,37,37.5,36.5,37.5,68185
2016-01-04,37,37.5,37,37,42390
2016-01-05,37,37,36.8,37,13952
2016-01-06,36.8,37,36.3,36.3,34666
2016-01-07,37,37,35.9,36,54065
2016-01-08,35.6,35.8,35.3,35.8,67651
2016-01-11,35.3,35.3,34.8,35,29315
2016-01-12,34.5,35,34,34,770410
2016-01-13,34.3,34.8,33.8,34.1,332970
2016-01-14,34.3,34.3,33.5,33.6,37535
2016-01-18,33.5,34.3,32.1,32.2,195579
2016-01-19,32.2,32.8,30.7,32.8,585441
2016-01-20,33,33,31.8,32.5,114383
2016-01-21,32.5,34,32.5,33,169981
2016-01-22,33.3,34,32.5,33,88958
2016-01-25,32.5,33,31.9,33,10037
2016-01-26,33.4,33.4,32.5,32.5,2991
2016-01-27,32,32.5,31.9,32.4,38922
2016-01-28,32,32.5,31.5,31.5,25244
2016-01-29,32.4,33,31.4,32,115291
2016-02-01,32.9,33,32,32.1,31088
2016-02-02,32.5,33,32.1,32.9,54655
2016-02-03,32.7,32.7,31,31.9,199621
2016-02-05,31.9,32,31.8,31.9,9730
2016-02-08,31.9,32.8,31.5,32,23949
2016-02-09,31.6,31.6,31.3,31.5,119321
2016-02-10,31.5,32.4,31.3,32.3,111635
2016-02-11,32.5,32.5,31.5,32,301591
2016-02-12,32,32.6,31.9,32,187171
2016-02-15,32,32,31.5,31.5,146735
2016-02-16,32.5,32.6,31.5,32,164012
2016-02-17,32,32,30,30.5,308396
2016-02-18,30.5,31,30.2,31,49160
2016-02-19,31.4,31.5,31.3,31.5,19044
2016-02-23,31.5,31.5,31.1,31.1,15788
2016-02-24,31.1,31.5,31,31.5,98427
2016-02-25,31.5,31.5,31,31.4,25109
2016-02-26,31.5,31.5,31,31,44282
2016-02-29,31.4,31.4,30.2,30.2,44278
2016-03-01,30.2,30.7,30,30.5,317004
2016-03-02,31,31,30.3,30.3,16031
2016-03-03,30.4,30.6,30,30.2,230870
2016-03-04,30.6,30.6,30,30.4,30030
2016-03-08,30.3,30.5,30,30.5,316684
2016-03-09,30.6,31,30.1,30.5,490205
2016-03-10,31,31.8,31,31.7,149481
2016-03-11,31.5,33.5,31.5,33.5,10240079
2016-03-14,33,33,31.3,32,28295
2016-03-15,32,32.9,31.5,32.1,249723
2016-03-16,32.1,34.8,32,34,125865
2016-03-17,33.7,34.1,33.5,33.8,136596
2016-03-18,34,34,32.1,33,9932
2016-03-21,0,0,0,0,0
2016-03-23,33.1,33.2,33,33,17986
2016-03-24,33.1,34,32.8,34,233145
2016-03-28,33.9,34,32.8,32.8,134652
2016-03-29,32.1,32.3,31.5,32.3,85238
2016-03-30,32,32.8,32,32.2,17053
2016-03-31,32,32.5,32,32.5,37658
2016-04-01,32.7,32.7,32.5,32.7,16058
2016-04-04,32.8,33,32.6,32.6,5502
2016-04-05,32.9,34.9,32.9,33.8,96192
2016-04-06,33.8,34.4,33.1,33.5,32192
2016-04-07,33.8,35,33.8,34.5,191179
2016-04-08,34.4,36.4,34.4,36,481463
2016-04-11,35.6,35.6,35,35.6,25921
2016-04-12,35.2,36.4,35.2,36,50936
2016-04-15,36.2,38.6,36.2,36.7,108917
2016-04-18,37,37,35.4,35.9,9264
2016-04-19,36,36,35,35.1,72956
2016-04-20,35.5,36,35.4,35.9,20931
2016-04-22,36,36.4,36,36,7450
2016-04-25,35.7,35.9,35,35.9,39368
2016-04-26,35.5,36,35.5,35.5,160370
2016-04-27,35.5,36.8,35.5,36.5,126405
2016-04-28,36.5,37.6,36.1,37.6,259176
2016-04-29,37,38.5,37,38,588154
2016-05-03,38,39.4,38,39,256076
2016-05-04,39.5,39.7,38,38.3,311052
2016-05-05,38,39.4,38,39,32959
2016-05-06,39.3,39.3,38.5,38.9,84564
2016-05-09,39,39.5,38.8,39,242616
2016-05-10,39,39,38.7,39,81328
2016-05-11,39,39,38.5,38.7,85070
2016-05-12,38.8,38.8,38.3,38.6,8431
2016-05-13,38.7,38.8,38,38,37463
2016-05-16,38.4,39.2,38.4,38.7,390527
2016-05-17,38.9,38.9,37.9,37.9,114535
2016-05-18,38,38,37.6,38,136288
2016-05-19,37.7,37.9,36.5,37,244341
2016-05-20,38,38.5,37,37.2,600098
2016-05-24,37.5,38,37,37.1,382311
2016-05-25,37.3,37.8,37.2,37.3,20562
2016-05-26,37.4,37.5,36.8,36.8,189792
2016-05-27,36.8,37,36.8,37,11685
2016-05-30,37,37,36.6,36.8,24689
2016-05-31,36.6,36.9,36.2,36.2,51162
2016-06-01,37,37,36.2,36.8,170
2016-06-02,36.3,36.4,35.8,36,150506
2016-06-03,37.2,37.2,35.8,36,63151
2016-06-06,37,37,36.1,36.3,20907
2016-06-07,36.3,36.3,35.8,36,4812
2016-06-08,36,36.4,36,36.4,36398
2016-06-09,36.1,36.7,36,36,23560
2016-06-10,36,36.5,35.7,36,12263
2016-06-13,36,36,35.6,35.7,17096
2016-06-14,35.8,35.8,35.5,35.5,98427
2016-06-15,35.7,36,35.5,35.5,17850
2016-06-16,35.1,35.2,35,35,66806
2016-06-17,35,35.8,34.3,35.5,128930
2016-06-20,35.3,35.5,35.1,35.1,29451
2016-06-21,35.1,35.7,35.1,35.1,8227
2016-06-22,35.1,35.2,35,35.1,160603
2016-06-23,35.1,35.2,35.1,35.2,78351
2016-06-24,35,35,34.5,34.9,44845
2016-06-27,34.5,34.5,33.9,33.9,69879
2016-06-28,34,34.5,34,34,130981
2016-06-29,34,34.5,34,34.5,205350
2016-06-30,34,34.5,34,34.2,20789
2016-07-01,34,34.6,34,34.5,9292
2016-07-04,34.2,34.9,34.2,34.7,119321
2016-07-05,34.6,35.9,34.6,35.5,122743
2016-07-07,35.1,35.9,35.1,35.4,15062
2016-07-08,35.9,36.5,35.9,36.4,190317
2016-07-11,36.5,36.5,35.7,35.7,59074
2016-07-12,36,36.4,35.8,35.8,141040
2016-07-13,35.8,35.8,35.4,35.4,68065
2016-07-14,35.5,35.5,34.7,35,178860
2016-07-15,35.3,35.8,34.8,35,80958
2016-07-18,34.9,35.4,34.5,35,19473
2016-07-20,36,36,34.5,35,165356
2016-07-21,35,35.5,35,35,6494
2016-07-22,35.5,35.5,35,35.3,43068
2016-07-25,35.4,35.4,34.8,35.4,30646
2016-07-26,35.4,35.4,35,35,137237
2016-07-27,35,35.4,35,35,9170
2016-07-28,35.4,35.6,35,35,60493
2016-07-29,35,35.5,35,35.1,28367
2016-08-01,35.4,36.5,35.4,36.4,80531
2016-08-02,36,36.9,36,36.5,245853
2016-08-03,36.9,37,36,36,215401
2016-08-04,35.9,36.5,35.9,36.5,100301
2016-08-05,36.1,37,36,37,44605
2016-08-08,37,37.5,36.5,37.1,230769
2016-08-09,37,37.5,36.6,36.6,196197
2016-08-10,37,37,36.9,36.9,76411
2016-08-11,37,37.4,37,37.4,449538
2016-08-12,37.4,37.8,37.1,37.8,196067
2016-08-15,39.9,40.2,38.8,40,2665960
2016-08-16,40,41,40,40.5,1984955
2016-08-18,40.5,41,40.5,41,1090281
2016-08-19,41,41.4,40.6,41,402651
2016-08-22,41,41.1,40.1,40.4,127376
2016-08-23,40.4,41.4,40,41.4,688572
2016-08-24,41.1,42.9,41.1,42.3,811628
2016-08-25,42.5,42.8,41.9,41.9,610228
2016-08-26,41.6,41.6,37.2,37.4,5496009
2016-08-29,37,37.4,35.9,37,1644508
2016-08-30,37.3,38.2,36.8,38.2,578572
2016-08-31,38.2,38.8,38.2,38.5,346390
2016-09-01,38.6,38.7,38.2,38.5,189675
2016-09-02,38.4,38.4,37.3,37.7,85438
2016-09-05,37.6,37.6,37,37.3,64061
2016-09-06,37.2,37.2,36.2,36.5,38351
2016-09-07,37,37,36.6,36.7,58451
2016-09-08,36.7,36.8,36.3,36.5,125580
2016-09-09,36.9,37.8,36.9,37.4,48017
2016-09-13,37.5,37.5,37,37.4,18348
2016-09-14,37,37.7,37,37.5,93454
2016-09-15,37.7,37.7,37,37.7,53108
2016-09-19,37.4,38,37,38,72644
2016-09-20,38,38,37,37,46638
2016-09-21,37.9,37.9,37,37.5,129604
2016-09-22,37.5,37.9,37.5,37.9,439257
2016-09-23,38,38,37.5,37.8,192056
2016-09-26,37.3,37.3,36.5,36.6,128211
2016-09-27,36.7,36.7,36,36,116261
2016-09-28,36,36.4,35.5,36.1,59196
2016-09-29,36.1,36.5,36,36.1,225212
2016-09-30,36.5,36.5,36,36.2,263273
2016-10-03,36.5,37,36.2,36.2,70075
2016-10-04,36.2,37,36.2,36.5,8880
2016-10-05,36.8,36.8,36.2,36.5,9610
2016-10-06,36.5,36.5,35.8,36,24039
2016-10-07,36.5,36.6,36,36,27069
2016-10-10,35.9,36.5,35.9,36,29508
2016-10-11,36.4,36.4,35.6,35.7,21195
2016-10-12,35.7,35.7,35,35,34048
2016-10-13,35.5,35.9,34.9,34.9,18436
2016-10-14,35,35.2,34.9,35,38013
2016-10-17,34.9,35.8,34.9,34.9,82562
2016-10-18,35,35,34,34,57391
2016-10-19,34.9,34.9,34,34.5,32719
2016-10-20,34.1,34.8,34.1,34.3,19553
2016-10-21,34.2,34.8,34,34,35608
2016-10-24,34.1,34.1,33.2,33.2,163742
2016-10-25,34,34.3,33.6,34,63342
2016-10-26,34.2,34.2,33.7,33.8,5090
2016-10-27,33.7,34,33.7,34,22340
