date,open,high,low,close,volume
2015-09-09,100,101.9,100,101,58339
2015-09-10,100.5,104,100.1,100.6,7543
2015-09-11,101,103,101,103,11176
2015-09-14,103,103,102.5,103,24456
2015-09-15,103.9,103.9,103,103,7000
2015-09-16,103.5,104.9,103,103,54325
2015-09-17,103,104,103,103.5,19371
2015-09-18,104,104,103,103.8,3830
2015-09-21,103,103,102,102.5,6546
2015-09-22,102,102,101,102,14323
2015-09-23,101,101.1,101,101,1304
2015-09-25,101.1,102,101.1,101.1,7004
2015-09-28,101.1,101.1,99.1,100,29411
2015-09-29,99,100,99,100,45278
2015-09-30,100.1,102,100,102,3065
2015-10-01,102.5,103,102.5,103,2000
2015-10-02,100.2,103,100.2,103,2037
2015-10-05,100.2,102,100.1,100.2,9680
2015-10-06,100.2,100.3,100,100,36050
2015-10-07,0,0,0,0,0
2015-10-08,100,103,100,103,2500
2015-10-09,100,101.5,100,101.5,4303
2015-10-12,101.4,101.5,100.1,101.5,17123
2015-10-13,101.2,101.2,100,101,1115
2015-10-14,100,100.5,100,100.5,1720
2015-10-15,100,100,100,100,10013
2015-10-16,100.5,101.9,100.5,101,2660
2015-10-19,101,101,101,101,1501
2015-10-20,101.9,105.2,101.9,104.5,67156
2015-10-21,103.7,105,103.1,103.5,26401
2015-10-22,103.6,103.6,102,103.5,9026
2015-10-23,103,103.7,103,103.5,74950
2015-10-26,104,105,103.5,103.5,36448
2015-10-28,103.1,103.1,102.5,102.5,12134
2015-10-29,102,103.5,102,102,24910
2015-10-30,101.8,101.8,101.5,101.5,73725
2015-11-02,101.5,103.9,101.1,103.9,2991
2015-11-03,101.3,103,101,101,8091
2015-11-04,102,102,102,102,256
2015-11-05,100.1,101.4,100.1,101.4,505
2015-11-06,101.5,102,100,102,22840
2015-11-09,102.5,102.5,100.1,101,1023
2015-11-11,100,100,98.1,98.5,31000
2015-11-12,98.6,100,98.5,100,18953
2015-11-13,98,98.5,98,98.5,12750
2015-11-16,99,100,99,99,66644
2015-11-17,100,100,100,100,35880
2015-11-18,100,100,99.8,100,54651
2015-11-19,100,100,100,100,34154
2015-11-20,100,101.5,100,101,112210
2015-11-23,100,100,97,97,64337
2015-11-24,96.6,96.6,95.1,95.1,12289
2015-11-26,95.5,97,94.5,97,49233
2015-11-27,97,99,97,99,17860
2015-11-30,97.2,99.9,96.1,96.1,1720
2015-12-01,96,96,95,95,31800
2015-12-02,94.6,95,94,94,12342
2015-12-03,95,95,94.6,94.6,4220
2015-12-04,95,95.5,94,95.5,62525
2015-12-07,94.9,94.9,94,94,724
2015-12-08,93,93.5,93,93.5,576
2015-12-09,92,94,92,93.1,8186
2015-12-10,95,95.4,94,95,24237
2015-12-11,99,99,98,98,1410
2015-12-14,95,95,95,95,1233
2015-12-15,95,95.1,95,95,5030
2015-12-16,95.1,96,95,95,5530
2015-12-17,95,95,95,95,100
2015-12-18,96,96,95,95,148176
2015-12-21,95,95,95,95,200261
2015-12-22,95,95,95,95,837
2015-12-23,0,0,0,0,0
2015-12-28,0,0,0,0,0
2015-12-29,95.3,95.3,95.3,95.3,1400
2015-12-30,95.2,96,95,96,5161
2015-12-31,97.5,97.5,95,95,2379
2016-01-04,95,95,94.5,94.5,13707
2016-01-05,94.5,94.5,94.1,94.5,51273
2016-01-06,94.5,94.5,94.2,94.2,301600
2016-01-07,94.1,94.1,94,94,794
2016-01-08,93,93,90.1,90.2,1401
2016-01-11,90.1,90.1,88.5,88.5,12791
2016-01-12,88.5,88.5,87,87,60200
2016-01-13,89.9,90,87,87.1,28100
2016-01-14,88,88,86.5,86.6,4447
2016-01-18,86.5,86.5,80.1,80.1,11602
2016-01-19,84,84,81,81,108583
2016-01-20,82,83,82,83,4836
2016-01-21,84,84,84,84,5102
2016-01-22,85,90,85,85,10931
2016-01-25,86,88,86,88,1231
2016-01-26,86.5,86.5,86.5,86.5,923
2016-01-27,86,87,86,87,4578
2016-01-28,87,87,85,85,8749
2016-01-29,86.5,90,86.5,87,6236
2016-02-01,88.1,88.1,85,88,2865
2016-02-02,88,90,88,90,3494
2016-02-03,91.9,91.9,89,90,1711
2016-02-05,87,87,87,87,3790
2016-02-08,93,93,87.3,87.5,25552
2016-02-09,87.5,88.4,87.3,87.5,171721
2016-02-10,87.1,87.5,87.1,87.5,114341
2016-02-11,87.4,88,87.4,87.5,1174
2016-02-12,87,88,87,88,3701
2016-02-15,86.9,88.4,86.9,88.4,620
2016-02-16,86.4,86.5,86.4,86.5,401
2016-02-17,86.3,90,86,86,80776
2016-02-18,85.5,85.5,84,84,1200
2016-02-19,85,85,85,85,1300
2016-02-23,86,90,86,90,986
2016-02-24,84,84,82.5,82.5,755
2016-02-25,85,85,85,85,500
2016-02-26,85,87.4,85,87.4,1151
2016-02-29,84,84,84,84,306
2016-03-01,84,85,83.5,83.9,17790
2016-03-02,83.7,84,83.7,84,102130
2016-03-03,83.6,83.6,81,81,27469
2016-03-04,0,0,0,0,0
2016-03-08,80.2,80.2,78,78,10910
2016-03-09,79,80.8,77,80,19737
2016-03-10,81,81,79,79,92201
2016-03-11,82.8,84,82,84,3429
2016-03-14,85,85,82,82,2466
2016-03-15,81.2,82,81.2,82,9020
2016-03-16,81.5,83,81.5,83,344179
2016-03-17,84,84,82.6,83,56378
2016-03-18,84,84,82.7,83.5,11209
2016-03-21,83.3,83.3,83.3,83.3,3
2016-03-23,83.3,85,83.3,85,14598
2016-03-24,84,87,84,87,51609
2016-03-28,84.3,85,84.3,85,48449
2016-03-29,85,87,85,87,10155
2016-03-30,88,90,85,85,3840
2016-03-31,85.1,87,85,86,34875
2016-04-01,84.1,85,83,83,1652
2016-04-04,0,0,0,0,0
2016-04-05,83.5,88,83.5,88,100367
2016-04-06,86,87,86,86,23600
2016-04-07,86,90,85,90,11343
2016-04-08,89,89,86.5,86.5,202089
2016-04-11,86.3,87,86.3,87,3507
2016-04-12,88,93.9,88,92,2124476
2016-04-15,93.9,94,92,94,57029
2016-04-18,94,94,93,93,59590
2016-04-19,94.8,95.5,93,95,2215
2016-04-20,94.9,95,93,95,1515
2016-04-22,94,96.9,94,95.1,342013
2016-04-25,95.1,96.9,95.1,95.2,15310
2016-04-26,95.1,96.5,95.1,96.5,1741
2016-04-27,95,95,93,94,5440
2016-04-28,93.5,93.5,92.5,92.5,18204
2016-04-29,92.9,96,92.9,95,76429
2016-05-03,96,96,96,96,11285
2016-05-04,97.8,97.8,96.5,96.5,120
2016-05-05,96.4,96.4,94.1,95,7329
2016-05-06,96,96,94.4,94.4,1377
2016-05-09,94.9,95,94,95,19586
2016-05-10,94,95.1,94,95,5100
2016-05-11,94.7,95.6,93.1,93.1,3257
2016-05-12,93.7,95,93.7,95,1050
2016-05-13,95,95,95,95,18547
2016-05-16,95,95,95,95,5228
2016-05-17,93.5,93.5,93.1,93.1,4200
2016-05-18,93.1,93.5,93,93.1,21876
2016-05-19,93.1,93.1,93.1,93.1,85251
2016-05-20,93.2,93.2,93,93,7700
2016-05-24,93,93,92,92,401
2016-05-25,92,94,92,92,7404
2016-05-26,92.1,92.1,92.1,92.1,1000
2016-05-27,94,94,92,92,16279
2016-05-30,92,92.9,92,92.5,27521
2016-05-31,94,95,92,92,11183
2016-06-01,0,0,0,0,0
2016-06-02,90.5,90.5,90.5,90.5,1
2016-06-03,91.5,91.5,91,91,20085
2016-06-06,0,0,0,0,0
2016-06-07,91,91,91,91,32170
2016-06-08,91,92,91,92,46425
2016-06-09,91.1,91.1,91.1,91.1,10
2016-06-10,91,91,91,91,86
2016-06-13,90.5,91,90.5,91,2135
2016-06-14,90.5,91,90,90,49579
2016-06-15,90.5,90.5,90.1,90.1,124296
2016-06-16,0,0,0,0,0
2016-06-17,90,91.5,88.1,91.5,36519
2016-06-20,89,89,89,89,907
2016-06-21,88.1,90,88,90,100603
2016-06-22,88.5,90,88.5,90,67102
2016-06-23,88.2,88.2,88,88,100
2016-06-24,90,90,90,90,333
2016-06-27,89,90,88.5,89.5,266962
2016-06-28,89.5,89.5,89.5,89.5,8122
2016-06-29,90,90,90,90,20
2016-06-30,89,89,89,89,50500
2016-07-01,88.1,88.1,88,88,3022
2016-07-04,88,90.4,88,90,157494
2016-07-05,90.1,90.5,90,90.1,12536
2016-07-07,90.2,93,90.2,93,36416
2016-07-08,92,92,91.6,91.6,23564
2016-07-11,92.1,96,92,95.1,1929360
2016-07-12,95.2,96.4,95.2,96,397493
2016-07-13,96,96.4,95,95,2163
2016-07-14,97,100,96,100,36240
2016-07-15,99.8,101,99.8,100.2,142201
2016-07-18,100,101,100,100,379335
2016-07-20,98,100,98,100,32036
2016-07-21,99.5,100,99.5,100,31413
2016-07-22,98.1,99.5,98.1,99,49733
2016-07-25,99,99,97.1,97.1,1882
2016-07-26,97.2,98.9,97,98.9,814
2016-07-27,95.6,96,95.5,96,3400
2016-07-28,95.5,98.9,95.5,98.9,984
2016-07-29,95.6,95.6,95.5,95.5,500
2016-08-01,95.5,95.5,95.4,95.4,10177
2016-08-02,94.5,97.5,94.5,97.5,1347
2016-08-03,96,97,96,96.5,7860
2016-08-04,98,98,98,98,19
2016-08-05,97.8,100,97.8,99.9,42418
2016-08-08,99.9,99.9,99.9,99.9,5700
2016-08-09,97,97,97,97,300
