date,open,high,low,close,volume
2015-09-09,64.9,67,64.9,67,24549
2015-09-10,67,67,65,66.8,55031
2015-09-11,65,67.5,65,67,155121
2015-09-14,66.5,68,66.4,67.4,37610
2015-09-15,68,68.9,67,67,33040
2015-09-16,66.8,66.8,64,64,32693
2015-09-17,64.1,64.3,63.1,64,37266
2015-09-18,64,64,63,63.7,13149
2015-09-21,62.9,63.6,62,63.6,13565
2015-09-22,63.7,65,62.5,64,18085
2015-09-23,62.5,64.9,62.5,64,13657
2015-09-25,63.7,63.7,63.5,63.7,43390
2015-09-28,63.3,63.7,63.2,63.7,69834
2015-09-29,63.5,63.5,62.9,63.5,41925
2015-09-30,63.4,63.4,62,63.2,52351
2015-10-01,63,63.9,63,63.7,17258
2015-10-02,63.9,65,63.6,65,8865
2015-10-05,65,68,65,67,33941
2015-10-06,67,68,67,67.4,21119
2015-10-07,67.4,67.4,65.2,67.4,6712
2015-10-08,66.9,67,64,67,36260
2015-10-09,66.9,68,66.1,68,95814
2015-10-12,68.5,68.5,67.5,68.2,76517
2015-10-13,68.4,69.9,68.4,69.1,307577
2015-10-14,69.6,71,68.1,68.5,179397
2015-10-15,68.7,70,67.5,68.7,66011
2015-10-16,69.9,70,68.6,68.7,117845
2015-10-19,69.9,69.9,69.8,69.8,1518
2015-10-20,69.8,69.8,69,69.6,6334
2015-10-21,69.5,69.5,69,69.4,1774
2015-10-22,69,69.3,68.5,69,32075
2015-10-23,68.5,69,68.2,68.9,5752
2015-10-26,68.7,68.7,68,68.6,8455
2015-10-28,68.9,69.3,68,68,49612
2015-10-29,68.9,69,68,68.8,4845
2015-10-30,68,68,67.7,67.7,1725
2015-11-02,69,69,67.1,68,2835
2015-11-03,67.2,67.2,66,66,8248
2015-11-04,66.4,68.5,66,67.2,128705
2015-11-05,67.5,68,66.5,68,19261
2015-11-06,68.5,68.5,66.5,68,1328
2015-11-09,66.3,67.5,66.2,67,2786
2015-11-11,66.5,66.9,66,66.9,15270
2015-11-12,67.4,67.4,67.4,67.4,100
2015-11-13,67,67,65.7,65.7,36880
2015-11-16,65.4,66.4,65,66.4,102930
2015-11-17,65.6,66,65.5,65.5,14850
2015-11-18,66,67,66,66.5,7247
2015-11-19,67,69.4,67,69,23536
2015-11-20,69.4,69.6,69,69.5,33869
2015-11-23,70,70.1,69.2,69.2,58623
2015-11-24,69,69.8,67.7,69.8,3045
2015-11-26,70,70,68.1,69,10070
2015-11-27,68.9,69.5,67.8,67.8,14910
2015-11-30,67.7,67.7,67,67,2278
2015-12-01,67,67.7,66.5,67.7,900
2015-12-02,67,67,65,65,5236
2015-12-03,66,66,64.4,66,13828
2015-12-04,65,66,65,66,1611
2015-12-07,66,66,65,65,84665
2015-12-08,66,66,65,65,223
2015-12-09,65.2,66,65,65,15103
2015-12-10,65.9,66,65.9,66,125
2015-12-11,65.1,65.9,65.1,65.9,1119
2015-12-14,65.1,66,65,66,24205
2015-12-15,65.2,67,65.1,67,3276
2015-12-16,66,66.5,66,66.5,40460
2015-12-17,66.1,66.1,66.1,66.1,115
2015-12-18,66.6,66.6,66.6,66.6,200
2015-12-21,67.4,67.5,67.4,67.5,1358
2015-12-22,67.5,67.5,67.5,67.5,849
2015-12-23,67.5,67.5,67.5,67.5,2050
2015-12-28,67,67.1,67,67.1,1550
2015-12-29,67.9,67.9,67.4,67.5,778
2015-12-30,67.6,67.6,67.1,67.1,1870
2015-12-31,67.2,67.9,67.2,67.9,1812
2016-01-04,67,67,67,67,2399
2016-01-05,66.5,66.5,66.1,66.5,3420
2016-01-06,66.1,66.3,66.1,66.3,25075
2016-01-07,66.1,66.1,65,65,10025
2016-01-08,65.3,65.5,64,65,32191
2016-01-11,64,64.3,61.4,63,20891
2016-01-12,62.2,65.9,62,63.5,62404
2016-01-13,63.6,65,63.1,64.9,7564
2016-01-14,63.5,63.5,61,61.1,3650
2016-01-18,61,64,60,60,19954
2016-01-19,60,60,56,58.9,38687
2016-01-20,58.9,59,57,57.6,6307
2016-01-21,61.5,62,59.9,62,4917
2016-01-22,62,63,61.2,61.2,640
2016-01-25,0,0,0,0,0
2016-01-26,62.8,64,62.8,63,6067
2016-01-27,64,64.6,62,63,12385
2016-01-28,64.9,65,63.1,63.9,45174
2016-01-29,64.9,64.9,63.1,64.5,403
2016-02-01,64,64,63.1,63.1,3209
2016-02-02,63.8,64.9,63.1,64.8,99798
2016-02-03,64.4,64.4,64.3,64.3,700
2016-02-05,64,64.7,63.8,64,23211
2016-02-08,63.5,63.5,63,63,19842
2016-02-09,62.6,63,61.6,63,2340
2016-02-10,63,63,62,62.1,1107
2016-02-11,62.2,62.2,62.2,62.2,32
2016-02-12,62,62,61.6,61.9,5166
2016-02-15,61.6,61.6,58.2,60.1,23539
2016-02-16,60.5,60.5,58,60,96456
2016-02-17,59,59,58,58,15902
2016-02-18,58,58,57.3,58,2566
2016-02-19,58,62,58,61.9,5200
2016-02-23,58.2,58.5,57.1,58.5,3551
2016-02-24,57.2,57.2,56.5,57,7100
2016-02-25,58,61.9,57,60,34108
2016-02-26,60.5,60.9,58,60.9,6101
2016-02-29,59.4,59.4,57.5,57.5,7668
2016-03-01,57.4,57.4,56.5,57,10377
2016-03-02,57.9,57.9,56.5,56.5,6854
2016-03-03,56.2,57,55.1,57,25240
2016-03-04,55.7,57.4,55.7,57.4,8050
2016-03-08,55.7,55.7,52,52,52116
2016-03-09,52,52,47.1,50.2,45070
2016-03-10,52.5,53,51.1,53,26442
2016-03-11,52,56,52,56,4735
2016-03-14,53.1,53.1,52,52.1,5525
2016-03-15,52.1,52.2,52.1,52.1,902
2016-03-16,52.1,58.1,52.1,58.1,2645
2016-03-17,58,58,56.5,56.5,101
2016-03-18,53.6,56.5,53.6,56.5,300
2016-03-21,0,0,0,0,0
2016-03-23,54.2,57.9,54,57.9,1100
2016-03-24,54.3,55,54.2,55,4773
2016-03-28,54.1,54.1,54,54,7280
2016-03-29,54,54,53,54,3702
2016-03-30,53.1,55.9,53.1,55.9,1350
2016-03-31,55.9,56,53.5,53.5,10070
2016-04-01,59,59,57.4,58,4009
2016-04-04,0,0,0,0,0
2016-04-05,56,57.7,56,57.7,12005
2016-04-06,56.6,57.8,56.5,57.5,8950
2016-04-07,57.6,60,57,60,10691
2016-04-08,60,61.9,60,60,13331
2016-04-11,60.9,62,60.9,61,2425
2016-04-12,61.9,64,61.9,64,6863
2016-04-15,64,65,64,65,11126
2016-04-18,64.8,64.8,64.8,64.8,500
2016-04-19,64.5,65,60.9,64.9,530
2016-04-20,64.8,64.9,64.6,64.6,302
2016-04-22,61.5,64.5,61.5,64.5,351
2016-04-25,62,62,61.9,62,15500
2016-04-26,61.7,63.8,61.7,62,3798
2016-04-27,63,64,63,64,6250
2016-04-28,63,63.1,63,63.1,5850
2016-04-29,63.9,65,63.9,64.9,13847
2016-05-03,65,67.8,65,65,6647
2016-05-04,66.4,66.4,63,64.9,27078
2016-05-05,64.9,64.9,63.1,64,3827
2016-05-06,64.5,64.5,64,64,12
2016-05-09,64.5,66,64.5,65.6,8351
2016-05-10,66,66.5,65.5,66,77481
2016-05-11,66.5,67.9,66.4,67,144145
2016-05-12,67,67.9,66,66.2,23473
2016-05-13,66.2,68.1,66.2,68.1,71101
2016-05-16,68,69.9,68,69.6,104339
2016-05-17,69.8,70.5,68.6,70,98234
2016-05-18,70.5,71.6,69.7,70,76870
2016-05-19,70.5,70.5,69,69,22259
2016-05-20,69.9,69.9,66.1,67.5,10285
2016-05-24,66.3,67.5,66.3,66.5,17438
2016-05-25,67.5,67.5,67,67,11127
2016-05-26,67.2,67.5,67.2,67.5,2125
2016-05-27,68,68,67,68,10665
2016-05-30,0,0,0,0,0
2016-05-31,67,67.5,67,67.5,17500
2016-06-01,67.5,68.7,66.2,66.2,4221
2016-06-02,67.5,67.5,66.6,66.6,4715
2016-06-03,67.5,67.5,67,67,9352
2016-06-06,67.5,68.5,67.5,67.5,4956
2016-06-07,66.7,68.4,66.6,68.4,9442
2016-06-08,68.4,68.4,67.9,67.9,1460
2016-06-09,67.6,67.6,67,67.5,5856
2016-06-10,66.6,66.6,64.1,65.9,13953
2016-06-13,65,65,65,65,95
2016-06-14,64,64,63.9,63.9,279
2016-06-15,63.8,63.8,62,62.1,5276
2016-06-16,64,64,62,62.5,8502
2016-06-17,62.1,63.4,62,63,22653
2016-06-20,63,63.5,63,63,1015
2016-06-21,63,63,63,63,1230
2016-06-22,62.3,62.6,61,61,17023
2016-06-23,62,62,62,62,1
2016-06-24,60.7,60.7,60,60,22919
2016-06-27,59.1,61.5,58,58,105125
2016-06-28,58.1,58.5,58,58.5,4900
2016-06-29,59,59,57.5,57.5,408
2016-06-30,57.6,57.6,57,57,3566
2016-07-01,57.2,57.2,57,57,4600
2016-07-04,59.5,59.8,59.5,59.8,151
2016-07-05,57.3,60.4,57.1,60.4,2349
2016-07-07,60,60.5,60,60,38224
2016-07-08,61.1,61.5,60,61.5,39802
2016-07-11,0,0,0,0,0
2016-07-12,61,64.2,61,61,8607
2016-07-13,60.5,60.5,60.5,60.5,224
2016-07-14,62.8,64.5,61.5,64.5,5136
2016-07-15,62,62.1,62,62.1,535
2016-07-18,62,63,61,63,202
2016-07-20,62.9,62.9,60.6,60.6,3740
2016-07-21,60.8,62,60.8,60.9,6347
2016-07-22,0,0,0,0,0
2016-07-25,61.1,61.5,59.9,60,9658
2016-07-26,60.1,60.1,60,60,5875
2016-07-27,60,60,60,60,1200
2016-07-28,60,60,60,60,100
2016-07-29,61,62.5,61,61.1,6793
2016-08-01,60.3,60.3,60,60,4200
2016-08-02,62,63.4,61.2,63.4,40095
2016-08-03,63.5,64,63,63,18973
2016-08-04,64,64,63,63,1911
2016-08-05,63,63,62.8,63,18390
2016-08-08,63.4,64,63,64,14828
2016-08-09,63.9,63.9,63,63,19623
2016-08-10,63.5,63.5,63.5,63.5,800
